不要改	旧中文	旧翻译	新中文	新翻译
key	value	translation	new_value	new_translation
s.地图/多等级野怪类型-txt-name-1			流寇	
s.地图/多等级野怪类型-txt-name-2	戍卒		叛军	
s.地图/多等级野怪类型-txt-name-3	叛军		戍卒	
s.地图/多等级野怪类型-txt-name-4			蛮族	
s.文字/广播-txt-text-BaiZhanTouFang	百战千军新的次数已经发放，君主们速速整装上阵提升军衔吧		横扫千军新的次数已经发放，君主们速速整装上阵提升军衔吧	
s.文字/广播-txt-text-BaoZangDestory	[color=#FFD633]{{self_click}}[/color]身手不凡，击破[color=#FF3333]{{num}}级[/color]殷墟守卫，名震八方		[color=#FFD633]{{self}}[/color]身手不凡，击破[color=#FF3333]{{num}}级[/color]殷墟守卫，名震八方	
s.文字/广播-txt-text-BaseLevel	普天同庆！恭喜[color=#FFD633]{{self_click}}[/color]的城池达到[color=#FFD633]{{num}}[/color]级势力大幅扩张		普天同庆！恭喜[color=#FFD633]{{self}}[/color]的城池达到[color=#FFD633]{{num}}[/color]级势力大幅扩张	
s.文字/广播-txt-text-CaptainAbilityExp	恭喜[color=#FFD633]{{self_click}}[/color]首次将麾下武将强化到了{{quality}}品质		恭喜[color=#FFD633]{{self}}[/color]首次将麾下武将强化到了{{quality}}品质	
s.文字/广播-txt-text-CaptainReBrith	恭喜[color=#FFD633]{{self_click}}[/color]首次将麾下武将转生至[color=#FFD633]{{num}}转[/color]		恭喜[color=#FFD633]{{self}}[/color]首次将麾下武将转生至[color=#FFD633]{{num}}转[/color]	
s.文字/广播-txt-text-CaptainSoulLevel	恭喜[color=#FFD633]{{self_click}}[/color]首次将麾下武将升阶到[color=#FFD633]{{num}}星[/color]		恭喜[color=#FFD633]{{self}}[/color]首次将麾下武将升阶到[color=#FFD633]{{num}}星[/color]	
s.文字/广播-txt-text-CaptainSoulUnlockSpell	恭喜[color=#FFD633]{{self_click}}[/color]将{{text}}级武将{{captain}}培养到[color=#FFD633]{{num}}星[/color]		恭喜[color=#FFD633]{{self}}[/color]将{{text}}级武将{{captain}}培养到[color=#FFD633]{{num}}星[/color]	
s.文字/广播-txt-text-CountryChangeKing			恭喜{{hero}} 成为{{country}}国君！	
s.文字/广播-txt-text-CountryChangeName			{{old_name}}国的国君将国号成功更改为{{new_name}}	
s.文字/广播-txt-text-CountryDestroy			{{guild_country}}国{{guild}} 占领了{{country}}国的都城。{{country}}国所有玩家失去官职。	
s.文字/广播-txt-text-DungeonPrizeCaptainSoul	恭喜[color=#FFD633]{{self_click}}[/color]于武将列传获得[color=#FFD633]{{text}}级[/color]武将{{captain}}		恭喜[color=#FFD633]{{self}}[/color]于武将列传获得[color=#FFD633]{{text}}级[/color]武将{{captain}}	
s.文字/广播-txt-text-EquipLevel	恭喜[color=#FFD633]{{self_click}}[/color]首次将装备升到[color=#FFD633]{{num}}星[/color]		恭喜[color=#FFD633]{{self}}[/color]首次将装备升到[color=#FFD633]{{num}}星[/color]	
