等级	名称	icon	升到下一级需要的经验，最后一级随便配个>0的	每日赠送 VIP 经验	vip每日礼包，配 奖励.txt id	展示的每日礼包原价	vip专属礼包，配 奖励.txt id	vip专属礼包价格，配 消耗.txt id	展示的专属礼包原价		立即恢复繁荣度	酒馆花钱刷新*新增*次数	酒馆无限次花钱刷新	酒馆一键白起	酒馆立即请教	修炼馆武将修炼经验提升系数，配置格式同建筑加成	修炼馆武将修炼时间延长	自动补兵	增加的购买体力最大次数	推图最大购买次数	建筑队解锁pos。1队为0，2队为1	每次出征讨伐野怪次数	联盟礼包一键开启	金杆钓	增加游商最大刷新次数	政务自动完成	铁匠铺自动完成	可以领取日常体力
level	name	icon	upgrade_exp	daily_exp	daily_prize	show_daily_prize_cost	level_prize	level_prize_cost	show_level_prize_cost		buy_prosperity	jiu_guan_cost_refresh_count	jiu_guan_cost_refresh_infinite	jiu_guan_auto_max	jiu_guan_quick_consult	captain_train_coef	captain_train_capacity	wall_auto_full_soldier	buy_sp_max_times	dungeon_max_cost_times_limit	worker_unlock_pos	invade_multi_level_monster_once_count	guild_prize_one_key_collect	fishing_captain_probability	add_black_market_refresh_times	zheng_wu_auto_completed	workshop_auto_completed	collect_daily_sp
0	不是VIP	突袭	60	0	13903001	13903001	13903002	13903002	13903003			2							2									
1	VIP1	突袭	240	0	13903011	13903011	13903012	13903012	13903013			2							2		1							1
2	VIP2	突袭	300	0	13903021	13903021	13903022	13903022	13903023			2							3	3	1							1
3	VIP3	突袭	400	0	13903031	13903031	13903032	13903032	13903033			3							3	4	1	10000					1	1
4	VIP4	突袭	2000	0	13903041	13903041	13903042	13903042	13903043			3							4	5	1	10000			4	1	1	1
5	VIP5	突袭	2000	0	13903051	13903051	13903052	13903052	13903053			3			1				4	6	1	10000			5	1	1	1
6	VIP6	突袭	2000	0	13903061	13903061	13903062	13903062	13903063			4			1	0.1	30m		5	7	1	10000	1		6	1	1	1
7	VIP7	突袭	3000	0	13903071	13903071	13903072	13903072	13903073			5			1	0.12	60m	1	5	8	1	10000	1		7	1	1	1
8	VIP8	突袭	10000	0	13903081	13903081	13903082	13903082	13903083				1		1	0.14	90m	1	6	9	1	10000	1		8	1	1	1
9	VIP9	突袭	20000	0	13903091	13903091	13903092	13903092	13903093				1		1	0.16	120m	1	7	10	1	10000	1	1	9	1	1	1
10	VIP10	突袭	20000	0	13903101	13903101	13903102	13903102	13903103				1	1	1	0.18	150m	1	8	11	1	10000	1	1	10	1	1	1
11	VIP11	突袭	40000	0	13903111	13903111	13903112	13903112	13903113				1	1	1	0.2	180m	1	9	12	1	10000	1	1	11	1	1	1
12	VIP12	突袭	100000	0	13903121	13903121	13903122	13903122	13903123		1		1	1	1	0.22	210m	1	10	13	1	10000	1	1	12	1	1	1
13	VIP13	突袭	100000	0	13903131	13903131	13903132	13903132	13903133		1		1	1	1	0.24	240m	1	10	14	1	10000	1	1	13	1	1	1
14	VIP14	突袭	200000	0	13903141	13903141	13903142	13903142	13903143		1		1	1	1	0.26	270m	1	10	15	1	10000	1	1	14	1	1	1
15	VIP15	突袭	1000000	0	13903151	13903151	13903152	13903152	13903153		1		1	1	1	0.28	300m	1	10	16	1	10000	1	1	15	1	1	1
