等级	连续登录n天奖励													
level	days	exp	days	exp	days	exp	days	exp	days	exp	days	exp	days	exp
0	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
1	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
2	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
3	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
4	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
5	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
6	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
7	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
8	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
9	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
10	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
11	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
12	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
13	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
14	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
15	1	2000	2	2000	3	2000	4	2000	5	2000	6	2000	7	2000
