Id	任务类型	任务参数			完成时更新进度		说明		
id	type	x	y	z	dont_update_progress	daily	sm		
1	4	7	guan_fu				官府7级		
2	4	9	CANG_KU				仓库9级		
3	4	10	SHU_YUAN				书院10级		
4	4	11	guan_fu				官府11级		
5	4	12	JUN_YING				军营12级		
6	4	15	guan_fu				官府15级		
7	4	15	XIU_LIAN_GUAN				修炼馆15级		
8	1	5					主城5级		
9	4	19	GUAN_FU				官府19级		
10	4	19	jiu_guan				驿站19级		
11	4	19	JUN_YING				军营19级		
12	1	6					主城6级		
13	4	2	SI_TU_FU				司徒府10级		
14	4	20	cheng_qiang				城墙20级		
15	4	20	TIE_JIANG_PU				铁匠铺20级		
16	1	7					主城7级		
17	1	8					主城8级		
18	1	9					主城9级		
19	1	10					主城10级		
20	1	11					主城11级		
21	1	12					主城12级		
22	1	13					主城13级		
23	1	14					主城14级		
24	1	15					主城15级		
									
2000	2	2							
2001	2	3							
2002	2	4							
2003	3	10001002							
2004	3	10001003							
2005	3	10001004							
2006	3	10001005							
2007	3	10001006							
2008	3	10001007							
2009	3	10001008							
2010	3	10001009							
2011	3	10001010							
2012	3	10001011							
2013	3	10001012							
2014	3	10001013							
2015	3	10001014							
2016	3	10001015							
2017	3	10001016							
2018	3	10001017							
2019	3	10001018							
2020	3	10001019							
2021	3	10001020							
									
4011	TASK_TARGET_BUILDING_LEVEL	4	guan_fu				将官府等级提升到4级		
4012	TASK_TARGET_ACCUM_FISHING	1					钓鱼获取名将		
4013	TASK_TARGET_COLLECT_XIU_LIAN_EXP	1			1		在修炼馆领取1次武将经验		
4014	TASK_TARGET_KILL_HOME_NPC	3					消灭匈奴残兵		
									
									
4021	TASK_TARGET_FARM_HARVEST	1					在农场收获1次资源		
4022	TASK_TARGET_BUILDING_LEVEL	4	xiu_lian_guan				将修炼馆等级提升到4级		
4023	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10102			1		通关名士列传1-2		
4024	TASK_TARGET_EXPEL_FIGHT_MONSTER	11709001					驱逐攻城野外势力		
									
									
4031	TASK_TARGET_BUILDING_LEVEL	4	JUN_YING				将军营等级提升到4级		
4032	TASK_TARGET_ADD_CAPTAIN_SOLDIER	1					给武将补充兵力1次		
4033	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10104			1		通关名士列传1-4		
4034	TASK_TARGET_BOOL	1	8				战胜10级野外势力1次		
4035	TASK_TARGET_BOOL	1	44				看过小地图		
									
									
4041	TASK_TARGET_BUILDING_LEVEL	4	SHU_YUAN				将书院等级提升到4级		
4042	TASK_TARGET_TECH_LEVEL	10012001					将步兵防御等级提升到1级		
4043	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10106			1		通关名士列传1-6		
4044	TASK_TARGET_BASE_LEVEL	2					将主城等级提升到2级		
4045	TASK_TARGET_CAPTAIN_COUNT	4					招募第4个武将		
4046	TASK_TARGET_KILL_HOME_NPC	1					消灭暴民		
									
4051	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	1	2				战胜20级野外势力1次		
4052	TASK_TARGET_BUILDING_LEVEL	7	guan_fu				将官府等级提升到7级		
4053	TASK_TARGET_BUILDING_LEVEL	7	cang_ku				将仓库等级提升到7级		
4054	TASK_TARGET_BUILDING_LEVEL	7	xiu_lian_guan				将修炼馆等级提升到7级		
4055	TASK_TARGET_TECH_LEVEL	10021003					将器械攻击等级提升到3级		
4056	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10203			1		通关名士列传2-3		
									
4061	TASK_TARGET_JOIN_GUILD	1					加入任意1个联盟		
4062	TASK_TARGET_BUILDING_LEVEL	7	wai_shi_yuan				将外使院等级提升到7级		
4063	TASK_TARGET_ACCUM_GUILD_DONATE	2					联盟捐献资源2次		
4064	TASK_TARGET_TREASURY_TREE	1					照料摇钱树1次		
4065	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10206			1		通关名士列传2-6		
4066	TASK_TARGET_EXPEL_FIGHT_MONSTER	11709002					成功抵抗攻城野外势力		
									
									
4071	TASK_TARGET_ACCUM_CONSULT	1					在驿站进行1次武将请教		
4072	TASK_TARGET_BUILDING_LEVEL	7	jiu_guan				将驿站等级提升到7级		
4073	TASK_TARGET_TECH_LEVEL	10005001					将建筑术提升到1级		
4074	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	1	2				战胜30级野外势力1次		
4075	TASK_TARGET_BUILDING_LEVEL	9	guan_fu				将官府等级提升到9级		
4076	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10209			1		通关名士列传2-9		
									
4081	TASK_TARGET_UPGRADE_TITLE	1					领取一个爵位		
4082	TASK_TARGET_INVASE_BAOZ	1					探索1次殷墟		
4083	TASK_TARGET_BUILDING_LEVEL	7	cheng_qiang				将城墙等级提升到7级		
4084	TASK_TARGET_TECH_LEVEL	10004004					将城防术提升到4级		
4085	TASK_TARGET_SET_DEFENSER	1					设置城防队伍		
4086	TASK_TARGET_KILL_HOME_NPC	4					消灭匈奴先锋		
									
4091	TASK_TARGET_COMPLETE_ZHENG_WU	1					完成君主政务1次		
4092	TASK_TARGET_TECH_LEVEL	10005002					将建筑术提升到2级		
4093	TASK_TARGET_BASE_LEVEL	4					将主城等级提升到4级		
4094	TASK_TARGET_ACTIVE_DEGREE	60					每日活跃度达到60		
4095	TASK_TARGET_UNLOCK_BAOWU	1					开启1个宝物		
4096	TASK_TARGET_TOWER_FLOOR	5					战胜千重楼5层守卫		
									
4101	TASK_TARGET_ZHANJIANG_START_TIMES	1					过关斩将取得1次胜利		
4102	TASK_TARGET_CAPTAIN_OFFICIAL_UPDATE	1					给武将册封1次校尉官职		
4103	TASK_TARGET_BUILDING_LEVEL	11	xiu_lian_guan				将修炼馆等级提升到11级		
4104	TASK_TARGET_ACCUM_BWZL_COMPLETE	1					完成1个霸王之路任务		
4105	TASK_TARGET_TECH_LEVEL	10003005					将统御术提升到5级		
4106	TASK_TARGET_BUILDING_LEVEL	7	si_ma_fu	si_tu_fu			将司马府提升到7级		
4107	TASK_TARGET_TOWER_FLOOR	10					战胜千重楼10层守卫		
									
4111	TASK_TARGET_BUILDING_LEVEL	12	JUN_YING				将军营等级提升到12级		
4112	TASK_TARGET_SOLDIER_LEVEL	2					将士兵等阶提升到2阶		
4113	TASK_TARGET_BUILD_EQUIP	1					在铁匠铺进行1次装备锻造		
4114	TASK_TARGET_BUILDING_LEVEL	9	TIE_JIANG_PU				将铁匠铺等级提升到4级		
4115	TASK_TARGET_ACCUM_BAI_ZHAN	2					百战千军取得2次胜利		
4116	TASK_TARGET_TOWER_FLOOR	20					战胜千重楼20层守卫		
4117	TASK_TARGET_WIN_MULTI_LEVEL_MONSTER	1	3				战胜30级野外势力1次		
									
4121	TASK_TARGET_HISTORY_CHALLENGE_SECRET_TOWER	1	1				战胜20层重楼密室		
4122	TASK_TARGET_BUILDING_LEVEL	14	guan_fu				将官府等级提升到14级		
4123	TASK_TARGET_BUILDING_LEVEL	14	cang_ku				将仓库等级提升到14级		
4124	TASK_TARGET_BUILDING_LEVEL	14	TIE_JIANG_PU				将铁匠铺等级提升到14级		
4125	TASK_TARGET_TECH_LEVEL	10003006					将统御术提升到6级		
4126	TASK_TARGET_HAS_CHALLENGE_DUNGEON	10305			1		通关名士列传3-5		
									
4131	TASK_TARGET_ACCUM_SMELT_EQUIP	1					进行1次装备熔炼		
4132	TASK_TARGET_CAPTAIN_EQUIPMENT	1	1	2			将1件装备升到5级		
4133	TASK_TARGET_HEBI	1					参与1次天命合璧		
4134	TASK_TARGET_START_XIONGNU	1					参与1次抗击匈奴		
4135	TASK_TARGET_TECH_LEVEL	10005003					将建筑术提升到3级		
4136	TASK_TARGET_BUILDING_LEVEL	16	guan_fu				将官府等级提升到16级		
4137	TASK_TARGET_HAS_CHALLENGE_DUNGEON	20102			1		战胜困难副本1-2		
4138	TASK_TARGET_TOWER_FLOOR	30					战胜千重楼30层守卫		
									
									
60101	TASK_TARGET_ACCUM_GUILD_DONATE	1					联盟捐献1次。		
60102	TASK_TARGET_ACCUM_GUILD_DONATE	5					联盟捐献5次。		
