任务序号，从1开始连续配置	1	任务内容	任务图标	任务目标	奖励	成就类型，做完A做B，成就类型一致	做完这个成就任务，下一个成就任务，0表示做完该任务没有下一个成就任务了	星数，从1开始	总共的星数，用来计算总共多少星，从1开始	任务品质 	排序	
id	name	text	icon	target	prize	achieve_type	next	star	total_star	quality	order	
61301	跃跃欲试1	累积登录游戏1天	ui://Library/Image_FunctionIcon_Activity	61301	61301	13	61302	1	1	1	1	1
61302	跃跃欲试2	累积登录游戏2天	ui://Library/Image_FunctionIcon_Activity	61302	61302	13	61303	2	2	1	1	2
61303	跃跃欲试3	累积登录游戏3天	ui://Library/Image_FunctionIcon_Activity	61303	61303	13	61304	3	3	1	1	4
61304	跃跃欲试4	累积登录游戏4天	ui://Library/Image_FunctionIcon_Activity	61304	61304	13	61305	4	4	1	1	7
61305	跃跃欲试5	累积登录游戏5天	ui://Library/Image_FunctionIcon_Activity	61305	61305	13	61306	5	5	1	1	10
61306	名震八方1	累积登录游戏6天	ui://Library/Image_FunctionIcon_Activity	61306	61306	13	61307	1	6	2	1	16
61307	名震八方2	累积登录游戏7天	ui://Library/Image_FunctionIcon_Activity	61307	61307	13	61308	2	7	2	1	30
61308	名震八方3	累积登录游戏8天	ui://Library/Image_FunctionIcon_Activity	61308	61308	13	61309	3	8	2	1	60
61309	名震八方4	累积登录游戏9天	ui://Library/Image_FunctionIcon_Activity	61309	61309	13	61310	4	9	2	1	120
61310	名震八方5	累积登录游戏10天	ui://Library/Image_FunctionIcon_Activity	61310	61310	13	61311	5	10	2	1	210
61311	名震八方6	累积登录游戏11天	ui://Library/Image_FunctionIcon_Activity	61311	61311	13	61312	1	11	3	1	
61312	名震八方7	累积登录游戏12天	ui://Library/Image_FunctionIcon_Activity	61312	61312	13	61313	2	12	3	1	
61313	名震八方8	累积登录游戏13天	ui://Library/Image_FunctionIcon_Activity	61313	61313	13	61314	3	13	3	1	
61314	名震八方9	累积登录游戏14天	ui://Library/Image_FunctionIcon_Activity	61314	61314	13	61315	4	14	3	1	
61315	名震八方10	累积登录游戏15天	ui://Library/Image_FunctionIcon_Activity	61315	61314	13	61316	5	15	3	1	
61316	名震八方11	累积登录游戏16天	ui://Library/Image_FunctionIcon_Activity	61316	61314	13	61317	1	16	3	1	
61317	名震八方12	累积登录游戏17天	ui://Library/Image_FunctionIcon_Activity	61317	61314	13	61318	2	17	3	1	
61318	名震八方13	累积登录游戏18天	ui://Library/Image_FunctionIcon_Activity	61318	61314	13	61319	3	18	3	1	
61319	名震八方14	累积登录游戏19天	ui://Library/Image_FunctionIcon_Activity	61319	61314	13	61320	4	19	3	1	
61320	名震八方15	累积登录游戏20天	ui://Library/Image_FunctionIcon_Activity	61320	61314	13	61321	5	20	3	1	
61321	名震八方16	累积登录游戏21天	ui://Library/Image_FunctionIcon_Activity	61321	61314	13	61322	1	21	3	1	
61322	名震八方17	累积登录游戏22天	ui://Library/Image_FunctionIcon_Activity	61322	61314	13	61323	2	22	3	1	
61323	名震八方18	累积登录游戏23天	ui://Library/Image_FunctionIcon_Activity	61323	61314	13	61324	3	23	3	1	
61324	名震八方19	累积登录游戏24天	ui://Library/Image_FunctionIcon_Activity	61324	61314	13	61325	4	24	3	1	
61325	名震八方20	累积登录游戏25天	ui://Library/Image_FunctionIcon_Activity	61325	61314	13	61326	5	25	3	1	
61326	名震八方21	累积登录游戏26天	ui://Library/Image_FunctionIcon_Activity	61326	61314	13	61327	1	26	3	1	
61327	名震八方22	累积登录游戏27天	ui://Library/Image_FunctionIcon_Activity	61327	61314	13	61328	2	27	3	1	
61328	名震八方23	累积登录游戏28天	ui://Library/Image_FunctionIcon_Activity	61328	61314	13	61329	3	28	3	1	
61329	名震八方24	累积登录游戏29天	ui://Library/Image_FunctionIcon_Activity	61329	61314	13	61330	4	29	3	1	
61330	名震八方25	累积登录游戏30天	ui://Library/Image_FunctionIcon_Activity	61330	61314	13	0	5	30	3	1	
												
												
60101	众志成城1	联盟捐献1次	ui://Library/Image_FunctionIcon_Alliance_Gift	60101	60101	1	60102	1	1	1	2	
60102	众志成城2	联盟捐献5次	ui://Library/Image_FunctionIcon_Alliance_Gift	60102	60102	1	60103	2	2	1	2	
60103	众志成城3	联盟捐献20次	ui://Library/Image_FunctionIcon_Alliance_Gift	60103	60103	1	60104	3	3	1	2	
60104	众志成城4	联盟捐献50次	ui://Library/Image_FunctionIcon_Alliance_Gift	60104	60104	1	60105	4	4	2	2	
60105	众志成城5	联盟捐献100次	ui://Library/Image_FunctionIcon_Alliance_Gift	60105	60105	1	60106	5	5	2	2	
60106	万众一心1	联盟捐献200次	ui://Library/Image_FunctionIcon_Alliance_Gift	60106	60106	1	60107	1	6	2	2	
60107	万众一心2	联盟捐献300次	ui://Library/Image_FunctionIcon_Alliance_Gift	60107	60107	1	60108	2	7	3	2	
60108	万众一心3	联盟捐献500次	ui://Library/Image_FunctionIcon_Alliance_Gift	60108	60108	1	60109	3	8	3	2	
60109	万众一心4	联盟捐献700次	ui://Library/Image_FunctionIcon_Alliance_Gift	60109	60109	1	60110	4	9	3	2	
60110	万众一心5	联盟捐献1000次	ui://Library/Image_FunctionIcon_Alliance_Gift	60110	60110	1	0	5	10	3	2	
												
60201	富甲一方1	农场收获铜币50万	ui://Library/Image_FunctionIcon_RoomFair_Jade	60201	60201	2	60202	1	1	1	3	
60202	富甲一方2	农场收获铜币100万	ui://Library/Image_FunctionIcon_RoomFair_Jade	60202	60202	2	60203	2	2	1	3	
60203	富甲一方3	农场收获铜币200万	ui://Library/Image_FunctionIcon_RoomFair_Jade	60203	60203	2	60204	3	3	1	3	
60204	富甲一方4	农场收获铜币600万	ui://Library/Image_FunctionIcon_RoomFair_Jade	60204	60204	2	60205	4	4	2	3	
60205	富甲一方5	农场收获铜币1500万	ui://Library/Image_FunctionIcon_RoomFair_Jade	60205	60205	2	60206	5	5	2	3	
60206	富甲一方6	农场收获铜币3900万	ui://Library/Image_FunctionIcon_RoomFair_Jade	60206	60206	2	60207	1	6	2	3	
60207	富甲一方7	农场收获铜币1.9亿	ui://Library/Image_FunctionIcon_RoomFair_Jade	60207	60207	2	60208	2	7	3	3	
60208	富甲一方8	农场收获铜币3.5亿	ui://Library/Image_FunctionIcon_RoomFair_Jade	60208	60208	2	60209	3	8	3	3	
60209	富甲一方9	农场收获铜币5.4亿	ui://Library/Image_FunctionIcon_RoomFair_Jade	60209	60209	2	60210	4	9	3	3	
60210	富甲一方10	农场收获铜币25亿	ui://Library/Image_FunctionIcon_RoomFair_Jade	60210	60210	2	0	5	10	3	3	
												
60301	资源巨户1	农场收获石料50万	ui://Library/Image_FunctionIcon_Area_Honor	60301	60301	3	60302	1	1	1	4	
60302	资源巨户2	农场收获石料100万	ui://Library/Image_FunctionIcon_Area_Honor	60302	60302	3	60303	2	2	1	4	
60303	资源巨户3	农场收获石料200万	ui://Library/Image_FunctionIcon_Area_Honor	60303	60303	3	60304	3	3	1	4	
60304	资源巨户4	农场收获石料600万	ui://Library/Image_FunctionIcon_Area_Honor	60304	60304	3	60305	4	4	2	4	
60305	资源巨户5	农场收获石料1500万	ui://Library/Image_FunctionIcon_Area_Honor	60305	60305	3	60306	5	5	2	4	
60306	资源巨户6	农场收获石料3900万	ui://Library/Image_FunctionIcon_Area_Honor	60306	60306	3	60307	1	6	2	4	
60307	资源巨户7	农场收获石料1.9亿	ui://Library/Image_FunctionIcon_Area_Honor	60307	60307	3	60308	2	7	3	4	
60308	资源巨户8	农场收获石料3.5亿	ui://Library/Image_FunctionIcon_Area_Honor	60308	60308	3	60309	3	8	3	4	
60309	资源巨户9	农场收获石料5.4亿	ui://Library/Image_FunctionIcon_Area_Honor	60309	60309	3	60310	4	9	3	4	
60310	资源巨户10	农场收获石料25亿	ui://Library/Image_FunctionIcon_Area_Honor	60310	60310	3	0	5	10	3	4	
												
60401	建筑能手1	建筑术等级提升到1级	ui://Library/Image_FunctionIcon_Everyday	60401	60401	4	60402	1	1	1	5	
60402	建筑能手2	建筑术等级提升到2级	ui://Library/Image_FunctionIcon_Everyday	60402	60402	4	60403	2	2	1	5	
60403	建筑能手3	建筑术等级提升到3级	ui://Library/Image_FunctionIcon_Everyday	60403	60403	4	60404	3	3	1	5	
60404	建筑能手4	建筑术等级提升到4级	ui://Library/Image_FunctionIcon_Everyday	60404	60404	4	60405	4	4	2	5	
60405	建筑能手5	建筑术等级提升到5级	ui://Library/Image_FunctionIcon_Everyday	60405	60405	4	60406	5	5	2	5	
60406	建筑能手6	建筑术等级提升到6级	ui://Library/Image_FunctionIcon_Everyday	60406	60406	4	60407	1	6	2	5	
60407	建筑能手7	建筑术等级提升到7级	ui://Library/Image_FunctionIcon_Everyday	60407	60407	4	60408	2	7	3	5	
60408	建筑能手8	建筑术等级提升到8级	ui://Library/Image_FunctionIcon_Everyday	60408	60408	4	60409	3	8	3	5	
60409	建筑能手9	建筑术等级提升到9级	ui://Library/Image_FunctionIcon_Everyday	60409	60409	4	60410	4	9	3	5	
60410	建筑能手10	建筑术等级提升到10级	ui://Library/Image_FunctionIcon_Everyday	60410	60410	4	0	5	10	3	5	
												
60501	厉兵秣马1	士兵等阶提升到3阶	ui://Library/Image_FunctionIcon_Equip_Level	60501	60501	5	60502	1	1	1	6	
60502	厉兵秣马2	士兵等阶提升到4阶	ui://Library/Image_FunctionIcon_Equip_Level	60502	60502	5	60503	2	2	1	6	
60503	厉兵秣马3	士兵等阶提升到5阶	ui://Library/Image_FunctionIcon_Equip_Level	60503	60503	5	60504	3	3	2	6	
60504	厉兵秣马4	士兵等阶提升到7阶	ui://Library/Image_FunctionIcon_Equip_Level	60504	60504	5	60505	4	4	2	6	
60505	厉兵秣马5	士兵等阶提升到9阶	ui://Library/Image_FunctionIcon_Equip_Level	60505	60505	5	0	5	5	3	6	
												
60601	军事外城1	预备兵所等级提升到5级	ui://Library/Image_FunctionIcon_UniteCity	60601	60601	6	60602	1	1	1	7	
