任务id	任务名称	任务目标
id	name	target
70101	主城达成3级	70101
70102	通关列传第2章	70102
70103	开启崛起第8篇	70103
70201	主城达成4级	70201
70202	战胜千机楼20层	70202
70203	防守战力达到15000	70203
70301	主城达成5级	70301
70302	从殷墟获取20个宝物	70302
70303	通关列传第4章	70303
70401	主城达成6级	70401
70402	群雄会武达到450分	70402
70403	战胜野外势力50级	70403
70501	主城达成7级	70501
70502	战胜军团怪物30次	70502
70503	通关列传第5章	70503
70601	主城达到8级	70601
70602	名城战消灭敌军100万	70602
70603	战胜野外势力80级	70603
70701	主城达到9级	70701
70801	主城达到10级	70801
70901	主城达到11级	70901
71001	主城达到12级	71001
71101	主城达到13级	71101
71201	主城达到14级	71201
71301	主城达到15级	71301
71401	战力达到1000万	71401
