阶段	阶段名	任务，配置 ba_ye_task.txt 中的id	任务，配置 ba_ye_task.txt 中的id	任务，配置 ba_ye_task.txt 中的id	任务，配置 ba_ye_task.txt 中的id	任务，配置 ba_ye_task.txt 中的id				阶段奖励
stage	name	tasks	tasks	tasks	tasks	tasks	tasks	tasks	tasks	prize
1	少年城主	4011	4012	4013	4014					49001
2	驱逐匈奴	4021	4022	4023	4024	4085				49002
3	野外势力	4034	4031	4032	4033	4035				49003
4	荆轲刺秦	4041	4042	4043	4044	4045				49004
5	整军备战	4052	4053	4054	4055	4056				49005
6	为君之道	4061	4062	4063	4064	4065				49006
7	营救东施	4071	4072	4073	4074	4075	4076			49007
8	探索殷墟	4081	4082	4083	4084					49008
9	千机挑战	4091	4092	4093	4094	4095	4096			49009
10	单刀赴会	4101	4102	4103	4104	4105	4106	4107		49010
11	横扫千军	4111	4112	4113	4114	4115	4117	4116		49011
12	渐入佳境	4122	4123	4124	4125	4126				49012
13	终章	4131	4132	4133	4134	4135	4136	4137	4138	49013
