Id	名字	描述	图标	第几天	目标	奖励		
id	name	text	icon	day	target	prize		
90101	名士列传	通关名士列传第2章	ui://s5cy5qnpg4b4qp0f7	1	90101	90101		通关名士列传第2章
90102	挑战密室	战胜20层密室	ui://s5cy5qnpg4b4qp0f7	1	90102	90102		战胜20层密室
90103	联盟互助	帮助盟友100次	ui://s5cy5qnpg4b4qp0f7	1	90103	90103		帮助盟友100次
90104	采集资源	前往其他玩家农场采集5000资源	ui://s5cy5qnpg4b4qp0f7	1	90104	90104		农场累积偷取5000资源
90105	君主任务	完成君主任务5次	ui://s5cy5qnpg4b4qp0f7	1	90105	90105		完成君主任务5次
90106	横扫千军	参与横扫千军5次	ui://s5cy5qnpg4b4qp0f7	1	90106	90106		参与横扫千军5次
90107	武将封官	1个武将官职封为校尉	ui://s5cy5qnpg4b4qp0f7	1	90107	90107		1个武将官职封为校尉
90108	主城升级	主城升至5级	ui://s5cy5qnpg4b4qp0f7	1	90108	90108		主城升至5级
								
90201	挑战千机楼	战胜千机楼30层	ui://s5cy5qnpg4b4qp0f7	2	90201	90201		战胜千机楼30层
90202	讨伐野外势力	战胜野外势力40级	ui://s5cy5qnpg4b4qp0f7	2	90202	90202		战胜野外势力40级
90203	联盟捐献	联盟捐献10次	ui://s5cy5qnpg4b4qp0f7	2	90203	90203		联盟捐献10次
90204	讨伐次数	战胜野外势力20次	ui://s5cy5qnpg4b4qp0f7	2	90204	90204		战胜野外势力20次
90205	列传扫荡	扫荡名士列传25次	ui://s5cy5qnpg4b4qp0f7	2	90205	90205		扫荡名士列传25次
90206	开启宝物	开启6次宝物	ui://s5cy5qnpg4b4qp0f7	2	90206	90206		开启宝藏6次
90207	装备升级	5件装备升至25级	ui://s5cy5qnpg4b4qp0fh	2	90407	90407		10件装备强化至半星
90208	提升建筑术	建筑术升至3级	ui://s5cy5qnpg4b4qp0f7	2	90208	90208		建筑术升至3级
								
90301	名士列传	通关名士列传第5章	ui://s5cy5qnpg4b4qp0fh	3	90301	90301		通关名士列传第5章
90302	单刀赴会	战胜单刀赴会第一章关卡3	ui://s5cy5qnpg4b4qp0fh	3	90302	90302		战胜单刀赴会第一章关卡3
90303	联盟互助	帮助盟友300次	ui://s5cy5qnpg4b4qp0fh	3	90303	90303		帮助盟友300次
90304	领民进贡	领民进贡45次	ui://s5cy5qnpg4b4qp0fh	3	90304	90304		领民进贡45次
