君主等级	升级经验	装备等级上限	将魂等级上限	武将等级上限	武将个数上限	武将修炼位上限	解锁步兵	骑兵	弓兵	车兵	器械	千重楼出战武将限制	策略个数上限	体力值上限	训练馆	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限	槽位等级	等级上限		武将带兵量		队伍解锁个数	阵位解锁个数	阵位解锁
level	upgrade_exp	equipment_level_limit	captain_soul_level_limit	captain_level_limit	captain_count_limit	captain_practice_limit	unlocked_races	unlocked_races	unlocked_races	unlocked_races	unlocked_races	tower_captain_limit	strategy_limit	sp_limit		captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit	captain_training_level	captain_training_level_limit		add_soldier_capacity		troops_count	battle_station_count	troops_captain_count
1	50	21	25	21	3	5	bu	qi	gong	che	xie	5	5	100		4	5	3	4	3	4	2	4	2	4																						5		1	2	3
2	100	22	25	22	3	5	bu	qi	gong	che	xie	5	6	100		4	5	3	4	3	4	2	4	2	4																						10		1	2	3
3	120	23	25	23	4	5	bu	qi	gong	che	xie	5	7	100		4	5	3	4	3	4	2	4	2	4																						15		1	3	3
4	140	24	25	24	4	5	bu	qi	gong	che	xie	5	8	100		4	5	3	4	3	4	2	4	2	4																						20		1	4	4
5	160	25	25	25	4	5	bu	qi	gong	che	xie	5	9	100		4	5	3	4	3	4	2	4	2	4																						25		1	4	4
6	180	26	25	26	4	6	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4																				30		1	5	4
7	200	27	25	27	4	6	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4																				35		1	5	5
8	220	28	25	28	4	6	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4																				40		2	6	5
9	240	29	25	29	4	6	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4																				45		2	6	5
10	260	30	25	30	5	6	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4																				50		2	6	5
11	310	31	25	31	6	7	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4																		55		2	7	5
12	330	32	25	32	6	7	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4																		60		2	7	5
13	350	33	25	33	7	7	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4																		65		2	7	5
14	370	34	25	34	7	7	bu	qi	gong	che	xie	5	10	100		4	5	3	4	3	4	2	4	2	4	2	4	2	4																		70		2	7	5
