Id	未解锁时的图标，配置icon.txt 中的id	解锁时的图标，配置icon.txt 中的id	建筑类型，配置    SI_TU_FU = 30; // 司徒府    ZHU_BI_CHANG = 31; // 铸币厂    CAI_SHI_CHANGE = 32; // 采石场    JI_XIA_XUE_GONG = 33; // 稷下学宫    LU_BAN_GONG_FANG = 34; // 鲁班工坊    SI_MA_FU = 40; // 司马府    SHEN_SHE_YING = 41; // 神射营    HU_BEN_YING = 42; // 虎贲营    CHENG_FANG_JI_GUAN = 43; // 城防机关    YU_BEI_BING_SUO = 44; // 预备兵所	等级	建筑总体描述
id	lock_icon	unlock_icon	building_type	level	desc
1	司马府	司马府	SI_MA_FU	1	武将统兵[color=#2cd230]+%d[/color]
2	司马府	司马府	SI_MA_FU	2	武将统兵[color=#2cd230]+%d[/color]
3	司马府	司马府	SI_MA_FU	3	武将统兵[color=#2cd230]+%d[/color]
4	司马府	司马府	SI_MA_FU	4	武将统兵[color=#2cd230]+%d[/color]
5	司马府	司马府	SI_MA_FU	5	武将统兵[color=#2cd230]+%d[/color]
6	司马府	司马府	SI_MA_FU	6	武将统兵[color=#2cd230]+%d[/color]
7	司马府	司马府	SI_MA_FU	7	武将统兵[color=#2cd230]+%d[/color]
8	司马府	司马府	SI_MA_FU	8	武将统兵[color=#2cd230]+%d[/color]
9	司马府	司马府	SI_MA_FU	9	武将统兵[color=#2cd230]+%d[/color]
10	司马府	司马府	SI_MA_FU	10	武将统兵[color=#2cd230]+%d[/color]
11	司马府	司马府	SI_MA_FU	11	武将统兵[color=#2cd230]+%d[/color]
12	司马府	司马府	SI_MA_FU	12	武将统兵[color=#2cd230]+%d[/color]
13	司马府	司马府	SI_MA_FU	13	武将统兵[color=#2cd230]+%d[/color]
14	司马府	司马府	SI_MA_FU	14	武将统兵[color=#2cd230]+%d[/color]
15	司马府	司马府	SI_MA_FU	15	武将统兵[color=#2cd230]+%d[/color]
16	司马府	司马府	SI_MA_FU	16	武将统兵[color=#2cd230]+%d[/color]
17	司马府	司马府	SI_MA_FU	17	武将统兵[color=#2cd230]+%d[/color]
18	司马府	司马府	SI_MA_FU	18	武将统兵[color=#2cd230]+%d[/color]
19	司马府	司马府	SI_MA_FU	19	武将统兵[color=#2cd230]+%d[/color]
20	司马府	司马府	SI_MA_FU	20	武将统兵[color=#2cd230]+%d[/color]
21	司马府	司马府	SI_MA_FU	21	武将统兵[color=#2cd230]+%d[/color]
22	司马府	司马府	SI_MA_FU	22	武将统兵[color=#2cd230]+%d[/color]
23	司马府	司马府	SI_MA_FU	23	武将统兵[color=#2cd230]+%d[/color]
24	司马府	司马府	SI_MA_FU	24	武将统兵[color=#2cd230]+%d[/color]
25	司马府	司马府	SI_MA_FU	25	武将统兵[color=#2cd230]+%d[/color]
26	司马府	司马府	SI_MA_FU	26	武将统兵[color=#2cd230]+%d[/color]
27	司马府	司马府	SI_MA_FU	27	武将统兵[color=#2cd230]+%d[/color]
28	司马府	司马府	SI_MA_FU	28	武将统兵[color=#2cd230]+%d[/color]
29	司马府	司马府	SI_MA_FU	29	武将统兵[color=#2cd230]+%d[/color]
30	司马府	司马府	SI_MA_FU	30	武将统兵[color=#2cd230]+%d[/color]
31	司马府	司马府	SI_MA_FU	31	武将统兵[color=#2cd230]+%d[/color]
32	司马府	司马府	SI_MA_FU	32	武将统兵[color=#2cd230]+%d[/color]
33	司马府	司马府	SI_MA_FU	33	武将统兵[color=#2cd230]+%d[/color]
34	司马府	司马府	SI_MA_FU	34	武将统兵[color=#2cd230]+%d[/color]
35	司马府	司马府	SI_MA_FU	35	武将统兵[color=#2cd230]+%d[/color]
36	司马府	司马府	SI_MA_FU	36	武将统兵[color=#2cd230]+%d[/color]
37	司马府	司马府	SI_MA_FU	37	武将统兵[color=#2cd230]+%d[/color]
38	司马府	司马府	SI_MA_FU	38	武将统兵[color=#2cd230]+%d[/color]
39	司马府	司马府	SI_MA_FU	39	武将统兵[color=#2cd230]+%d[/color]
40	司马府	司马府	SI_MA_FU	40	武将统兵[color=#2cd230]+%d[/color]
41	司马府	司马府	SI_MA_FU	41	武将统兵[color=#2cd230]+%d[/color]
42	司马府	司马府	SI_MA_FU	42	武将统兵[color=#2cd230]+%d[/color]
43	司马府	司马府	SI_MA_FU	43	武将统兵[color=#2cd230]+%d[/color]
44	司马府	司马府	SI_MA_FU	44	武将统兵[color=#2cd230]+%d[/color]
45	司马府	司马府	SI_MA_FU	45	武将统兵[color=#2cd230]+%d[/color]
46	司马府	司马府	SI_MA_FU	46	武将统兵[color=#2cd230]+%d[/color]
47	司马府	司马府	SI_MA_FU	47	武将统兵[color=#2cd230]+%d[/color]
48	司马府	司马府	SI_MA_FU	48	武将统兵[color=#2cd230]+%d[/color]
49	司马府	司马府	SI_MA_FU	49	武将统兵[color=#2cd230]+%d[/color]
50	司马府	司马府	SI_MA_FU	50	武将统兵[color=#2cd230]+%d[/color]
					
51	城防机关	城防机关	CHENG_FANG_JI_GUAN	1	每小时修炼经验[color=#2cd230]+%d%%[/color]
52	城防机关	城防机关	CHENG_FANG_JI_GUAN	2	每小时修炼经验[color=#2cd230]+%d%%[/color]
53	城防机关	城防机关	CHENG_FANG_JI_GUAN	3	每小时修炼经验[color=#2cd230]+%d%%[/color]
54	城防机关	城防机关	CHENG_FANG_JI_GUAN	4	每小时修炼经验[color=#2cd230]+%d%%[/color]
55	城防机关	城防机关	CHENG_FANG_JI_GUAN	5	每小时修炼经验[color=#2cd230]+%d%%[/color]
56	城防机关	城防机关	CHENG_FANG_JI_GUAN	6	每小时修炼经验[color=#2cd230]+%d%%[/color]
57	城防机关	城防机关	CHENG_FANG_JI_GUAN	7	每小时修炼经验[color=#2cd230]+%d%%[/color]
58	城防机关	城防机关	CHENG_FANG_JI_GUAN	8	每小时修炼经验[color=#2cd230]+%d%%[/color]
59	城防机关	城防机关	CHENG_FANG_JI_GUAN	9	每小时修炼经验[color=#2cd230]+%d%%[/color]
60	城防机关	城防机关	CHENG_FANG_JI_GUAN	10	每小时修炼经验[color=#2cd230]+%d%%[/color]
61	城防机关	城防机关	CHENG_FANG_JI_GUAN	11	每小时修炼经验[color=#2cd230]+%d%%[/color]
62	城防机关	城防机关	CHENG_FANG_JI_GUAN	12	每小时修炼经验[color=#2cd230]+%d%%[/color]
63	城防机关	城防机关	CHENG_FANG_JI_GUAN	13	每小时修炼经验[color=#2cd230]+%d%%[/color]
64	城防机关	城防机关	CHENG_FANG_JI_GUAN	14	每小时修炼经验[color=#2cd230]+%d%%[/color]
65	城防机关	城防机关	CHENG_FANG_JI_GUAN	15	每小时修炼经验[color=#2cd230]+%d%%[/color]
66	城防机关	城防机关	CHENG_FANG_JI_GUAN	16	每小时修炼经验[color=#2cd230]+%d%%[/color]
67	城防机关	城防机关	CHENG_FANG_JI_GUAN	17	每小时修炼经验[color=#2cd230]+%d%%[/color]
68	城防机关	城防机关	CHENG_FANG_JI_GUAN	18	每小时修炼经验[color=#2cd230]+%d%%[/color]
69	城防机关	城防机关	CHENG_FANG_JI_GUAN	19	每小时修炼经验[color=#2cd230]+%d%%[/color]
70	城防机关	城防机关	CHENG_FANG_JI_GUAN	20	每小时修炼经验[color=#2cd230]+%d%%[/color]
71	城防机关	城防机关	CHENG_FANG_JI_GUAN	21	每小时修炼经验[color=#2cd230]+%d%%[/color]
72	城防机关	城防机关	CHENG_FANG_JI_GUAN	22	每小时修炼经验[color=#2cd230]+%d%%[/color]
73	城防机关	城防机关	CHENG_FANG_JI_GUAN	23	每小时修炼经验[color=#2cd230]+%d%%[/color]
74	城防机关	城防机关	CHENG_FANG_JI_GUAN	24	每小时修炼经验[color=#2cd230]+%d%%[/color]
75	城防机关	城防机关	CHENG_FANG_JI_GUAN	25	每小时修炼经验[color=#2cd230]+%d%%[/color]
76	城防机关	城防机关	CHENG_FANG_JI_GUAN	26	每小时修炼经验[color=#2cd230]+%d%%[/color]
77	城防机关	城防机关	CHENG_FANG_JI_GUAN	27	每小时修炼经验[color=#2cd230]+%d%%[/color]
78	城防机关	城防机关	CHENG_FANG_JI_GUAN	28	每小时修炼经验[color=#2cd230]+%d%%[/color]
79	城防机关	城防机关	CHENG_FANG_JI_GUAN	29	每小时修炼经验[color=#2cd230]+%d%%[/color]
80	城防机关	城防机关	CHENG_FANG_JI_GUAN	30	每小时修炼经验[color=#2cd230]+%d%%[/color]
81	城防机关	城防机关	CHENG_FANG_JI_GUAN	31	每小时修炼经验[color=#2cd230]+%d%%[/color]
82	城防机关	城防机关	CHENG_FANG_JI_GUAN	32	每小时修炼经验[color=#2cd230]+%d%%[/color]
83	城防机关	城防机关	CHENG_FANG_JI_GUAN	33	每小时修炼经验[color=#2cd230]+%d%%[/color]
84	城防机关	城防机关	CHENG_FANG_JI_GUAN	34	每小时修炼经验[color=#2cd230]+%d%%[/color]
85	城防机关	城防机关	CHENG_FANG_JI_GUAN	35	每小时修炼经验[color=#2cd230]+%d%%[/color]
86	城防机关	城防机关	CHENG_FANG_JI_GUAN	36	每小时修炼经验[color=#2cd230]+%d%%[/color]
87	城防机关	城防机关	CHENG_FANG_JI_GUAN	37	每小时修炼经验[color=#2cd230]+%d%%[/color]
