Level		每次恢复繁荣度	迁城每次恢复多少繁荣度	buff时间	（作废，用 buy_prosperity_restore_duration_with1_cost） 1元宝可以购买多长的恢复时间	1元宝可以购买多长的恢复时间		联盟工坊奖励							
level	name	restore_prosperity	move_base_restore_home_prosperity	move_base_restore_home_prosperity_duration	buy_prosperity_restore_duration_with1_yuanbao	buy_prosperity_restore_duration_with1_cost		workshop_prize							
1	官府等级1	20	100	24h	1m	6m		1			1000		450	0.06%	0
2	官府等级2	20	100	24h	2m	6m		1			1000		990	0.06%	0
3	官府等级3	20	100	24h	3m	6m		1			1000		1620	0.06%	0
4	官府等级4	20	100	24h	4m	6m		1			1000		2340	0.06%	0
5	官府等级5	20	100	24h	5m	6m		1			1000		3150	0.06%	0
6	官府等级6	20	100	24h	6m	6m		1			1000		4050	0.06%	0
7	官府等级7	20	100	24h	7m	6m		1			1000		5040	0.06%	0
8	官府等级8	20	100	24h	8m	6m		1			1000		6120	0.06%	0
9	官府等级9	20	100	24h	9m	6m		1			1000		7290	0.06%	0
10	官府等级10	20	100	24h	10m	6m		1			1000		8550	0.06%	10
11	官府等级11	40	200	24h	11m	6m		1			1500		17600	0.06%	10
12	官府等级12	40	200	24h	12m	6m		1			1500		20160	0.06%	10
13	官府等级13	40	200	24h	13m	6m		1			1500		22880	0.06%	10
14	官府等级14	40	200	24h	14m	6m		1			1500		25760	0.06%	20
15	官府等级15	40	200	24h	15m	6m		1			1500		28800	0.06%	20
16	官府等级16	40	200	24h	16m	6m		1			1600		40000	0.06%	20
17	官府等级17	40	200	24h	17m	6m		1			1700		44200	0.06%	30
18	官府等级18	40	200	24h	18m	6m		1			1800		48600	0.06%	30
19	官府等级19	40	200	24h	19m	6m		1			1900		53200	0.06%	30
20	官府等级20	50	250	24h	20m	6m		1			2175		78300	0.06%	50
21	官府等级21	50	250	24h	21m	6m		1			2362		85050	0.06%	50
22	官府等级22	60	300	24h	22m	6m		1			2936		105710	0.06%	60
23	官府等级23	70	350	24h	23m	6m		1			3168		114080	0.06%	70
24	官府等级24	90	450	24h	24m	6m		1			4180		150480	0.06%	90
25	官府等级25	100	500	24h	25m	6m		1			4486		161500	0.06%	100
26	官府等级26	110	550	24h	26m	6m		1			5308		191100	0.06%	110
27	官府等级27	120	600	24h	27m	6m		1			5670		204120	0.06%	120
28	官府等级28	150	750	24h	28m	6m		1			7050		253820	0.06%	150
29	官府等级29	160	800	24h	29m	6m		1			7499		269990	0.06%	160
30	官府等级30	190	950	24h	30m	6m		1			8612		310050	0.06%	190
31	官府等级31	200	1000	24h	31m	6m		1			9127		328600	0.06%	200
32	官府等级32	210	1050	24h	32m	6m		1			9657		347680	0.06%	210
33	官府等级33	220	1100	24h	33m	6m		1			10202		367290	0.06%	220
34	官府等级34	230	1150	24h	34m	6m		1			10761		387430	0.06%	230
35	官府等级35	240	1200	24h	35m	6m		1			11336		408100	0.06%	240
36	官府等级36	260	1300	24h	36m	6m		1			11925		429300	0.06%	260
37	官府等级37	270	1350	24h	37m	6m		1			12528		451030	0.06%	270
38	官府等级38	280	1400	24h	38m	6m		1			13146		473290	0.06%	280
39	官府等级39	300	1500	24h	39m	6m		1			13780		496080	0.06%	300
40	官府等级40	310	1550	24h	40m	6m		1			14427		519400	0.06%	310
41	官府等级41	330	1650	24h	41m	6m		1			15090		543250	0.06%	330
42	官府等级42	340	1700	24h	42m	6m		1			15767		567630	0.06%	340
43	官府等级43	360	1800	24h	43m	6m		1			16459		592540	0.06%	360
44	官府等级44	370	1850	24h	44m	6m		1			17166		617980	0.06%	370
45	官府等级45	390	1950	24h	45m	6m		1			17902		644480	0.06%	390
46	官府等级46	400	2000	24h	46m	6m		1			18667		672040	0.06%	400
47	官府等级47	420	2100	24h	47m	6m		1			19462		700660	0.06%	420
48	官府等级48	440	2200	24h	48m	6m		1			20287		730340	0.06%	440
49	官府等级49	460	2300	24h	49m	6m		1			21155		761610	0.06%	460
50	官府等级50	480	2400	24h	50m	6m		1			22083		795000	0.06%	480
