"id,5-6位编码表示建筑，前1-2为表示建筑类型，后两位表示建筑等级"	名字	类型    GUAN_FU = 2; // 官府    CANG_KU = 3; // 仓库    JIU_GUAN = 4; // 酒馆    JUN_YING = 5; // 军营    CHENG_QIANG = 6; // 城墙    SHU_YUAN = 7; // 书院    WAI_SHI_YUAN = 8; // 外使院    TIE_JIANG_PU = 9; // 铁匠铺    XIU_LIAN_GUAN = 10; // 修炼馆    SHI_CHANG = 11; // 市场    XING_YING = 12; // 行营    GOLD_PRODUCER = 21; // 金币产出    FOOD_PRODUCER = 22; // 食物产出    WOOD_PRODUCER = 23; // 木头产出    STONE_PRODUCER = 24; // 石头产出    SI_TU_FU = 30; // 司徒府    ZHU_BI_CHANG = 31; // 铸币厂    CAI_SHI_CHANGE = 32; // 采石场    JI_XIA_XUE_GONG = 33; // 稷下学宫    LU_BAN_GONG_FANG = 34; // 鲁班工坊    SI_MA_FU = 40; // 司马府    SHEN_SHE_YING = 41; // 神射营    HU_BEN_YING = 42; // 虎贲营    CHENG_FANG_JI_GUAN = 43; // 城防机关    YU_BEI_BING_SUO = 44; // 预备兵所	等级	升级所需建筑队时间	繁荣度	君主经验	升级消耗的资源，关联Cost表	前置建筑	要求主城等级		effect，关联domestic/effect.txt表	建筑效果描述	建筑功能按钮图标	模型	建筑效果描述	解锁预览	升级预览											
id	name	type	level	work_time	prosperity	hero_exp	cost	require_ids	base_level		effect	desc	icon	model	effect_desc	notice	tips											
20001	官府1	guan_fu	1		50	1	20001		1		20001	建造速度提升|5%|10%;每小时获得铜币和石料|350|700	官府征收图标	1000	建造速度提升[color=#ffea8a]5%[/color]	8级官府建筑工疲劳上限提升至1小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升5%（升级[color=#0cb93b]+5%[/color]） \n税收350（升级[color=#0cb93b]+350[/color]）											2400
20002	官府2	guan_fu	2	0.105h	110	1	20002		1		20002	建造速度提升|10%|15%;官府税收获得铜币和石料|700|1050	官府征收图标	1000	建造速度提升[color=#ffea8a]10%	8级官府建筑工疲劳上限提升至1小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升10%（升级[color=#0cb93b]+5%[/color]） \n税收700（升级[color=#0cb93b]+350[/color]）											3000
20003	官府3	guan_fu	3	0.126h	180	1	20003		1		20003	建造速度提升|15%|20%;官府税收获得铜币和石料|1050|1400	官府征收图标	1000	建造速度提升[color=#ffea8a]15%	8级官府建筑工疲劳上限提升至1小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升15%（升级[color=#0cb93b]+5%[/color]） \n税收1050（升级[color=#0cb93b]+350[/color]）											3600
20004	官府4	guan_fu	4	0.147h	260	2	20004		1		20004	建造速度提升|20%|25%;官府税收获得铜币和石料|1400|1750	官府征收图标	1000	建造速度提升[color=#ffea8a]20%[/color]\n联盟捐献次数[color=#ffea8a]1	8级官府建筑工疲劳上限提升至1小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升20%（升级[color=#0cb93b]+5%[/color]） \n税收1400（升级[color=#0cb93b]+350[/color]）											4200
20005	官府5	guan_fu	5	0.168h	350	2	20005		2		20005	建造速度提升|25%|30%;官府税收获得铜币和石料|1750|2100	官府征收图标	1001	建造速度提升[color=#ffea8a]25%[/color]\n联盟捐献次数[color=#ffea8a]2	8级官府建筑工疲劳上限提升至1小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升25%（升级[color=#0cb93b]+5%[/color]） \n税收1750（升级[color=#0cb93b]+350[/color]）											4800
20006	官府6	guan_fu	6	0.189h	450	2	20006		2		20006	建造速度提升|30%|35%;官府税收获得铜币和石料|2100|2450	官府征收图标	1001	建造速度提升[color=#ffea8a]30%	8级官府建筑工疲劳上限提升至1小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升30%（升级[color=#0cb93b]+5%[/color]） \n税收2100（升级[color=#0cb93b]+350[/color]）											5400
20007	官府7	guan_fu	7	0.21h	560	3	20007		2		20007	建造速度提升|35%|40%;官府税收获得铜币和石料|2450|2800	官府征收图标	1001	建造速度提升[color=#ffea8a]35%[/color]\n建筑疲劳上限[color=#ffea8a]30[/color]分钟	8级官府建筑工疲劳上限提升至1小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升35%（升级[color=#0cb93b]+5%[/color]） \n税收2450（升级[color=#0cb93b]+350[/color]）											6000
20008	官府8	guan_fu	8	0.52h	680	3	20008		3		20008	建造速度提升|40%|45%;官府税收获得铜币和石料|2800|3150	官府征收图标	1002	建造速度提升[color=#ffea8a]40%[/color]\n建筑疲劳上限[color=#ffea8a]1[/color]小时	12级官府建筑工疲劳上限提升至2小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升40%（升级[color=#0cb93b]+5%[/color]） \n税收2800（升级[color=#0cb93b]+350[/color]）											6600
20009	官府9	guan_fu	9	1.25h	810	3	20009		3		20009	建造速度提升|45%|50%;官府税收获得铜币和石料|3150|3500	官府征收图标	1002	建造速度提升[color=#ffea8a]45%	12级官府建筑工疲劳上限提升至2小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升45%（升级[color=#0cb93b]+5%[/color]） \n税收3150（升级[color=#0cb93b]+350[/color]）											7200
20010	官府10	guan_fu	10	2.4h	950	4	20010		3		20010	建造速度提升|50%|55%;官府税收获得铜币和石料|3500|3850	官府征收图标	1002	建造速度提升[color=#ffea8a]50%	12级官府建筑工疲劳上限提升至2小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升50%（升级[color=#0cb93b]+5%[/color]） \n税收3500（升级[color=#0cb93b]+350[/color]）											7800
20011	官府11	guan_fu	11	3.55h	1100	4	20011		3		20011	建造速度提升|55%|60%;官府税收获得铜币和石料|3850|4200	官府征收图标	1002	建造速度提升[color=#ffea8a]55%[/color]\n建筑疲劳上限[color=#ffea8a]1[/color]小时	12级官府建筑工疲劳上限提升至2小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升55%（升级[color=#0cb93b]+5%[/color]） \n税收3850（升级[color=#0cb93b]+350[/color]）											8400
20012	官府12	guan_fu	12	4.87h	1260	4	20012		4		20012	建造速度提升|60%|65%;官府税收获得铜币和石料|4200|4550	官府征收图标	1003	建造速度提升[color=#ffea8a]60%[/color]\n建筑疲劳上限[color=#ffea8a]2[/color]小时	16级官府建筑工疲劳上限提升至4小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升60%（升级[color=#0cb93b]+5%[/color]） \n税收4200（升级[color=#0cb93b]+350[/color]）											9000
20013	官府13	guan_fu	13	7.09h	1430	5	20013	60008	4		20013	建造速度提升|65%|70%;官府税收获得铜币和石料|4550|4900	官府征收图标	1003	建造速度提升[color=#ffea8a]65%	16级官府建筑工疲劳上限提升至4小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升65%（升级[color=#0cb93b]+5%[/color]） \n税收4550（升级[color=#0cb93b]+350[/color]）											9600
20014	官府14	guan_fu	14	9.24h	1610	5	20014	60009	4		20014	建造速度提升|70%|75%;官府税收获得铜币和石料|4900|5250	官府征收图标	1003	建造速度提升[color=#ffea8a]70%	16级官府建筑工疲劳上限提升至4小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升70%（升级[color=#0cb93b]+5%[/color]） \n税收4900（升级[color=#0cb93b]+350[/color]）											10200
20015	官府15	guan_fu	15	13.7h	1800	5	20015	60010	4		20015	建造速度提升|75%|80%;官府税收获得铜币和石料|5250|5600	官府征收图标	1003	建造速度提升[color=#ffea8a]75%[/color]\n建筑疲劳上限[color=#ffea8a]2[/color]小时	16级官府建筑工疲劳上限提升至4小时	[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升75%（升级[color=#0cb93b]+5%[/color]） \n税收5250（升级[color=#0cb93b]+350[/color]）											10800
20016	官府16	guan_fu	16	17.97h	2000	6	20016		5		20016	建造速度提升|80%|90%;官府税收获得铜币和石料|5600|5950	官府征收图标	1004	建造速度提升[color=#ffea8a]80%[/color]\n建筑疲劳上限[color=#ffea8a]4[/color]时		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升80%（升级[color=#0cb93b]+10%[/color]） \n税收5600（升级[color=#0cb93b]+350[/color]）											11400
20017	官府17	guan_fu	17	22.34h	2210	6	20017	60012	5		20017	建造速度提升|90%|100%;官府税收获得铜币和石料|5950|6300	官府征收图标	1004	建造速度提升[color=#ffea8a]90%[/color]		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升90%（升级[color=#0cb93b]+10%[/color]） \n税收5950（升级[color=#0cb93b]+350[/color]）											12000
20018	官府18	guan_fu	18	26.62h	2430	6	20018	60013	5		20018	建造速度提升|100%|110%;官府税收获得铜币和石料|6300|6650	官府征收图标	1004	建造速度提升[color=#ffea8a]100%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升100%（升级[color=#0cb93b]+10%[/color]） \n税收6300（升级[color=#0cb93b]+350[/color]）											13000
20019	官府19	guan_fu	19	33.1h	2660	7	20019	60014	5		20019	建造速度提升|110%|120%;官府税收获得铜币和石料|6650|7000	官府征收图标	1004	建造速度提升[color=#ffea8a]110%[/color]\n联盟捐献次数[color=#ffea8a]6		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升110%（升级[color=#0cb93b]+10%[/color]） \n税收6650（升级[color=#0cb93b]+350[/color]）											14000
20020	官府20	guan_fu	20	40.25h	2900	7	20020		6		20020	建造速度提升|120%|130%;官府税收获得铜币和石料|7000|7500	官府征收图标	1005	建造速度提升[color=#ffea8a]120%[/color]\n联盟捐献次数[color=#ffea8a]7		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升120%（升级[color=#0cb93b]+10%[/color]） \n税收7000（升级[color=#0cb93b]+500[/color]）											15000
20021	官府21	guan_fu	21	48.97h	3150	7	20021	60016	6		20021	建造速度提升|130%|140%;官府税收获得铜币和石料|7500|8000	官府征收图标	1005	建造速度提升[color=#ffea8a]130%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升130%（升级[color=#0cb93b]+10%[/color]） \n税收7500（升级[color=#0cb93b]+500[/color]）											16000
20022	官府22	guan_fu	22	57.53h	3410	8	20022	60017	6		20022	建造速度提升|140%|150%;官府税收获得铜币和石料|8000|8500	官府征收图标	1005	建造速度提升[color=#ffea8a]140%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升140%（升级[color=#0cb93b]+10%[/color]） \n税收8000（升级[color=#0cb93b]+500[/color]）											18000
20023	官府23	guan_fu	23	68.39h	3680	8	20023	60018	6		20023	建造速度提升|150%|160%;官府税收获得铜币和石料|8500|9000	官府征收图标	1005	建造速度提升[color=#ffea8a]150%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升150%（升级[color=#0cb93b]+10%[/color]） \n税收8500（升级[color=#0cb93b]+500[/color]）											20000
20024	官府24	guan_fu	24	81.18h	3960	8	20024		7		20024	建造速度提升|160%|170%;官府税收获得铜币和石料|9000|9500	官府征收图标	1006	建造速度提升[color=#ffea8a]160%		[color=#ffea8a]建造加速、提高税收[/color]\n建造速度提升160%（升级[color=#0cb93b]+10%[/color]） \n税收9000（升级[color=#0cb93b]+500[/color]）											22000
