id	建筑类型					所需主城等级	odd-q	even col	1表示不与其他人冲突的地块（中心点以及周围一圈使用）	直偶数偏移规则，http://b.lightpaw.com/t/topic/36
id	building_type	building_type	building_type	building_type		require_base_level	region_offset_x	region_offset_y	ignore_conflict	
1	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		1	0	0		
2	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		1	0	1		
3	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		1	1	0		
4	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		1	1	-1		
5	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		1	0	-1		
6	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		1	-1	-1		
7	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		1	-1	0		
8	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		2	-2	0		
9	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		2	2	0		
10	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		3	-1	1		
11	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		3	1	-2		
12	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		4	-1	-2		
13	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		4	1	1		
14	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		5	0	-2		
15	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		5	-2	1		
16	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		5	2	1		
17	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		6	-2	-1		
18	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		6	2	-1		
19	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		6	0	2		
20	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		7	-3	-1		
21	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		7	-3	0		
22	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		7	3	-1		
23	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		7	3	0		
24	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		8	-1	-3		
25	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		8	0	-3		
26	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		8	1	-3		
27	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		8	-1	2		
28	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		8	0	3		
29	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		8	1	2		
30	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		9	-3	-2		
31	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		9	-2	-2		
32	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		9	2	-2		
33	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		9	3	-2		
34	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		9	-3	1		
35	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		9	-2	2		
36	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		9	2	2		
37	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		9	3	1		
38	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		10	-3	2		
39	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		10	-2	3		
40	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		10	2	3		
41	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		10	3	2		
42	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		10	-3	-3		
43	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		10	-2	-3		
44	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		10	2	-3		
45	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		10	3	-3		
46	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		11	-4	2		
47	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		11	-4	-2		
48	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		11	-1	3		
49	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		11	1	3		
50	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		11	4	2		
51	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		11	4	-2		
52	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		11	1	-4		
53	GOLD_PRODUCER	FOOD_PRODUCER	WOOD_PRODUCER	STONE_PRODUCER		11	-1	-4		
