id	名称	仓库金币容量	粮食	木材	石料	仓库保护容量		产出资源类型	资源产出量，每小时	资源点存储上限		军营士兵容量	军营士兵产量，每小时	军营强征士兵数	新兵产量，每小时	新兵最大容量	伤兵容量	增加招募的士兵数量		远程兵种加的属性	近战兵种加的属性		兵种	兵种	兵种	兵种属性	士兵负载	给所有兵种加的属性		修炼馆产出基数，每小时	修炼馆容量基数	修炼馆每小时产出经验	修炼馆加成系数		减少建筑cd，填0.1表示减少10%的cd	减少科技cd，填0.1表示减少10%的cd	建筑队疲劳时间	科技队疲劳时间		行营繁荣度上限	行营抢修值上限		主城城墙固定伤害	主城城墙属性	行营城墙固定伤害	行营城墙属性		求助减少CD	求助最大被帮助次数	联盟捐献次数		农场产出资源类型	农场产出加成，千分比		官府税收，金币	粮食	木材	石料		驻守附加属性	协防附加属性	镜像驻守附加属性		建筑消耗减少	科技消耗减少		建筑	科技	修炼	农铜	农石	税铜	税石	
id	name	capcity	capcity	capcity	capcity	protected_capcity		output_type	output	output_capcity		soldier_capcity	soldier_output	force_soldier	new_soldier_output	new_soldier_capcity	wounded_soldier_capcity	recruit_soldier_count		far_stat	close_stat		soldier_race	soldier_race	soldier_race	soldier_stat	soldier_load	all_soldier_stat		train_output	train_capcity	train_exp_per_hour	train_coef		building_worker_cdr	tech_worker_cdr	building_worker_fatigue_duration	tech_worker_fatigue_duration		tent_prosperity_capcity	tent_repair_capcity		home_wall_fix_damage	home_wall_stat	tent_wall_fix_damage	tent_wall_stat		seek_help_cdr	seek_help_max_times	guild_donate_times		farm_output_type	farm_output		tax	tax	tax	tax		added_defense_stat	added_assist_stat	added_copy_defense_stat		building_cost_reduce_coef	tech_cost_reduce_coef									
1	初始效果	1000000	1000000	1000000	1000000																																																																					
20001	官府1																																		0.05		0.5h													1					350	1%	1%	350																
20002	官府2																																		0.1		0.5h													1					700	1%	1%	700																
20003	官府3																																		0.15		0.5h													1					1050	1%	1%	1050																
20004	官府4																																		0.2		0.5h													1					1400	1%	1%	1400																
20005	官府5																																		0.25		0.5h													2					1750	1%	1%	1750																
20006	官府6																																		0.3		0.5h													2					2100	1%	1%	2100																
20007	官府7																																		0.35		0.5h													2					2450	1%	1%	2450																
20008	官府8																																		0.4		1h													2					2800	1%	1%	2800																
20009	官府9																																		0.45		1h													2					3150	1%	1%	3150																
20010	官府10																																		0.5		1h													3					3500	1%	1%	3500																
20011	官府11																																		0.55		1h													3					3850	1%	1%	3850																
20012	官府12																																		0.6		2h													3					4200	1%	1%	4200																
20013	官府13																																		0.65		2h													3					4550	1%	1%	4550																
20014	官府14																																		0.7		2h													3					4900	1%	1%	4900																
20015	官府15																																		0.75		2h													4					5250	1%	1%	5250																
20016	官府16																																		0.8		4h													4					5600	1%	1%	5600																
20017	官府17																																		0.9		4h													4					5950	1%	1%	5950																
20018	官府18																																		1		4h													4					6300	1%	1%	6300																
20019	官府19																																		1.1		4h													4					6650	1%	1%	6650																
20020	官府20																																		1.2		4h													5					7000	1%	1%	7000																
20021	官府21																																		1.3		4h													5					7500	1%	1%	7500																
20022	官府22																																		1.4		4h													5					8000	1%	1%	8000																
20023	官府23																																		1.5		4h													5					8500	1%	1%	8500																
20024	官府24																																		1.6		4h													5					9000	1%	1%	9000																
20025	官府25																																		1.7		4h													6					9500	1%	1%	9500																
20026	官府26																																		1.8		4h													6					10000	1%	1%	10000																
20027	官府27																																		1.9		4h													6					10500	1%	1%	10500																
20028	官府28																																		2		4h													6					11000	1%	1%	11000																
20029	官府29																																		2.1		4h													6					11500	1%	1%	11500																
20030	官府30																																		2.2		4h													7					12000	1%	1%	12000																
20031	官府31																																		2.3		4h													7					13000	1%	1%	13000																
20032	官府32																																		2.4		4h													7					14000	1%	1%	14000																
20033	官府33																																		2.5		4h													7					15000	1%	1%	15000																
20034	官府34																																		2.6		4h													7					16000	1%	1%	16000																
20035	官府35																																		2.7		4h													8					17000	1%	1%	17000																
20036	官府36																																		2.8		4h													8					18000	1%	1%	18000																
20037	官府37																																		2.9		4h													8					19000	1%	1%	19000																
20038	官府38																																		3		4h													8					20000	1%	1%	20000																
20039	官府39																																		3.1		4h													8					22000	1%	1%	22000																
20040	官府40																																		3.2		4h													9					24000	1%	1%	24000																
20041	官府41																																		3.3		4h													9					26000	1%	1%	26000																
20042	官府42																																		3.4		4h													9					28000	1%	1%	28000																
20043	官府43																																		3.5		4h													9					30000	1%	1%	30000																
20044	官府44																																		3.6		4h													9					32000	1%	1%	32000																
20045	官府45																																		3.7		4h													10					34000	1%	1%	34000																
20046	官府46																																		3.8		4h													10					36000	1%	1%	36000																
20047	官府47																																		3.9		4h													10					38000	1%	1%	38000																
20048	官府48																																		4		4h													10					40000	1%	1%	40000																
20049	官府49																																		4.1		4h													10					42000	1%	1%	42000																
20050	官府50																																		4.2		4h													11					44000	1%	1%	44000																
																																																																										
30001	仓库-1	500000	1%	1%	500000	1%																																																																				
30002	仓库-2	1000000	1%	1%	1000000	1%																																																																				
30003	仓库-3	1500000	1%	1%	1500000	1%																																																																				
30004	仓库-4	2000000	1%	1%	2000000	1%																																																																				
30005	仓库-5	2500000	1%	1%	2500000	1%																																																																				
30006	仓库-6	3000000	1%	1%	3000000	1%																																																																				
30007	仓库-7	3500000	1%	1%	3500000	1%																																																																				
30008	仓库-8	4000000	1%	1%	4000000	1%																																																																				
30009	仓库-9	4500000	1%	1%	4500000	1%																																																																				
30010	仓库-10	5000000	1%	1%	5000000	1%																																																																				
30011	仓库-11	6000000	1%	1%	6000000	1%																																																																				
30012	仓库-12	7000000	1%	1%	7000000	1%																																																																				
30013	仓库-13	8000000	1%	1%	8000000	1%																																																																				
30014	仓库-14	9000000	1%	1%	9000000	1%																																																																				
30015	仓库-15	10000000	1%	1%	10000000	1%																																																																				
30016	仓库-16	11000000	1%	1%	11000000	1%																																																																				
30017	仓库-17	12000000	1%	1%	12000000	1%																																																																				
30018	仓库-18	13000000	1%	1%	13000000	1%																																																																				
30019	仓库-19	14000000	1%	1%	14000000	1%																																																																				
30020	仓库-20	16000000	1%	1%	16000000	1%																																																																				
30021	仓库-21	18000000	1%	1%	18000000	1%																																																																				
30022	仓库-22	20000000	1%	1%	20000000	1%																																																																				
30023	仓库-23	22000000	1%	1%	22000000	1%																																																																				
30024	仓库-24	24000000	1%	1%	24000000	1%																																																																				
30025	仓库-25	26000000	1%	1%	26000000	1%																																																																				
30026	仓库-26	28000000	1%	1%	28000000	1%																																																																				
30027	仓库-27	30000000	1%	1%	30000000	1%																																																																				
30028	仓库-28	32000000	1%	1%	32000000	1%																																																																				
30029	仓库-29	34000000	1%	1%	34000000	1%																																																																				
30030	仓库-30	40000000	1%	1%	40000000	1%																																																																				
30031	仓库-31	46000000	1%	1%	46000000	1%																																																																				
30032	仓库-32	52000000	1%	1%	52000000	1%																																																																				
30033	仓库-33	58000000	1%	1%	58000000	1%																																																																				
30034	仓库-34	64000000	1%	1%	64000000	1%																																																																				
30035	仓库-35	70000000	1%	1%	70000000	1%																																																																				
30036	仓库-36	90000000	1%	1%	90000000	1%																																																																				
30037	仓库-37	120000000	1%	1%	120000000	1%																																																																				
30038	仓库-38	150000000	1%	1%	150000000	1%																																																																				
30039	仓库-39	180000000	1%	1%	180000000	1%																																																																				
30040	仓库-40	210000000	1%	1%	210000000	1%																																																																				
30041	仓库-41	240000000	1%	1%	240000000	1%																																																																				
30042	仓库-42	280000000	1%	1%	280000000	1%																																																																				
30043	仓库-43	340000000	1%	1%	340000000	1%																																																																				
30044	仓库-44	400000000	1%	1%	400000000	1%																																																																				
30045	仓库-45	460000000	1%	1%	460000000	1%																																																																				
30046	仓库-46	520000000	1%	1%	520000000	1%																																																																				
30047	仓库-47	580000000	1%	1%	580000000	1%																																																																				
30048	仓库-48	640000000	1%	1%	640000000	1%																																																																				
30049	仓库-49	700000000	1%	1%	700000000	1%																																																																				
30050	仓库-50	800000000	1%	1%	800000000	1%																																																																				
																																																																										
50001	军营-1											10000	90	360	150	10000	10000	90																																																								
50002	军营-2											10500	180	720	300	10500	10500	180																																																								
50003	军营-3											11000	270	1080	450	11000	11000	270																																																								
50004	军营-4											11500	360	1440	600	14000	14000	360																																																								
50005	军营-5											12000	450	1800	750	18000	18000	450																																																								
50006	军营-6											12500	540	2160	900	22000	22000	540																																																								
50007	军营-7											13000	630	2520	1050	25000	25000	630																																																								
50008	军营-8											14400	720	2880	1200	29000	29000	720																																																								
50009	军营-9											16200	810	3240	1350	32000	32000	810																																																								
50010	军营-10											18000	900	3600	1500	36000	36000	900																																																								
50011	军营-11											19800	990	3960	1650	40000	40000	990																																																								
50012	军营-12											21600	1080	4320	1800	43000	43000	1080																																																								
50013	军营-13											23400	1170	4680	1950	47000	47000	1170																																																								
50014	军营-14											25200	1260	5040	2100	50000	50000	1260																																																								
50015	军营-15											27000	1350	5400	2250	54000	54000	1350																																																								
50016	军营-16											28800	1440	5760	2400	58000	58000	1440																																																								
50017	军营-17											30600	1530	6120	2550	61000	61000	1530																																																								
50018	军营-18											32400	1620	6480	2700	65000	65000	1620																																																								
50019	军营-19											34200	1710	6840	2850	68000	68000	1710																																																								
50020	军营-20											36000	1800	7200	3000	72000	72000	1800																																																								
50021	军营-21											38400	1920	7680	3200	77000	77000	1920																																																								
50022	军营-22											40800	2040	8160	3400	82000	82000	2040																																																								
50023	军营-23											43200	2160	8640	3600	86000	86000	2160																																																								
50024	军营-24											45600	2280	9120	3800	91000	91000	2280																																																								
50025	军营-25											48000	2400	9600	4000	96000	96000	2400																																																								
50026	军营-26											50400	2520	10080	4200	101000	101000	2520																																																								
50027	军营-27											52800	2640	10560	4400	106000	106000	2640																																																								
50028	军营-28											55200	2760	11040	4600	110000	110000	2760																																																								
50029	军营-29											57600	2880	11520	4800	115000	115000	2880																																																								
50030	军营-30											60000	3000	12000	5000	120000	120000	3000																																																								
50031	军营-31											63000	3150	12600	5250	126000	126000	3150																																																								
50032	军营-32											66000	3300	13200	5500	132000	132000	3300																																																								
50033	军营-33											69000	3450	13800	5750	138000	138000	3450																																																								
50034	军营-34											72000	3600	14400	6000	144000	144000	3600																																																								
50035	军营-35											75000	3750	15000	6250	150000	150000	3750																																																								
50036	军营-36											78000	3900	15600	6500	156000	156000	3900																																																								
50037	军营-37											81000	4050	16200	6750	162000	162000	4050																																																								
50038	军营-38											84000	4200	16800	7000	168000	168000	4200																																																								
50039	军营-39											87000	4350	17400	7250	174000	174000	4350																																																								
50040	军营-40											90000	4500	18000	7500	180000	180000	4500																																																								
50041	军营-41											93000	4650	18600	7750	186000	186000	4650																																																								
50042	军营-42											96000	4800	19200	8000	192000	192000	4800																																																								
50043	军营-43											99000	4950	19800	8250	198000	198000	4950																																																								
50044	军营-44											102000	5100	20400	8500	204000	204000	5100																																																								
50045	军营-45											105000	5250	21000	8750	210000	210000	5250																																																								
50046	军营-46											108000	5400	21600	9000	216000	216000	5400																																																								
50047	军营-47											111000	5550	22200	9250	222000	222000	5550																																																								
50048	军营-48											114000	5700	22800	9500	228000	228000	5700																																																								
50049	军营-49											117000	5850	23400	9750	234000	234000	5850																																																								
50050	军营-50											120000	6000	24000	10000	240000	240000	6000																																																								
																																																																										
60001	城墙1																																										12	60001																301	302	303												
60002	城墙2																																										24	60002																301	302	303												
60003	城墙3																																										36	60003																301	302	303												
60004	城墙4																																										48	60004																301	302	303												
60005	城墙5																																										60	60005																301	302	303												
60006	城墙6																																										72	60006																301	302	303												
60007	城墙7																																										84	60007																301	302	303												
60008	城墙8																																										96	60008																301	302	303												
60009	城墙9																																										108	60009																301	302	303												
60010	城墙10																																										120	60010																301	302	303												
60011	城墙11																																										132	60011																301	302	303												
60012	城墙12																																										144	60012																301	302	303												
60013	城墙13																																										156	60013																301	302	303												
60014	城墙14																																										168	60014																301	302	303												
60015	城墙15																																										200	60015																301	302	303												
60016	城墙16																																										240	60016																301	302	303												
60017	城墙17																																										280	60017																301	302	303												
60018	城墙18																																										320	60018																301	302	303												
60019	城墙19																																										360	60019																301	302	303												
60020	城墙20																																										400	60020																301	302	303												
60021	城墙21																																										440	60021																301	302	303												
60022	城墙22																																										480	60022																301	302	303												
60023	城墙23																																										520	60023																301	302	303												
60024	城墙24																																										560	60024																301	302	303												
60025	城墙25																																										600	60025																301	302	303												
60026	城墙26																																										640	60026																301	302	303												
60027	城墙27																																										680	60027																301	302	303												
60028	城墙28																																										720	60028																301	302	303												
60029	城墙29																																										760	60029																301	302	303												
60030	城墙30																																										800	60030																301	302	303												
60031	城墙31																																										840	60031																301	302	303												
60032	城墙32																																										880	60032																301	302	303												
60033	城墙33																																										920	60033																301	302	303												
60034	城墙34																																										960	60034																301	302	303												
60035	城墙35																																										1000	60035																301	302	303												
60036	城墙36																																										1040	60036																301	302	303												
60037	城墙37																																										1080	60037																301	302	303												
60038	城墙38																																										1120	60038																301	302	303												
60039	城墙39																																										1160	60039																301	302	303												
60040	城墙40																																										1200	60040																301	302	303												
60041	城墙41																																										1280	60041																301	302	303												
60042	城墙42																																										1360	60042																301	302	303												
60043	城墙43																																										1440	60043																301	302	303												
60044	城墙44																																										1520	60044																301	302	303												
60045	城墙45																																										1600	60045																301	302	303												
60046	城墙46																																										1680	60046																301	302	303												
60047	城墙47																																										1760	60047																301	302	303												
60048	城墙48																																										1840	60048																301	302	303												
60049	城墙49																																										1920	60049																301	302	303												
60050	城墙50																																										2000	60050																301	302	303												
																																																																										
70001	书院1																																			0.05		0.5h																																				
70002	书院2																																			0.1		0.5h																																				
70003	书院3																																			0.15		0.5h																																				
70004	书院4																																			0.2		0.5h																																				
70005	书院5																																			0.25		0.5h																																				
70006	书院6																																			0.3		0.5h																																				
70007	书院7																																			0.35		0.5h																																				
70008	书院8																																			0.4		1h																																				
70009	书院9																																			0.45		1h																																				
70010	书院10																																			0.5		1h																																				
70011	书院11																																			0.65		1h																																				
70012	书院12																																			0.8		2h																																				
70013	书院13																																			0.95		2h																																				
70014	书院14																																			1.1		2h																																				
70015	书院15																																			1.25		2h																																				
70016	书院16																																			1.4		4h																																				
70017	书院17																																			1.55		4h																																				
70018	书院18																																			1.7		4h																																				
70019	书院19																																			1.85		4h																																				
70020	书院20																																			2		4h																																				
70021	书院21																																			2.15		4h																																				
70022	书院22																																			2.3		4h																																				
70023	书院23																																			2.45		4h																																				
70024	书院24																																			2.6		4h																																				
70025	书院25																																			2.75		4h																																				
70026	书院26																																			2.9		4h																																				
70027	书院27																																			3.05		4h																																				
70028	书院28																																			3.2		4h																																				
70029	书院29																																			3.35		4h																																				
70030	书院30																																			3.5		4h																																				
70031	书院31																																			3.65		4h																																				
70032	书院32																																			3.8		4h																																				
70033	书院33																																			3.95		4h																																				
70034	书院34																																			4.1		4h																																				
70035	书院35																																			4.25		4h																																				
70036	书院36																																			4.4		4h																																				
70037	书院37																																			4.55		4h																																				
70038	书院38																																			4.7		4h																																				
70039	书院39																																			4.85		4h																																				
70040	书院40																																			5		4h																																				
70041	书院41																																			5.15		4h																																				
70042	书院42																																			5.3		4h																																				
70043	书院43																																			5.45		4h																																				
70044	书院44																																			5.6		4h																																				
70045	书院45																																			5.75		4h																																				
70046	书院46																																			5.9		4h																																				
70047	书院47																																			6.05		4h																																				
70048	书院48																																			6.2		4h																																				
70049	书院49																																			6.35		4h																																				
70050	书院50																																			6.5		4h																																				
																																																																										
