id	名字	描述	"标签页(填数字或者名字都可以)，11-tech_bu(11-15分别是bu,qi,gong,che,xie，步（骑弓车械）兵科技) 1-tech_neizheng(内政)"	序号（客户端界面上排第几个）从1开始	大图标	小图标	分组，相同类型的配置分组应该一样	等级	效果，关联效果表	前置建筑，多个使用分号分隔		前置科技，多个分号分隔				消耗	升级所需时间，s-秒 m-分钟 h-小时		大科技填1															
id	name	desc	type	sequence	icon	int_icon	group	level	effect	require_building_ids	require_building_ids	require_tech_ids	require_tech_ids	require_tech_ids	require_tech_ids	cost	work_time		is_big_tech															
10001001	冶炼术	农场铜币增产|10%|20%	1	1	ui://Academy/neizhengicon1	0	1	1	10001001	70001						10001001	0.22h																	
10001002	冶炼术	农场铜币增产|20%|30%	1	1	ui://Academy/neizhengicon1	0	1	2	10001002	70003						10001002	0.645h																	
10001003	冶炼术	农场铜币增产|30%|40%	1	1	ui://Academy/neizhengicon1	0	1	3	10001003	70005						10001003	1.23h																	
10001004	冶炼术	农场铜币增产|40%|50%	1	1	ui://Academy/neizhengicon1	0	1	4	10001004	70007						10001004	2.35h																	
10001005	冶炼术	农场铜币增产|50%|60%	1	1	ui://Academy/neizhengicon1	0	1	5	10001005	70009						10001005	3.94h																	
10001006	冶炼术	农场铜币增产|60%|70%	1	1	ui://Academy/neizhengicon1	0	1	6	10001006	70011						10001006	6.15h																	
10001007	冶炼术	农场铜币增产|70%|80%	1	1	ui://Academy/neizhengicon1	0	1	7	10001007	70013						10001007	8.98h																	
10001008	冶炼术	农场铜币增产|80%|90%	1	1	ui://Academy/neizhengicon1	0	1	8	10001008	70015						10001008	12.73h																	
10001009	冶炼术	农场铜币增产|90%|100%	1	1	ui://Academy/neizhengicon1	0	1	9	10001009	70017						10001009	17.4h																	
10001010	冶炼术	农场铜币增产|100%|110%	1	1	ui://Academy/neizhengicon1	0	1	10	10001010	70019						10001010	22.1h																	
10001011	冶炼术	农场铜币增产|110%|120%	1	1	ui://Academy/neizhengicon1	0	1	11	10001011	70021						10001011	34.32h																	
10001012	冶炼术	农场铜币增产|120%|130%	1	1	ui://Academy/neizhengicon1	0	1	12	10001012	70023						10001012	48.07h																	
10001013	冶炼术	农场铜币增产|130%|140%	1	1	ui://Academy/neizhengicon1	0	1	13	10001013	70025						10001013	67.86h																	
10001014	冶炼术	农场铜币增产|140%|150%	1	1	ui://Academy/neizhengicon1	0	1	14	10001014	70027						10001014	116.17h																	
10001015	冶炼术	农场铜币增产|150%|160%	1	1	ui://Academy/neizhengicon1	0	1	15	10001015	70029						10001015	211.02h																	
10001016	冶炼术	农场铜币增产|160%|170%	1	1	ui://Academy/neizhengicon1	0	1	16	10001016	70031						10001016	472.26h																	
10001017	冶炼术	农场铜币增产|170%|180%	1	1	ui://Academy/neizhengicon1	0	1	17	10001017	70033						10001017	934.52h																	
10001018	冶炼术	农场铜币增产|180%|190%	1	1	ui://Academy/neizhengicon1	0	1	18	10001018	70035						10001018	1201.78h																	
10001019	冶炼术	农场铜币增产|190%|200%	1	1	ui://Academy/neizhengicon1	0	1	19	10001019	70037						10001019	1467.56h																	
10001020	冶炼术	农场铜币增产|200%|210%	1	1	ui://Academy/neizhengicon1	0	1	20	10001020	70039						10001020	1734.85h																	
10001021	冶炼术	农场铜币增产|210%|220%	1	1	ui://Academy/neizhengicon1	0	1	21	10001021	70041						10001021	2095.15h																	
10001022	冶炼术	农场铜币增产|220%|230%	1	1	ui://Academy/neizhengicon1	0	1	22	10001022	70043						10001022	2548.46h																	
10001023	冶炼术	农场铜币增产|230%|240%	1	1	ui://Academy/neizhengicon1	0	1	23	10001023	70045						10001023	3003.28h																	
10001024	冶炼术	农场铜币增产|240%|250%	1	1	ui://Academy/neizhengicon1	0	1	24	10001024	70047						10001024	3456.62h																	
10001025	冶炼术	农场铜币增产|250%	1	1	ui://Academy/neizhengicon1	0	1	25	10001025	70049						10001025	3911.46h																	
																																		
10002001	挖掘术	农场石料增产|10%|20%	1	2	ui://Academy/neizhengicon2	0	2	1	10002001	70001						10002001	0.22h																	
10002002	挖掘术	农场石料增产|20%|30%	1	2	ui://Academy/neizhengicon2	0	2	2	10002002	70003						10002002	0.645h																	
10002003	挖掘术	农场石料增产|30%|40%	1	2	ui://Academy/neizhengicon2	0	2	3	10002003	70005						10002003	1.23h																	
10002004	挖掘术	农场石料增产|40%|50%	1	2	ui://Academy/neizhengicon2	0	2	4	10002004	70007						10002004	2.35h																	
10002005	挖掘术	农场石料增产|50%|60%	1	2	ui://Academy/neizhengicon2	0	2	5	10002005	70009						10002005	3.94h																	
10002006	挖掘术	农场石料增产|60%|70%	1	2	ui://Academy/neizhengicon2	0	2	6	10002006	70011						10002006	6.15h																	
10002007	挖掘术	农场石料增产|70%|80%	1	2	ui://Academy/neizhengicon2	0	2	7	10002007	70013						10002007	8.98h																	
10002008	挖掘术	农场石料增产|80%|90%	1	2	ui://Academy/neizhengicon2	0	2	8	10002008	70015						10002008	12.73h																	
10002009	挖掘术	农场石料增产|90%|100%	1	2	ui://Academy/neizhengicon2	0	2	9	10002009	70017						10002009	17.4h																	
10002010	挖掘术	农场石料增产|100%|110%	1	2	ui://Academy/neizhengicon2	0	2	10	10002010	70019						10002010	22.1h																	
10002011	挖掘术	农场石料增产|110%|120%	1	2	ui://Academy/neizhengicon2	0	2	11	10002011	70021						10002011	34.32h																	
10002012	挖掘术	农场石料增产|120%|130%	1	2	ui://Academy/neizhengicon2	0	2	12	10002012	70023						10002012	48.07h																	
10002013	挖掘术	农场石料增产|130%|140%	1	2	ui://Academy/neizhengicon2	0	2	13	10002013	70025						10002013	67.86h																	
10002014	挖掘术	农场石料增产|140%|150%	1	2	ui://Academy/neizhengicon2	0	2	14	10002014	70027						10002014	116.17h																	
10002015	挖掘术	农场石料增产|150%|160%	1	2	ui://Academy/neizhengicon2	0	2	15	10002015	70029						10002015	211.02h																	
10002016	挖掘术	农场石料增产|160%|170%	1	2	ui://Academy/neizhengicon2	0	2	16	10002016	70031						10002016	472.26h																	
10002017	挖掘术	农场石料增产|170%|180%	1	2	ui://Academy/neizhengicon2	0	2	17	10002017	70033						10002017	934.52h																	
10002018	挖掘术	农场石料增产|180%|190%	1	2	ui://Academy/neizhengicon2	0	2	18	10002018	70035						10002018	1201.78h																	
10002019	挖掘术	农场石料增产|190%|200%	1	2	ui://Academy/neizhengicon2	0	2	19	10002019	70037						10002019	1467.56h																	
10002020	挖掘术	农场石料增产|200%|210%	1	2	ui://Academy/neizhengicon2	0	2	20	10002020	70039						10002020	1734.85h																	
10002021	挖掘术	农场石料增产|210%|220%	1	2	ui://Academy/neizhengicon2	0	2	21	10002021	70041						10002021	2095.15h																	
10002022	挖掘术	农场石料增产|220%|230%	1	2	ui://Academy/neizhengicon2	0	2	22	10002022	70043						10002022	2548.46h																	
10002023	挖掘术	农场石料增产|230%|240%	1	2	ui://Academy/neizhengicon2	0	2	23	10002023	70045						10002023	3003.28h																	
10002024	挖掘术	农场石料增产|240%|250%	1	2	ui://Academy/neizhengicon2	0	2	24	10002024	70047						10002024	3456.62h																	
10002025	挖掘术	农场石料增产|250%	1	2	ui://Academy/neizhengicon2	0	2	25	10002025	70049						10002025	3911.46h																	
																																		
10003001	统御术	武将统兵提升|10|20	1	3	ui://Academy/neizhengicon3	0	3	1	10003001	70001						10003001	0.15h																	
10003002	统御术	武将统兵提升|20|30	1	3	ui://Academy/neizhengicon3	0	3	2	10003002	70003						10003002	0.4h																	
10003003	统御术	武将统兵提升|30|40	1	3	ui://Academy/neizhengicon3	0	3	3	10003003	70005						10003003	0.74h																	
10003004	统御术	武将统兵提升|40|50	1	3	ui://Academy/neizhengicon3	0	3	4	10003004	70007						10003004	1.37h																	
10003005	统御术	武将统兵提升|50|60	1	3	ui://Academy/neizhengicon3	0	3	5	10003005	70009						10003005	2.26h																	
10003006	统御术	武将统兵提升|60|70	1	3	ui://Academy/neizhengicon3	0	3	6	10003006	70011						10003006	3.49h																	
10003007	统御术	武将统兵提升|70|80	1	3	ui://Academy/neizhengicon3	0	3	7	10003007	70013						10003007	5.06h																	
10003008	统御术	武将统兵提升|80|100	1	3	ui://Academy/neizhengicon3	0	3	8	10003008	70015						10003008	7.13h																	
10003009	统御术	武将统兵提升|100|130	1	3	ui://Academy/neizhengicon3	0	3	9	10003009	70017						10003009	9.7h																	
10003010	统御术	武将统兵提升|130|160	1	3	ui://Academy/neizhengicon3	0	3	10	10003010	70019						10003010	12.3h																	
10003011	统御术	武将统兵提升|160|190	1	3	ui://Academy/neizhengicon3	0	3	11	10003011	70021						10003011	18.92h																	
10003012	统御术	武将统兵提升|190|220	1	3	ui://Academy/neizhengicon3	0	3	12	10003012	70023						10003012	26.37h																	
10003013	统御术	武将统兵提升|220|250	1	3	ui://Academy/neizhengicon3	0	3	13	10003013	70025						10003013	37.06h																	
10003014	统御术	武将统兵提升|250|280	1	3	ui://Academy/neizhengicon3	0	3	14	10003014	70027						10003014	62.97h																	
10003015	统御术	武将统兵提升|280|310	1	3	ui://Academy/neizhengicon3	0	3	15	10003015	70029						10003015	113.72h																	
10003016	统御术	武将统兵提升|310|340	1	3	ui://Academy/neizhengicon3	0	3	16	10003016	70031						10003016	253.16h																	
10003017	统御术	武将统兵提升|340|370	1	3	ui://Academy/neizhengicon3	0	3	17	10003017	70033						10003017	499.82h																	
10003018	统御术	武将统兵提升|370|400	1	3	ui://Academy/neizhengicon3	0	3	18	10003018	70035						10003018	642.48h																	
10003019	统御术	武将统兵提升|400|430	1	3	ui://Academy/neizhengicon3	0	3	19	10003019	70037						10003019	784.36h																	
10003020	统御术	武将统兵提升|430|460	1	3	ui://Academy/neizhengicon3	0	3	20	10003020	70039						10003020	927.05h																	
10003021	统御术	武将统兵提升|460|510	1	3	ui://Academy/neizhengicon3	0	3	21	10003021	70041						10003021	1119.35h														145	1.7	4.15	250.65
10003022	统御术	武将统兵提升|510|560	1	3	ui://Academy/neizhengicon3	0	3	22	10003022	70043						10003022	1361.26h														175	1.7	4.46	301.96
10003023	统御术	武将统兵提升|560|630	1	3	ui://Academy/neizhengicon3	0	3	23	10003023	70045						10003023	1603.98h														205	1.7	4.78	353.28
10003024	统御术	武将统兵提升|630|700	1	3	ui://Academy/neizhengicon3	0	3	24	10003024	70047						10003024	1845.92h														235	1.7	5.12	404.62
10003025	统御术	武将统兵提升|700	1	3	ui://Academy/neizhengicon3	0	3	25	10003025	70049						10003025	2088.66h														265	1.7	5.46	455.96
																																		
10004001	城防术	床弩攻击提升|22|44	1	4	ui://Academy/neizhengicon4	0	4	1	10004001	70001						10004001	0.09h											提升床弩攻击特效，前3回合发动特效时，必定杀死40个士兵			0.1	0.5	0.07	0.12
10004002	城防术	床弩攻击提升|44|66	1	4	ui://Academy/neizhengicon4	0	4	2	10004002	70003						10004002	0.19h											提升床弩攻击特效，前3回合发动特效时，必定杀死80个士兵			0.35	0.5	0.12	0.295
10004003	城防术	床弩攻击提升|66|88	1	4	ui://Academy/neizhengicon4	0	4	3	10004003	70005						10004003	0.32h											提升床弩攻击特效，前3回合发动特效时，必定杀死120个士兵			0.7	0.5	0.18	0.53
10004004	城防术	床弩攻击提升|88|110	1	4	ui://Academy/neizhengicon4	0	4	4	10004004	70007						10004004	0.53h											提升床弩攻击特效，前3回合发动特效时，必定杀死160个士兵			1.4	0.5	0.25	0.95
10004005	城防术	床弩攻击提升|110|132	1	4	ui://Academy/neizhengicon4	0	4	5	10004005	70009						10004005	0.82h											提升床弩攻击特效，前3回合发动特效时，必定杀死200个士兵			2.4	0.5	0.34	1.54
10004006	城防术	床弩攻击提升|132|154	1	4	ui://Academy/neizhengicon4	0	4	6	10004006	70011						10004006	1.21h											提升床弩攻击特效，前3回合发动特效时，必定杀死240个士兵			3.8	0.5	0.45	2.35
10004007	城防术	床弩攻击提升|154|196	1	4	ui://Academy/neizhengicon4	0	4	7	10004007	70013						10004007	1.7h											提升床弩攻击特效，前3回合发动特效时，必定杀死280个士兵			5.6	0.5	0.58	3.38
10004008	城防术	床弩攻击提升|196|280	1	4	ui://Academy/neizhengicon4	0	4	8	10004008	70015						10004008	2.33h											提升床弩攻击特效，前3回合发动特效时，必定杀死320个士兵			8	0.5	0.73	4.73
10004009	城防术	床弩攻击提升|280|398	1	4	ui://Academy/neizhengicon4	0	4	9	10004009	70017						10004009	3.1h											提升床弩攻击特效，前3回合发动特效时，必定杀死360个士兵			11	0.5	0.9	6.4
10004010	城防术	床弩攻击提升|398|530	1	4	ui://Academy/neizhengicon4	0	4	10	10004010	70019						10004010	3.9h											提升床弩攻击特效，前3回合发动特效时，必定杀死400个士兵			14	0.5	1.1	8.1
10004011	城防术	床弩攻击提升|530|675	1	4	ui://Academy/neizhengicon4	0	4	11	10004011	70021						10004011	5.72h											提升床弩攻击特效，前3回合发动特效时，必定杀死440个士兵			17	0.5	1.32	9.82
10004012	城防术	床弩攻击提升|675|875	1	4	ui://Academy/neizhengicon4	0	4	12	10004012	70023						10004012	7.77h											提升床弩攻击特效，前3回合发动特效时，必定杀死480个士兵			20	0.5	1.57	11.57
10004013	城防术	床弩攻击提升|875|1075	1	4	ui://Academy/neizhengicon4	0	4	13	10004013	70025						10004013	10.66h											提升床弩攻击特效，前3回合发动特效时，必定杀死520个士兵			23	0.5	1.86	13.36
