Ìú½³ÆÌµÈ¼¶	µôÂä×é					
level	group	group	group	group	group	group
1	12101001	12102001	12103001	12104001	12105001	12106001
2	12101002	12102002	12103002	12104002	12105002	12106002
3	12101003	12102003	12103003	12104003	12105003	12106003
4	12101004	12102004	12103004	12104004	12105004	12106004
5	12101005	12102005	12103005	12104005	12105005	12106005
6	12101006	12102006	12103006	12104006	12105006	12106006
7	12101007	12102007	12103007	12104007	12105007	12106007
8	12101008	12102008	12103008	12104008	12105008	12106008
9	12101009	12102009	12103009	12104009	12105009	12106009
10	12101010	12102010	12103010	12104010	12105010	12106010
11	12101011	12102011	12103011	12104011	12105011	12106011
12	12101012	12102012	12103012	12104012	12105012	12106012
13	12101013	12102013	12103013	12104013	12105013	12106013
14	12101014	12102014	12103014	12104014	12105014	12106014
15	12101015	12102015	12103015	12104015	12105015	12106015
16	12101016	12102016	12103016	12104016	12105016	12106016
17	12101017	12102017	12103017	12104017	12105017	12106017
18	12101018	12102018	12103018	12104018	12105018	12106018
19	12101019	12102019	12103019	12104019	12105019	12106019
20	12101020	12102020	12103020	12104020	12105020	12106020
21	12101021	12102021	12103021	12104021	12105021	12106021
22	12101022	12102022	12103022	12104022	12105022	12106022
23	12101023	12102023	12103023	12104023	12105023	12106023
24	12101024	12102024	12103024	12104024	12105024	12106024
25	12101025	12102025	12103025	12104025	12105025	12106025
26	12101026	12102026	12103026	12104026	12105026	12106026
27	12101027	12102027	12103027	12104027	12105027	12106027
28	12101028	12102028	12103028	12104028	12105028	12106028
29	12101029	12102029	12103029	12104029	12105029	12106029
30	12101030	12102030	12103030	12104030	12105030	12106030
31	12101031	12102031	12103031	12104031	12105031	12106031
32	12101032	12102032	12103032	12104032	12105032	12106032
33	12101033	12102033	12103033	12104033	12105033	12106033
34	12101034	12102034	12103034	12104034	12105034	12106034
35	12101035	12102035	12103035	12104035	12105035	12106035
36	12101036	12102036	12103036	12104036	12105036	12106036
37	12101037	12102037	12103037	12104037	12105037	12106037
38	12101038	12102038	12103038	12104038	12105038	12106038
39	12101039	12102039	12103039	12104039	12105039	12106039
40	12101040	12102040	12103040	12104040	12105040	12106040
41	12101041	12102041	12103041	12104041	12105041	12106041
42	12101042	12102042	12103042	12104042	12105042	12106042
43	12101043	12102043	12103043	12104043	12105043	12106043
44	12101044	12102044	12103044	12104044	12105044	12106044
45	12101045	12102045	12103045	12104045	12105045	12106045
46	12101046	12102046	12103046	12104046	12105046	12106046
47	12101047	12102047	12103047	12104047	12105047	12106047
48	12101048	12102048	12103048	12104048	12105048	12106048
49	12101049	12102049	12103049	12104049	12105049	12106049
50	12101050	12102050	12103050	12104050	12105050	12106050
