Id	Duration	
id	duration	
10201001	3m	青铜盔
10201002	3m	青铜甲
10201003	3m	青铜腿甲
10201004	4m	青铜剑
10201005	4m	青铜刀
10201006	2m	青铜护符
10201007	2m	青铜戒指
10202001	6m	陨铁盔
10202002	6m	陨铁重甲
10202003	6m	陨铁腿甲
10202004	8m	陨铁剑
10202005	8m	陨铁刀
10202006	4m	陨铁护符
10202007	4m	陨铁戒指
10203001	12m	龙翔盔
10203002	12m	龙神战甲
10203003	12m	龙翔腿甲
10203004	16m	龙泉剑
10203005	16m	青龙戟
10203006	8m	龙鳞护符
10203007	8m	龙鳞戒指
10204001	24m	镇雷盔
10204002	24m	镇雷锁甲
10204003	24m	镇雷腿甲
10204004	32m	惊雷枪
10204005	32m	响雷锤
10204006	16m	镇雷护符
10204007	16m	镇雷戒指
10205001	45m	轩辕盔
10205002	45m	轩辕帝甲
10205003	45m	轩辕飞天靴
10205004	60m	轩辕神剑
10205005	60m	天帝战戟
10205006	30m	黄帝护符
10205007	30m	炎帝神戒
10206001	75m	上古魔神盔
10206002	75m	上古魔神铠
10206003	75m	上古魔神靴
10206004	100m	上古天诛剑
10206005	100m	上古噬魂棍
10206006	50m	上古魔神符
10206007	50m	上古魔神戒
		
10202008	1s	
