Level	最大锻造次数	XXX时间恢复1次	能够哦锻造的装备的位置，>=1且<=7	能够锻造出来的装备的id	能够哦锻造的装备的位置，>=1且<=7	能够锻造出来的装备的id	能够哦锻造的装备的位置，>=1且<=7	能够锻造出来的装备的id	能够哦锻造的装备的位置，>=1且<=7	能够锻造出来的装备的id	能够哦锻造的装备的位置，>=1且<=7	能够锻造出来的装备的id	能够哦锻造的装备的位置，>=1且<=7	能够锻造出来的装备的id	能够哦锻造的装备的位置，>=1且<=7	能够锻造出来的装备的id	能否一键合成
level	max_forging_times	recovery_forging_duration	can_forging_equip_pos	can_forging_equip_id	can_forging_equip_pos	can_forging_equip_id	can_forging_equip_pos	can_forging_equip_id	can_forging_equip_pos	can_forging_equip_id	can_forging_equip_pos	can_forging_equip_id	can_forging_equip_pos	can_forging_equip_id	can_forging_equip_pos	can_forging_equip_id	can_one_key_forging
1	5	5m	1	10201002													0
2	5	5m	1	10201002	2	10201003											0
3	5	5m	1	10201002	2	10201003	3	10201001									0
4	5	5m	1	10201002	2	10201003	3	10201001	4	10201004							0
5	5	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005					0
6	5	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006			0
7	5	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
8	5	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
9	5	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
10	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
11	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
12	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
13	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
14	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
15	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
16	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
17	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
18	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
19	6	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
20	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
21	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
22	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
23	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
24	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
25	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
26	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
27	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
28	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
29	7	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
30	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
31	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
32	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
33	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
34	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
35	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
36	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
37	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
38	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
39	8	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
40	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
41	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
42	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
43	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
44	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
45	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
46	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
47	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
48	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
49	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
50	9	5m	1	10201002	2	10201003	3	10201001	4	10201004	5	10201005	6	10201006	7	10201007	1
