等级	需要的军营等级	进阶消耗	招募单兵消耗	治疗伤兵消耗		单兵负载	升级描述	步兵属性	骑兵属性	弓兵属性	车兵属性	器械属性		步兵模型	骑兵模型	弓兵模型	车兵模型	器械模型
level	jun_ying_level	upgrade_cost	recruit_cost	wounded_cost		load	desc	base_stat	base_stat	base_stat	base_stat	base_stat		models	models	models	models	models
1	1	10101001	10102001	10103001		10	提升基础属性100%	10104001	10105001	10106001	10107001	10108001		1	2	3	4	5
2	12	10101002	10102002	10103002		10	提升基础属性200%	10104002	10105002	10106002	10107002	10108002		6	7	8	9	10
3	17	10101003	10102003	10103003		10	提升基础属性300%	10104003	10105003	10106003	10107003	10108003		11	12	13	14	15
4	22	10101004	10102004	10103004		10	提升基础属性400%	10104004	10105004	10106004	10107004	10108004		16	17	18	19	20
5	27	10101005	10102005	10103005		10	提升基础属性500%	10104005	10105005	10106005	10107005	10108005		21	22	23	24	25
6	32	10101006	10102006	10103006		10	提升基础属性600%	10104006	10105006	10106006	10107006	10108006		21	22	23	24	25
7	37	10101007	10102007	10103007		10	提升基础属性700%	10104007	10105007	10106007	10107007	10108007		21	22	23	24	25
8	42	10101008	10102008	10103008		10	提升基础属性800%	10104008	10105008	10106008	10107008	10108008		21	22	23	24	25
9	47	10101009	10102009	10103009		10	提升基础属性900%	10104009	10105009	10106009	10107009	10108009		21	22	23	24	25
