技能id	技能图标	技能描述	武将职业，0-不限 1-5步骑弓车器	技能增加的属性，配置 sprite_stat.txt 中的id	解锁需要将魂的等级（无效字段）		是否需要广播
id	icon	desc	race	sprite_stat	unlock_need_level		broadcast
11301101	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301101	1		
11301102	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301102	1		
11301103	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301103	1		
11301104	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301104	1		
11301105	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301105	1		
11301106	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301106	1		
11301107	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301107	1		
11301108	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301108	1		
11301109	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301109	1		
11301110	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301110	1		
11301111	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301111	1		
11301112	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301112	1		
11301113	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301113	1		
11301114	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301114	1		
11301115	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11301115	1		
11301206	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301206	6		
11301207	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301207	6		
11301208	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301208	6		
11301209	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301209	6		
11301210	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301210	6		
11301211	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301211	6		
11301212	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301212	6		
11301213	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301213	6		
11301214	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301214	6		
11301215	ui://GeneralBase/Image_Attributes_Agile_2	敏捷强化	0	11301215	6		
11302101	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302101	1		
11302102	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302102	1		
11302103	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302103	1		
11302104	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302104	1		
11302105	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302105	1		
11302106	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302106	1		
11302107	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302107	1		
11302108	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302108	1		
11302109	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302109	1		
11302110	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302110	1		
11302111	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302111	1		
11302112	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302112	1		
11302113	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302113	1		
11302114	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302114	1		
11302115	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11302115	1		
11302206	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302206	6		
11302207	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302207	6		
11302208	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302208	6		
11302209	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302209	6		
11302210	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302210	6		
11302211	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302211	6		
11302212	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302212	6		
11302213	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302213	6		
11302214	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302214	6		
11302215	ui://GeneralBase/Image_Attributes_Strength_2	体力强化	0	11302215	6		
11303101	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11303101	1		
11303102	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11303102	1		
11303103	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11303103	1		
11303104	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11303104	1		
11303105	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11303105	1		
11303106	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11303106	1		
11303107	ui://GeneralBase/Image_Attributes_Attack_2	攻击强化	0	11303107	1		
