将魂id	等级	星数	星级	武将佩戴该将魂加的士气	消耗的物品id（无效字段）	消耗的物品数量（无效字段）		升级到下一级需要的经验	将魂技能，配置 captain_soul_spell.txt中的id	将魂技能，配置 captain_soul_spell.txt中的id	将魂技能，配置 captain_soul_spell.txt中的id
captain_soul_id	level	star	star_level	add_morale	cost_goods	cost_goods_count		upgrade_to_next_exp	spells	spells	spells
1	1	1	1	1	60010	1		30	11301101		
1	2	1	2	1	60010	1		33	11301102		
1	3	1	3	1	60010	1		36	11301103		
1	4	1	4	1	60010	1		39	11301104		
1	5	1	5	1	60010	1		96	11301105		
1	6	2	1	1	60010	1		102	11301106	11301206	
1	7	2	2	1	60010	1		108	11301107	11301207	
1	8	2	3	1	60010	1		114	11301108	11301208	
1	9	2	4	1	60010	1		120	11301109	11301209	
1	10	2	5	1	60010	1		300	11301110	11301210	
1	11	3	1	1	60010	1		360	11301111	11301211	
1	12	3	2	1	60010	1		420	11301112	11301212	
1	13	3	3	1	60010	1		480	11301113	11301213	
1	14	3	4	1	60010	1		540	11301114	11301214	
1	15	3	5	1	60010	1		1200	11301115	11301215	
											
2	1	1	1	1	60010	1		30	11302101		
2	2	1	2	1	60010	1		33	11302102		
2	3	1	3	1	60010	1		36	11302103		
2	4	1	4	1	60010	1		39	11302104		
2	5	1	5	1	60010	1		96	11302105		
2	6	2	1	1	60010	1		102	11302106	11302206	
2	7	2	2	1	60010	1		108	11302107	11302207	
2	8	2	3	1	60010	1		114	11302108	11302208	
2	9	2	4	1	60010	1		120	11302109	11302209	
2	10	2	5	1	60010	1		300	11302110	11302210	
2	11	3	1	1	60010	1		360	11302111	11302211	
2	12	3	2	1	60010	1		420	11302112	11302212	
2	13	3	3	1	60010	1		480	11302113	11302213	
2	14	3	4	1	60010	1		540	11302114	11302214	
2	15	3	5	1	60010	1		1200	11302115	11302215	
											
3	1	1	1	1	60010	1		50	11303101		
3	2	1	2	1	60010	1		55	11303102		
3	3	1	3	1	60010	1		60	11303103		
3	4	1	4	1	60010	1		65	11303104		
3	5	1	5	1	60010	1		160	11303105		
3	6	2	1	1	60010	1		170	11303106	11303206	
3	7	2	2	1	60010	1		180	11303107	11303207	
3	8	2	3	1	60010	1		190	11303108	11303208	
3	9	2	4	1	60010	1		200	11303109	11303209	
3	10	2	5	1	60010	1		500	11303110	11303210	
3	11	3	1	1	60010	1		600	11303111	11303211	11303311
3	12	3	2	1	60010	1		700	11303112	11303212	11303312
3	13	3	3	1	60010	1		800	11303113	11303213	11303313
3	14	3	4	1	60010	1		900	11303114	11303214	11303314
3	15	3	5	1	60010	1		2000	11303115	11303215	11303315
3	16	4	1	1	60010	1		2500	11303116	11303216	11303316
3	17	4	2	1	60010	1		3000	11303117	11303217	11303317
3	18	4	3	1	60010	1		3500	11303118	11303218	11303318
3	19	4	4	1	60010	1		4000	11303119	11303219	11303319
3	20	4	5	1	60010	1		25000	11303120	11303220	11303320
3	21	5	1	1	60010	1		30000	11303121	11303221	11303321
3	22	5	2	1	60010	1		40000	11303122	11303222	11303322
3	23	5	3	1	60010	1		50000	11303123	11303223	11303323
3	24	5	4	1	60010	1		65000	11303124	11303224	11303324
3	25	5	5	1	60010	1		80000	11303125	11303225	11303325
											
4	1	1	1	1	60010	1		20	11304101		
4	2	1	2	1	60010	1		22	11304102		
4	3	1	3	1	60010	1		24	11304103		
4	4	1	4	1	60010	1		26	11304104		
4	5	1	5	1	60010	1		64	11304105		
4	6	2	1	1	60010	1		68	11304106		
4	7	2	2	1	60010	1		72	11304107		
4	8	2	3	1	60010	1		76	11304108		
4	9	2	4	1	60010	1		80	11304109		
4	10	2	5	1	60010	1		200	11304110		
											
7	1	1	1	1	60010	1		50	11307101		
7	2	1	2	1	60010	1		55	11307102		
7	3	1	3	1	60010	1		60	11307103		
7	4	1	4	1	60010	1		65	11307104		
7	5	1	5	1	60010	1		160	11307105		
7	6	2	1	1	60010	1		170	11307106	11307206	
7	7	2	2	1	60010	1		180	11307107	11307207	
7	8	2	3	1	60010	1		190	11307108	11307208	
7	9	2	4	1	60010	1		200	11307109	11307209	
7	10	2	5	1	60010	1		500	11307110	11307210	
7	11	3	1	1	60010	1		600	11307111	11307211	11307311
7	12	3	2	1	60010	1		700	11307112	11307212	11307312
7	13	3	3	1	60010	1		800	11307113	11307213	11307313
7	14	3	4	1	60010	1		900	11307114	11307214	11307314
7	15	3	5	1	60010	1		2000	11307115	11307215	11307315
7	16	4	1	1	60010	1		2500	11307116	11307216	11307316
7	17	4	2	1	60010	1		3000	11307117	11307217	11307317
7	18	4	3	1	60010	1		3500	11307118	11307218	11307318
7	19	4	4	1	60010	1		4000	11307119	11307219	11307319
7	20	4	5	1	60010	1		25000	11307120	11307220	11307320
7	21	5	1	1	60010	1		30000	11307121	11307221	11307321
7	22	5	2	1	60010	1		40000	11307122	11307222	11307322
7	23	5	3	1	60010	1		50000	11307123	11307223	11307323
7	24	5	4	1	60010	1		65000	11307124	11307224	11307324
7	25	5	5	1	60010	1		80000	11307125	11307225	11307325
											
8	1	1	1	1	60010	1		20	11308101		
8	2	1	2	1	60010	1		22	11308102		
8	3	1	3	1	60010	1		24	11308103		
8	4	1	4	1	60010	1		26	11308104		
8	5	1	5	1	60010	1		64	11308105		
8	6	2	1	1	60010	1		68	11308106		
8	7	2	2	1	60010	1		72	11308107		
8	8	2	3	1	60010	1		76	11308108		
8	9	2	4	1	60010	1		80	11308109		
8	10	2	5	1	60010	1		200	11308110		
											
12	1	1	1	1	60010	1		30	11312101		
12	2	1	2	1	60010	1		33	11312102		
12	3	1	3	1	60010	1		36	11312103		
12	4	1	4	1	60010	1		39	11312104		
12	5	1	5	1	60010	1		96	11312105		
12	6	2	1	1	60010	1		102	11312106	11312206	
12	7	2	2	1	60010	1		108	11312107	11312207	
12	8	2	3	1	60010	1		114	11312108	11312208	
12	9	2	4	1	60010	1		120	11312109	11312209	
12	10	2	5	1	60010	1		300	11312110	11312210	
12	11	3	1	1	60010	1		360	11312111	11312211	
12	12	3	2	1	60010	1		420	11312112	11312212	
12	13	3	3	1	60010	1		480	11312113	11312213	
12	14	3	4	1	60010	1		540	11312114	11312214	
12	15	3	5	1	60010	1		1200	11312115	11312215	
											
13	1	1	1	1	60010	1		30	11313101		
13	2	1	2	1	60010	1		33	11313102		
13	3	1	3	1	60010	1		36	11313103		
13	4	1	4	1	60010	1		39	11313104		
13	5	1	5	1	60010	1		96	11313105		
13	6	2	1	1	60010	1		102	11313106	11313206	
13	7	2	2	1	60010	1		108	11313107	11313207	
