羁绊id	羁绊的名字	羁绊奖励	故事	需要的将魂，配置captain_soul.txt中的id																			
id	name	fetters_prize	story	souls	souls	souls	souls	souls															
1	美人计	1	养其乱臣以迷之，进美女歌舞以惑之。高飞之鸟，死于美食，深泉之鱼，死于芳饵。越国献美女西施，麻痹吴王，伍子胥屡谏不听，最终在愤恨中自刎身亡。	29	3										4	合纵连横	1	纵者，合众弱以攻一强也；横者，事一强以攻众弱也。翻手为云，覆手为雨，利用犬牙交错的特殊形势，游走于诸侯之间，纵横于割据纷争，成为战国一道独特的风景线。	6	7			
															6	鬼谷门下	1	通天彻地，人所不及，千古奇人鬼谷子，广收徒弟。鬼谷门下士，学道于山林。一朝下山去，纵横天下事。鬼谷门下，精英辈出，出将入相，叱咤战国风云。	6	7	23	2	
															15	帝国崛起	1	秦孝公时期重用商鞅，实行变法，成为秦国崛起的转折点，秦昭襄王在位期间，收回权力，任用贤才，发动伊阙、郢都、华阳、长平四大战役，使秦国的实力和列国发生了根本性转折，从此秦国一家独大，为秦王政统一六国奠定了坚实的基础。	28	7	26	32	38
															23	捭阖策论	1	六韬三略，巧舌如簧，游走诸侯，权术天下，翻手为云，覆手为雨，鬼谷先生隐于世，弟子二人闻名于诸侯。	31	6	7		
															24	孤身入秦	1	秦国据崤函之固，拥雍州之地，君臣固守以窥周室，东方人士孤身入强秦，或寻王论道，或寄人篱下，或纵横捭阖，或血溅朝堂之上，各怀抱负，书写战国的历史篇章。	26	7	1	30	
															11	风萧萧兮易水寒	1	风萧萧兮易水寒，将士一去兮不复还，士为知己者死，入强秦刺杀秦王，千钧重担压身，功亏一篑。	1	10			
															19	贵为王后	1	六宫之主，应为贤德，母仪天下，为万世之福。	28	9			
															7	战国四公子	1	战国末期，为了对抗西边强大的秦国，各诸侯国公子贵族，竭力网罗人才，广招宾客，其中最著名的四人被合称为战国四公子，分别为：赵国平原君赵胜、魏国信陵君魏无忌、齐国孟尝君田文和楚国春申君黄歇。	12	13	14	27	
															2	围魏救赵	1	孙膑庞涓本是同门兄弟，庞涓陷害孙膑，孙膑逃到齐国后率军前来复仇，避其锋芒，直捣黄龙，围魏国都城，以解救赵国重围，成为用计之典范。	23	2	4		
															17	红颜乱政	1	自古兴亡，自有红颜载于史册，史家把战乱归于红颜惑君王，把持朝政。贻误国家者，又岂是女子一人所为？	29	28	16	18	
															3	战国四名将	1	起翦颇牧，用军最精。宣威沙漠，驰誉丹青。白起、王翦、廉颇、李牧四人，战功卓著，用兵之术闻名天下。	32	33	34	35	
															14	北拒匈奴	1	北方游牧民族匈奴长期袭扰边境，赵国良将李牧，养精蓄锐，一战平定匈奴；秦国大将蒙恬北御匈奴，建长城，威震边疆。	35	25			
															21	赵国栋梁	1	赵客缦胡缨，吴钩霜雪明，赵国的侠义之士不仅武艺出众，上马提枪就能统领千军万马，为国征战沙场，无怨无悔。	21	34	35	36	
															26	负荆请罪	1	蔺相如以国家利益为重，处处忍让，廉颇知道后，负荆请罪，两人成为刎颈之交，成为赵国的肱骨之臣。	38	34			
															7	变法革新	1	战国既是一个混战不休的时代，又是一个发生变革的时代，各国相继图强，展开变法，力求富国强兵，称霸诸侯，商鞅于秦，吴起于楚，都开展了轰轰烈烈的变法改革，结果不一，但是都是这个时代社会变革的真实体现。	26	35			
															9	攻城名家	1	巧妙利用地理，发明创造器械，在智慧面前没有固若金汤难以攻陷的城池。	11	33			
															6	离骚绝唱	1	楚怀王沉迷于郑袖的美色，听信奸臣谗言，将屈原流放，屈原政治不得志，一腔热情寄于文学作品之中。秦将白起趁机率军攻入楚国国都郢，屈原悲愤交加，怀石自沉于汨罗江，以身殉国。	5	16	32		
															3	北风其凉	1	"我本将心向明月，奈何明月照沟渠。纵有满腔报国情，奈何不得君王心。千般武艺终不能救国安民，北风其凉，雨雪其霏，我心悲伤,莫知我哀。"	35	22			
															7	楚国名士	1	楚地万顷相连，人才辈出，忠志之士忘身于外，贤明之臣劝谏于内，乱世之中，奏楚地一曲慨叹。	5	22	11		
																							
																律法森严	1	法制为核心，富国强兵，以法治国，推行法令，以健全的法律体系治理天下，平定乱世。	8	26	30	36	
																文侯名臣	1	魏文侯尊贤礼士，魏国攻占西河之地，贤才名师汇聚西河，学风浓厚，强军富国，任用西门豹治理邺城，乐羊北伐中山国，吴起西抗秦国，魏国在战国初期首先强盛起来。	36	8	24		
																赵国父子	1	赵奢善于用兵，也能知人善任，察觉自己的儿子赵括自恃聪明，纸上谈兵，不堪重用，屡次劝谏赵王，然而赵王不听，长平之战任用赵括为主帅，造成了四十万赵军被坑杀的惨剧。	21	15			
																反间连环	1	燕国名将乐毅连下齐国城池七十座，在此危急时刻，田单用反间计和连环计，借燕王罢免乐毅，之后用火牛计大破燕国军队，乘胜追击，收复七十座城池。	19	20			
																一扫六合	1	秦王嬴政即位后，秦国统一六国已成为大势所趋。耗时十年，灭诸侯，成帝业，天下一统。	33	34	22		
																东施效颦	1	捧心皱眉岂是盲目可学？美由心生，擅自模仿，只会适得其反。	29	17			
																欲加之罪	1	欲加之罪，何患无辞，满腔热情，却遭奸人陷害。	3	32			
