技能id	技能名字	"icon,配置 icon.txt 中的id"	技能描述
id	name	icon	desc
1	猛击	猛击	当攻击目标是[color=#ffea8a]骑将、弓将[/color]，造成额外伤害。\n首次发动为第3回合，之后每3回合发动1次。
2	突袭	突袭	当攻击目标是[color=#ffea8a]车将、器将[/color]，造成额外伤害。\n首次发动为第3回合，之后每3回合发动1次。
3	冲撞	冲撞	当攻击目标是[color=#ffea8a]步将、弓将[/color]，造成额外伤害。\n首次发动为第3回合，之后每3回合发动1次。
4	怒射	怒射	当攻击目标是[color=#ffea8a]骑将、器将[/color]，造成额外伤害。\n首次发动为第2回合，之后每3回合发动1次。
5	爆裂	爆裂	当攻击目标是[color=#ffea8a]步将、车将[/color]，造成额外伤害。\n首次发动为第2回合，之后每3回合发动1次。
6	盾击	盾击	步兵的普通攻击
7	冲刺	冲刺	骑兵的普通攻击
8	碾压	碾压	车兵的普通攻击
9	射击	射击	弓兵的普通攻击
10	投石	投石	器械的普通攻击
