酒馆等级，从1开始		名士数据，配置 tutor.txt 中的id，越是在前面的品质越低	名士的权重	初始名士权重	名士数据，配置 tutor.txt 中的id，越是在前面的品质越低	名士的权重	初始名士权重	名士数据，配置 tutor.txt 中的id，越是在前面的品质越低	名士的权重	初始名士权重	名士数据，配置 tutor.txt 中的id，越是在前面的品质越低	名士的权重	初始名士权重	最大请教次数	请教CD		广播内容	广播需要的最小保级倍率					
level		tutor_datas	random_tutor_weight	init_tutor_weight	tutor_datas	random_tutor_weight	init_tutor_weight	tutor_datas	random_tutor_weight	init_tutor_weight	tutor_datas	random_tutor_weight	init_tutor_weight	max_times	recovery_duration		broadcast_content	broadcast_min_crit_multi					
1		1	45	80	2	35	20	3	15	0	4	5	0	1	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				10	h
2		1	45	80	2	35	20	3	15	0	4	5	0	1	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.9	
3		1	45	80	2	35	20	3	15	0	4	5	0	2	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.8	
4		1	45	80	2	35	20	3	15	0	4	5	0	2	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.7	
5		1	45	80	2	35	20	3	15	0	4	5	0	3	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.6	
6		1	45	80	2	35	20	3	15	0	4	5	0	3	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.5	
7		1	45	80	2	35	20	3	15	0	4	5	0	4	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.4	
8		1	45	80	2	35	20	3	15	0	4	5	0	4	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.3	
9		1	45	80	2	35	20	3	15	0	4	5	0	5	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.2	
10		1	45	80	2	35	20	3	15	0	4	5	0	5	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9.1	
11		1	45	80	2	35	20	3	15	0	4	5	0	5	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				9	
12		1	45	80	2	35	20	3	15	0	4	5	0	6	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.9	
13		1	45	80	2	35	20	3	15	0	4	5	0	6	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.8	
14		1	45	80	2	35	20	3	15	0	4	5	0	6	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.7	
15		1	45	80	2	35	20	3	15	0	4	5	0	6	10m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.6	
16		1	45	80	2	35	20	3	15	0	4	5	0	7	9m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.5	
17		1	45	80	2	35	20	3	15	0	4	5	0	7	9m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.4	
18		1	45	80	2	35	20	3	15	0	4	5	0	7	9m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.3	
19		1	45	80	2	35	20	3	15	0	4	5	0	7	9m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.2	
20		1	45	80	2	35	20	3	15	0	4	5	0	8	8m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8.1	
21		1	45	80	2	35	20	3	15	0	4	5	0	8	8m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				8	
22		1	45	80	2	35	20	3	15	0	4	5	0	8	8m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.9	
23		1	45	80	2	35	20	3	15	0	4	5	0	8	8m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.8	
24		1	45	80	2	35	20	3	15	0	4	5	0	8	8m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.7	
25		1	45	80	2	35	20	3	15	0	4	5	0	8	8m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.6	
26		1	45	80	2	35	20	3	15	0	4	5	0	8	8m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.5	
27		1	45	80	2	35	20	3	15	0	4	5	0	8	8m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.4	
28		1	45	80	2	35	20	3	15	0	4	5	0	9	7m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.3	
29		1	45	80	2	35	20	3	15	0	4	5	0	9	7m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.2	
30		1	45	80	2	35	20	3	15	0	4	5	0	9	7m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7.1	
31		1	45	80	2	35	20	3	15	0	4	5	0	9	7m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				7	
32		1	45	80	2	35	20	3	15	0	4	5	0	9	7m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.9	
33		1	45	80	2	35	20	3	15	0	4	5	0	9	7m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.8	
34		1	45	80	2	35	20	3	15	0	4	5	0	9	7m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.7	
35		1	45	80	2	35	20	3	15	0	4	5	0	9	7m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.6	
36		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.5	
37		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.4	
38		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.3	
39		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.2	
40		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6.1	
41		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				6	
42		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				5.9	
43		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				5.8	
44		1	45	80	2	35	20	3	15	0	4	5	0	10	6m		恭喜XXXX请教了名士XXXX，通过X倍暴击，获得X级武将强化符XXXX。	10				5.7	
