官府等级，每一级都要配	每天偷铜币最大上限	每天偷石料最大上限
guan_fu_level	max_daily_steal_gold_amount	max_daily_steal_stone_amount
1	300000	300000
2	300000	300000
3	300000	300000
4	300000	300000
5	300000	300000
6	300000	300000
7	300000	300000
8	300000	300000
9	300000	300000
10	300000	300000
11	300000	300000
12	300000	300000
13	300000	300000
14	300000	300000
15	300000	300000
16	300000	300000
17	300000	300000
18	300000	300000
19	300000	300000
20	342000	342000
21	359100	359100
22	364800	364800
23	381900	381900
24	552000	552000
25	576150	576150
26	676200	676200
27	703800	703800
28	904800	904800
29	939600	939600
30	957000	957000
31	991800	991800
32	1287600	1287600
33	1332000	1332000
34	1354200	1354200
35	1398600	1398600
36	1728000	1728000
37	1782000	1782000
38	1809000	1809000
39	2194200	2194200
40	2226000	2226000
41	2289600	2289600
42	2671800	2671800
43	2745000	2745000
44	2781600	2781600
45	3322800	3322800
46	3365400	3365400
47	3450600	3450600
48	3985200	3985200
49	4082400	4082400
50	4131000	4131000
