君主等级	合璧类型	合璧品质，物品品质.txt 的 level	展示奖励	数值奖励	物品奖励(废弃)	物品掉落奖励
hero_level	hebi_type	quality	prize	amount_prize	goods_prize	plunder_prize
1	1	2	12612001	126120010	126120011	126120011
2	1	2	12612002	126120020	126120021	126120021
3	1	2	12612003	126120030	126120031	126120031
4	1	2	12612004	126120040	126120041	126120041
5	1	2	12612005	126120050	126120051	126120051
6	1	2	12612006	126120060	126120061	126120061
7	1	2	12612007	126120070	126120071	126120071
8	1	2	12612008	126120080	126120081	126120081
9	1	2	12612009	126120090	126120091	126120091
10	1	2	12612010	126120100	126120101	126120101
11	1	2	12612011	126120110	126120111	126120111
12	1	2	12612012	126120120	126120121	126120121
13	1	2	12612013	126120130	126120131	126120131
14	1	2	12612014	126120140	126120141	126120141
15	1	2	12612015	126120150	126120151	126120151
16	1	2	12612016	126120160	126120161	126120161
17	1	2	12612017	126120170	126120171	126120171
18	1	2	12612018	126120180	126120181	126120181
19	1	2	12612019	126120190	126120191	126120191
20	1	2	12612020	126120200	126120201	126120201
21	1	2	12612021	126120210	126120211	126120211
22	1	2	12612022	126120220	126120221	126120221
23	1	2	12612023	126120230	126120231	126120231
24	1	2	12612024	126120240	126120241	126120241
25	1	2	12612025	126120250	126120251	126120251
26	1	2	12612026	126120260	126120261	126120261
27	1	2	12612027	126120270	126120271	126120271
28	1	2	12612028	126120280	126120281	126120281
29	1	2	12612029	126120290	126120291	126120291
30	1	2	12612030	126120300	126120301	126120301
31	1	2	12612031	126120310	126120311	126120311
32	1	2	12612032	126120320	126120321	126120321
33	1	2	12612033	126120330	126120331	126120331
34	1	2	12612034	126120340	126120341	126120341
35	1	2	12612035	126120350	126120351	126120351
36	1	2	12612036	126120360	126120361	126120361
37	1	2	12612037	126120370	126120371	126120371
38	1	2	12612038	126120380	126120381	126120381
39	1	2	12612039	126120390	126120391	126120391
40	1	2	12612040	126120400	126120401	126120401
41	1	2	12612041	126120410	126120411	126120411
42	1	2	12612042	126120420	126120421	126120421
43	1	2	12612043	126120430	126120431	126120431
44	1	2	12612044	126120440	126120441	126120441
45	1	2	12612045	126120450	126120451	126120451
46	1	2	12612046	126120460	126120461	126120461
47	1	2	12612047	126120470	126120471	126120471
48	1	2	12612048	126120480	126120481	126120481
