id	名城 id	起点_x	起点_y	能直接到达的点_x	能直接到达的点_y								
id	mingc	start_x	start_y	dest_x	dest_y	dest_x	dest_y	dest_x	dest_y	dest_x	dest_y		
1	1	55	42	74	40							1	1
2	1	74	40	89	62	101	41	90	20	55	42	2	1
3	1	89	62	114	62	101	41	74	40	128	70	3	1
4	1	101	41	122	41	89	62	90	20	74	40	4	1
5	1	90	20	114	19	101	41	74	40	127	11	5	1
6	1	114	62	156	62	89	62					6	1
7	1	122	41	148	40	101	41					7	1
8	1	114	19	155	19	90	20					8	1
9	1	156	62	180	62	114	62					9	1
10	1	148	40	170	40	122	41					10	1
11	1	155	19	180	20	114	19					11	1
12	1	180	62	195	40	156	62	170	40	142	70	12	1
13	1	170	40	180	62	195	40	180	20	148	40	13	1
14	1	180	20	195	40	155	19	170	40	142	12	14	1
15	1	195	40	214	40	180	62	170	40	180	20	15	1
16	1	214	40	195	40							16	1
17	1	142	70	180	62							17	1
18	1	128	70	89	62							18	1
19	1	142	12	180	20							19	1
20	1	127	11	90	20							20	1
21	2	55	42	74	40							21	2
22	2	74	40	89	62	101	41	90	20	55	42	22	2
23	2	89	62	114	62	101	41	74	40	128	70	23	2
24	2	101	41	122	41	89	62	90	20	74	40	24	2
25	2	90	20	114	19	101	41	74	40	127	11	25	2
26	2	114	62	156	62	89	62					26	2
27	2	122	41	148	40	101	41					27	2
28	2	114	19	155	19	90	20					28	2
29	2	156	62	180	62	114	62					29	2
30	2	148	40	170	40	122	41					30	2
31	2	155	19	180	20	114	19					31	2
32	2	180	62	195	40	156	62	170	40	142	70	32	2
33	2	170	40	180	62	195	40	180	20	148	40	33	2
34	2	180	20	195	40	155	19	170	40	142	12	34	2
35	2	195	40	214	40	180	62	170	40	180	20	35	2
36	2	214	40	195	40							36	2
37	2	142	70	180	62							37	2
38	2	128	70	89	62							38	2
39	2	142	12	180	20							39	2
40	2	127	11	90	20							40	2
41	3	55	42	74	40							41	3
42	3	74	40	89	62	101	41	90	20	55	42	42	3
43	3	89	62	114	62	101	41	74	40	128	70	43	3
44	3	101	41	122	41	89	62	90	20	74	40	44	3
45	3	90	20	114	19	101	41	74	40	127	11	45	3
46	3	114	62	156	62	89	62					46	3
47	3	122	41	148	40	101	41					47	3
48	3	114	19	155	19	90	20					48	3
49	3	156	62	180	62	114	62					49	3
50	3	148	40	170	40	122	41					50	3
51	3	155	19	180	20	114	19					51	3
52	3	180	62	195	40	156	62	170	40	142	70	52	3
53	3	170	40	180	62	195	40	180	20	148	40	53	3
54	3	180	20	195	40	155	19	170	40	142	12	54	3
55	3	195	40	214	40	180	62	170	40	180	20	55	3
56	3	214	40	195	40							56	3
57	3	142	70	180	62							57	3
58	3	128	70	89	62							58	3
59	3	142	12	180	20							59	3
60	3	127	11	90	20							60	3
61	4	55	42	74	40							61	4
62	4	74	40	89	62	101	41	90	20	55	42	62	4
63	4	89	62	114	62	101	41	74	40	128	70	63	4
64	4	101	41	122	41	89	62	90	20	74	40	64	4
65	4	90	20	114	19	101	41	74	40	127	11	65	4
66	4	114	62	156	62	89	62					66	4
67	4	122	41	148	40	101	41					67	4
68	4	114	19	155	19	90	20					68	4
69	4	156	62	180	62	114	62					69	4
