id	名城 id	坐标_x	坐标_y	目标_x	目标_y	目标_x	目标_y	目标_x	目标_y	目标_x	目标_y							
id	mingc	pos_x	pos_y	target_x	target_y	target_x	target_y	target_x	target_y	target_x	target_y							
1	1	142	70	128	70	114	62	148	40	156	62						142	70
2	1	128	70	142	70	114	62	122	41	156	62						128	70
3	1	142	12	127	11	155	19	148	40	114	19						142	12
4	1	127	11	142	12	155	19	148	40	114	19		8	100	54		127	11
5	2	142	70	128	70	114	62	148	40	156	62		9	130	74			
6	2	128	70	142	70	114	62	122	41	156	62		10	124	64			
7	2	142	12	127	11	155	19	148	40	114	19		11	130	54			
8	2	127	11	142	12	155	19	148	40	114	19		12	148	75			
9	3	142	70	128	70	114	62	148	40	156	62		13	142	64			
10	3	128	70	142	70	114	62	122	41	156	62		14	148	53			
11	3	142	12	127	11	155	19	148	40	114	19		15	160	64			
12	3	127	11	142	12	155	19	148	40	114	19							
13	4	142	70	128	70	114	62	148	40	156	62							
14	4	128	70	142	70	114	62	122	41	156	62							
15	4	142	12	127	11	155	19	148	40	114	19							
16	4	127	11	142	12	155	19	148	40	114	19							
17	5	142	70	128	70	114	62	148	40	156	62							
18	5	128	70	142	70	114	62	122	41	156	62							
19	5	142	12	127	11	155	19	148	40	114	19							
20	5	127	11	142	12	155	19	148	40	114	19							
21	6	142	70	128	70	114	62	148	40	156	62							
22	6	128	70	142	70	114	62	122	41	156	62							
23	6	142	12	127	11	155	19	148	40	114	19							
24	6	127	11	142	12	155	19	148	40	114	19							
25	7	142	70	128	70	114	62	148	40	156	62							
26	7	128	70	142	70	114	62	122	41	156	62							
27	7	142	12	127	11	155	19	148	40	114	19							
28	7	127	11	142	12	155	19	148	40	114	19							
29	8	142	70	128	70	114	62	148	40	156	62							
30	8	128	70	142	70	114	62	122	41	156	62							
31	8	142	12	127	11	155	19	148	40	114	19							
32	8	127	11	142	12	155	19	148	40	114	19							
33	9	142	70	128	70	114	62	148	40	156	62							
34	9	128	70	142	70	114	62	122	41	156	62							
35	9	142	12	127	11	155	19	148	40	114	19							
36	9	127	11	142	12	155	19	148	40	114	19							
37	10	142	70	128	70	114	62	148	40	156	62							
38	10	128	70	142	70	114	62	122	41	156	62							
39	10	142	12	127	11	155	19	148	40	114	19							
40	10	127	11	142	12	155	19	148	40	114	19							
41	11	142	70	128	70	114	62	148	40	156	62							
42	11	128	70	142	70	114	62	122	41	156	62							
43	11	142	12	127	11	155	19	148	40	114	19							
44	11	127	11	142	12	155	19	148	40	114	19							
45	12	142	70	128	70	114	62	148	40	156	62							
46	12	128	70	142	70	114	62	122	41	156	62							
47	12	142	12	127	11	155	19	148	40	114	19							
48	12	127	11	142	12	155	19	148	40	114	19							
49	13	142	70	128	70	114	62	148	40	156	62							
50	13	128	70	142	70	114	62	122	41	156	62							
51	13	142	12	127	11	155	19	148	40	114	19							
52	13	127	11	142	12	155	19	148	40	114	19							
53	14	142	70	128	70	114	62	148	40	156	62							
54	14	128	70	142	70	114	62	122	41	156	62							
55	14	142	12	127	11	155	19	148	40	114	19							
56	14	127	11	142	12	155	19	148	40	114	19							
57	15	142	70	128	70	114	62	148	40	156	62							
58	15	128	70	142	70	114	62	122	41	156	62							
59	15	142	12	127	11	155	19	148	40	114	19							
60	15	127	11	142	12	155	19	148	40	114	19							
61	16	142	70	128	70	114	62	148	40	156	62							
62	16	128	70	142	70	114	62	122	41	156	62							
63	16	142	12	127	11	155	19	148	40	114	19							
64	16	127	11	142	12	155	19	148	40	114	19							
65	17	142	70	128	70	114	62	148	40	156	62							
66	17	128	70	142	70	114	62	122	41	156	62							
67	17	142	12	127	11	155	19	148	40	114	19							
68	17	127	11	142	12	155	19	148	40	114	19							
69	18	142	70	128	70	114	62	148	40	156	62							
70	18	128	70	142	70	114	62	122	41	156	62							
71	18	142	12	127	11	155	19	148	40	114	19							
72	18	127	11	142	12	155	19	148	40	114	19							
73	19	142	70	128	70	114	62	148	40	156	62							
74	19	128	70	142	70	114	62	122	41	156	62							
75	19	142	12	127	11	155	19	148	40	114	19							
76	19	127	11	142	12	155	19	148	40	114	19							
77	20	142	70	128	70	114	62	148	40	156	62							
78	20	128	70	142	70	114	62	122	41	156	62							
79	20	142	12	127	11	155	19	148	40	114	19							
80	20	127	11	142	12	155	19	148	40	114	19							
81	21	142	70	128	70	114	62	148	40	156	62							
82	21	128	70	142	70	114	62	122	41	156	62							
83	21	142	12	127	11	155	19	148	40	114	19							
84	21	127	11	142	12	155	19	148	40	114	19							
85	22	142	70	128	70	114	62	148	40	156	62							
86	22	128	70	142	70	114	62	122	41	156	62							
87	22	142	12	127	11	155	19	148	40	114	19							
88	22	127	11	142	12	155	19	148	40	114	19							
