商品id		(废弃)商品内容，对应prize.txt表	奖励，包含联盟奖励组，配 掉落_奖励.txt	商品展示内容，对应prize.txt表		商品价格，对应cost.txt表	限购个数，0表示不限购	免费次数	购买后立即使用	解锁条件	君主等级	主城等级	联盟等级	vip等级		左上角标. CHAO_ZHI 超值; HOT 热卖		vip商店每日限购	展示用:打n/10折。0表示不打折，85表示打8.5折	展示用的原价	联盟礼包		购买后立即使用物品
id		prize	plunder_prize	show_prize		cost	count_limit	free_times	use_immediately		required_hero_level	required_base_level	required_guild_level	required_vip_level		tag		vip_daily_max_count	show_sale	show_origin_cost	guild_event_prize		use_immediately_goods
11601001	南海奇精	11601001	11601001	11601001		11601001	2						3										
11601002	武将强化符	11601002	11601002	11601002		11601002	10						1										
11601003	将魂天书	11601003	11601003	11601003		11601003	10						5										
11601004	2级宝石	11601004	11601004	11601004		11601004	0						4										
11601005		11601005	11601005	11601005		11601005	0						4										
11601006		11601006	11601006	11601006		11601006	0						4										
11601007		11601007	11601007	11601007		11601007	0						4										
11601008	七星沙	11601008	11601008	11601008		11601008	20						2										
11601009	君主经验	11601009	11601009	11601009		11601009	3						1										
11601010	突飞令	11601010	11601010	11601010		11601010	10						1										
11601011	和氏璧	11601011	11601011	11601012		1	1				15		1										
11601020	联盟迁城	11601020	11601020	11601020		11601020	1						1										
																							
11602001		11602001	11602001	11602001		11602001					1												
11602002		11602002	11602002	11602002		11602002					1												
11602003		11602003	11602003	11602003		11602003					1												
11602004		11602004	11602004	11602004		11602004					1												
11602005		11602005	11602005	11602005		11602005					1												
11602006		11602006	11602006	11602006		11602006					1												
11602007		11602007	11602007	11602007		11602007					1												
11602008		11602008	11602008	11602008		11602008					1												
11602009		11602009	11602009	11602009		11602009					1												
11602010		11602010	11602010	11602010		11602010					40					HOT							
11602011		11602011	11602011	11602011		11602011					40					HOT							
11602012		11602012	11602012	11602012		11602012					40					HOT							
11602013		11602013	11602013	11602013		11602013					40					HOT							
11602014		11602014	11602014	11602014		11602014					1												
11602015		11602015	11602015	11602015		11602015					1												
11602016		11602016	11602016	11602016		11602016					1												
11602017		11602017	11602017	11602017		11602017					1												
11602018		11602018	11602018	11602018		11602018					1												
11602019		11602019	11602019	11602019		11602019					1												
11602020		11602020	11602020	11602020		11602020					1												
11602021		11602021	11602021	11602021		11602021					1												
11602022		11602022	11602022	11602022		11602022					1												
11602023		11602023	11602023	11602023		11602023	1				1					HOT							
																							
																							
11603001		11603001	11603001	11603001		11603001	3					1											
11603002		11603002	11603002	11603002		11603002	3					1											
11603003		11603003	11603003	11603003		11603003	3					1											
11603004		11603004	11603004	11603004		11603004	3					1											
11603005		11603005	11603005	11603005		11603005	3					1											
11603006		11603006	11603006	11603006		11603006	3					1											
11603007		11603007	11603007	11603007		11603007	3					2											
11603008		11603008	11603008	11603008		11603008	3					3											
																							
11604001		11604001	11604001	11604001		11604001	3				1												
11604002		11604002	11604002	11604002		11604002	3				1												
11604003		11604003	11604003	11604003		11604003	3				1												
11604004		11604004	11604004	11604004		11604004	3				1												
11604005		11604005	11604005	11604005		11604005	3				1												
11604006		11604006	11604006	11604006		11604006	3				1												
11604007		11604007	11604007	11604007		11604007	3				2												
11604008		11604008	11604008	11604008		11604008	3				3												
																							
11606001		11606001	11606001	11606001		11606001	1							3				1	50	11606002			
11606003		11606003	11606003	11606003		11606003	71							3				1	50	11606004			
11606005		11606005	11606005	11606005		11606005	1							4				1	50	11606006			
11606007		11606007	11606007	11606007		11606007	1							4				1	10	11606008			
11606009		11606009	11606009	11606009		11606009	1							5				1	10	11606010			
11606011		11606011	11606011	11606011		11606011	14							5				1	40	11606012			
11606013		11606013	11606013	11606013		11606013	7							6				1	50	11606014			
11606015		11606015	11606015	11606015		11606015	28							7				1	30	11606016			
11606017		11606017	11606017	11606017		11606017	8							8				1	10	11606018			
11606019		11606019	11606019	11606019		11606019	7							8				1	50	11606020			
11606021		11606021	11606021	11606021		11606021	8							9				1	10	11606022			
11606023		11606023	11606023	11606023		11606023	28							9				1	30	11606024			
11606025		11606025	11606025	11606025		11606025	28							10				1	10	11606026			
11606027		11606027	11606027	11606027		11606027	1							11				1	50	11606028			
11606029		11606029	11606029	11606029		11606029	7							11				1	30	11606030			
11606031		11606031	11606031	11606031		11606031	28							12				1	10	11606032			
11606033		11606033	11606033	11606033		11606033	28							12				1	10	11606034			
11606035		11606035	11606035	11606035		11606035	7							13				1	30	11606036			
11606037		11606037	11606037	11606037		11606037	7							13				1	50	11606038			
11606039		11606039	11606039	11606039		11606039	28							14				1	10	11606040			
11606041		11606041	11606041	11606041		11606041	28							14				1	30	11606042			
11606043		11606043	11606043	11606043		11606043	7							15				1	30	11606044			
11606045		11606045	11606045	11606045		11606045	28							15				1	0	11606046			
11606047		11606047	11606047	11606047		11606047	28							15				1	0	11606048			
11606049		11606049	11606049	11606049		11606049	2							15				1	0	11606050			
