商品id		展示奖励	商品内容，对应prize.txt表	商品内容，配置 plunder.txt 中的id，prizes跟plunders只能够配置一个	购买后立即使用物品	>=该等级，获得该奖励			商品价格，对应cost.txt表	商品价格，对应cost.txt表	商品价格，对应cost.txt表				限购个数，0表示不限购	免费次数	购买后立即使用	暴击权重	该权重赌赢的倍率	暴击权重	该权重赌赢的倍率	暴击权重	该权重赌赢的倍率	广播的最小倍率		解锁条件	君主等级	主城等级	联盟等级		左上角标. CHAO_ZHI 超值; HOT 热卖
id		show_prizes	prizes	plunders	use_immediately_goods	levels			buy_costs	buy_costs	buy_costs	buy_costs	buy_costs		count_limit	free_times	use_immediately	crit_weight	crit_multi	crit_weight	crit_multi	crit_weight	crit_multi	broadcast_min_multi			required_hero_level	required_base_level	required_guild_level		tag
																															
11605001	星神碎片	8004101	8004001			1			11605001						1	0		10000	1								35				
11605101	轩辕装备箱	11605101		11605101		1			11605101						1	0		10000	1								45				
11605201	农场加速	11605201	11605201			1			11605201						1	0		10000	1								1				
11605301	高级强化符	11605301	11605301			1			11605301	11605302	11605303				3	0		10000	1								1				
11605401	修炼加速	11605401	11605401			1			11605401	11605402	11605403				3	0		10000	1								1				
11605501	讨伐令	11605501	11605501			1			11605501						1	0		10000	1								1				
11605601	君主经验	11605601	11605601			1			11605601						1	0		10000	1								1				
11605701	税收加速	11605701	11605701			1			11605701						1												1				
11605801	增伤	11605801	11605801			1			11605801						1												1				
11605901	减伤	11605901	11605901			1			11605901						1												1				
11607001	鬼谷子碎片	61031101	6103101			1			11607001	11607002	11607003				3												43				
11607101	过关文牒	80051101	1432		80051	1			11607101	11607102					2		1										10				
11607201	千机密鉴	80052101	1432		80052	1			11607201	11607202					2		1										9				
