商品id	实际给的奖励	显示奖励	价格	品质	出现的君主等级
id	prize	show_prize	cost	quality	required_hero_level
11606101	11606101	11606101	11606101	3	
11606102	11606102	11606102	11606102	3	
11606103	11606103	11606103	11606103	3	
11606104	11606104	11606104	11606104	3	
11606105	11606105	11606105	11606105	3	
11606106	11606106	11606106	11606106	3	
11606107	11606107	11606107	11606107	3	
11606108	11606108	11606108	11606108	3	
11606109	11606109	11606109	11606109	3	
11606110	11606110	11606110	11606110	3	
11606111	11606111	11606111	11606111	3	
11606112	11606112	11606112	11606112	3	
11606113	11606113	11606113	11606113	3	
11606114	11606114	11606114	11606114	3	
11606115	11606115	11606115	11606115	3	
11606116	11606116	11606116	11606116	3	
11606117	11606117	11606117	11606117	3	
11606118	11606118	11606118	11606118	3	
11606119	11606119	11606119	11606119	3	
11606120	11606120	11606120	11606120	3	
11606121	11606121	11606121	11606121	3	
11606122	11606122	11606122	11606122	3	
11606123	11606123	11606123	11606123	3	
11606124	11606124	11606124	11606124	3	
11606201	11606201	11606201	11606201	3	
11606202	11606202	11606202	11606202	3	
11606203	11606203	11606203	11606203	3	
11606204	11606204	11606204	11606204	3	
11606205	11606205	11606205	11606205	3	
11606206	11606206	11606206	11606206	3	
11606207	11606207	11606207	11606207	3	
11606208	11606208	11606208	11606208	3	
11606209	11606209	11606209	11606209	3	
11606210	11606210	11606210	11606210	3	
11606211	11606211	11606211	11606211	3	
11606212	11606212	11606212	11606212	3	
11606213	11606213	11606213	11606213	3	
11606214	11606214	11606214	11606214	3	
11606215	11606215	11606215	11606215	3	
11606216	11606216	11606216	11606216	3	
11606217	11606217	11606217	11606217	3	
11606218	11606218	11606218	11606218	3	
11606219	11606219	11606219	11606219	3	
11606220	11606220	11606220	11606220	3	
11606221	11606221	11606221	11606221	3	
11606301	11606301	11606301	11606301	3	
11606302	11606302	11606302	11606302	3	40
11606303	11606303	11606303	11606303	3	40
11606304	11606304	11606304	11606304	3	40
11606305	11606305	11606305	11606305	3	40
11606306	11606306	11606306	11606306	3	
11606307	11606307	11606307	11606307	3	
11606308	11606308	11606308	11606308	3	
11606309	11606309	11606309	11606309	3	
