id	姓氏	描述	推荐国家	
id	name	desc	recommend_country	recommend_country
1	赵	造父是西周驭马能手，因功被赐于赵城，其后遂以赵为姓，下传至赵襄子时，与韩、魏三分晋地，建立赵国。	5	
2	钱	颛帝曾孙陆终生彭祖，彭祖的后裔彭孚在周朝时任钱府上士，于是以官职为姓氏，就是钱氏。	1	2
3	孙	源于春秋，楚国令尹孙叔敖的后裔。孙叔敖的后代以祖的字为姓，称为孙叔氏，后来去掉叔字改为孙姓。	2	6
4	李	李姓形成于春秋时期，李耳是正史中立传的第一个李姓人物。李耳，字伯阳，外字聃，正是大名鼎鼎的老子。	6	7
5	周	出自姬姓，用国名作姓氏的。后稷的裔孙古公父为狄所逼，率领族人自邰迁徙至陕西岐山下周原，从此称为周族。	6	3
6	吴	出自姬姓，是黄帝轩辕氏的直系后裔。周文王的兄长南下荆蛮，建立吴国。吴国被越国所灭后，其子孙便以国为姓，称吴姓。	2	
7	郑	郑姓出自姬姓，发祥地为郑国，是黄帝的后裔。郑国被韩国所灭，其人为纪念故国，相继改姓为郑。	6	7
8	王	周灵王的太子姬晋，因直言进谏，被废为庶民，迁居到琅琊，世代繁衍生息。因其本为王族，世人称其为王家，延用成姓。	1	4
9	冯	冯姓是周文王之后，他们的祖先可追溯到周文王的第15个儿子毕高公，他的后代封在冯城，于是以邑为氏，即为冯氏。	5	6
10	陈	陈姓得姓于周朝初年的胡公满。相传，胡公满是虞舜的后代，周武王分封于陈，建诸侯国，部分子孙以国名为姓氏。	2	6
11	褚	春秋时代有一种叫做褚师的官职，相当于县长。据说宋共公曾任命自己的儿子右担任褚师，右的后代便以褚为氏了。	6	
12	卫	出自姬姓，周文王的第九子康叔被封于卫，后卫国被秦国兼并。卫国公族子孙以故国名为姓，世代相传。	1	6
13	蒋	西周初期，周公姬旦第三个儿子伯龄，被封在蒋，建立蒋国。蒋国后为楚国所灭，其子孙以国名命姓，即为蒋姓。	2	
14	沈	一说出自芈姓，是颛顼帝的后裔。春秋时，楚庄王之子公子贞被封在沈邑，其后遂以封邑名命姓，称沈姓。	2	
15	韩	西周灭商，周公旦封周成王之弟于韩，为姬姓之国。春秋时，为晋国所灭。韩国亡后，国人便以韩为姓。	5	
16	杨	周武王之子叔虞，被封在唐地，后代建立晋国。叔虞的后裔有封于杨者，子孙遂已杨为姓氏。	5	
17	朱	朱姓始成於西周，是古帝颛顼高阳氏之后。颛顼后代之一建立邾国，于是有了邾氏，后邾国君主支庶子孙又将邾改为朱。	3	6
18	秦	源于姬姓，周公旦被封鲁。其裔孙中有一支食邑于秦，后以邑为氏。	1	6
19	尤	出自沈姓。据说五代时，王审之在福建称闽王。闽人为避讳，把沈字去掉三点水，余下半个字改为尤，于是有了尤姓。	2	
20	许	许姓鼻祖许由，是尧舜时期的高士贤人，尧帝敬重他的德能，曾有意把帝位让给他，他固辞不受，隐居箕山，后代以许为姓。	6	7
21	何	何氏起源帝尧时代，相传有一人叫做何侯，隐居在苍梧山中，帝尧曾赐他仙药一剂，全家族饮之不尽，后俱入仙境。	1	2
22	姜	始祖为吕侯即吕尚，又称姜子牙。相传上古部族首领神农氏炎帝，因居姜水流域，因以之为姓，称姜姓。	1	
23	吕	源出姜姓，姜姓羌人发展出四支胞族，吕部族就是其中一支。该部落的首领在夏时被封为吕侯，后代以国为姓，即吕姓。	6	
24	施	出自姬姓，以王父字为氏。春秋时鲁惠公之子字施父，其后代以祖先之字为氏。	2	
25	张	出自黄帝之后代挥。据说黄帝少昊青阳氏第五子挥曾担任弓正，奉命制造弓矢，后子孙赐姓张氏。	5	4
26	孔	商朝初代国君汤字太乙，加姓为子太乙，据说他的子孙为了纪念他，将他的姓氏和名字加在一起，略加变更，成为孔姓。	1	
27	曹	大禹治水时，陆终第五子安因辅佐有功，被赐曹官，负责看押奴隶。安后来以官为氏。这是曹姓得姓之始。	6	7
28	严	为战国时楚庄王之后，以谥号为氏，芈姓又可追溯到黄帝后裔颛顼帝，所以是颛顼的后代。	1	2
