Id	怪物	队伍个数	分组	怪物等级	出征所需君主等级
id	npc	troop_count	group	level	required_hero_level
1	13600101	5	1	1	27
2	13600201	5	1	1	27
3	13600301	5	1	1	27
4	13600401	5	1	1	27
5	13600501	5	1	1	27
6	13600102	5	2	2	27
7	13600202	5	2	2	27
8	13600302	5	2	2	27
9	13600402	5	2	2	27
10	13600502	5	2	2	27
11	13600103	5	3	3	27
12	13600203	5	3	3	27
13	13600303	5	3	3	27
14	13600403	5	3	3	27
15	13600503	5	3	3	27
16	13600104	5	4	4	27
17	13600204	5	4	4	27
18	13600304	5	4	4	27
19	13600404	5	4	4	27
20	13600504	5	4	4	27
21	13600105	5	5	5	27
22	13600205	5	5	5	27
23	13600305	5	5	5	27
24	13600405	5	5	5	27
25	13600505	5	5	5	27
26	13600106	5	6	6	27
27	13600206	5	6	6	27
28	13600306	5	6	6	27
29	13600406	5	6	6	27
30	13600506	5	6	6	27
31	13600107	5	7	7	27
32	13600207	5	7	7	27
33	13600307	5	7	7	27
34	13600407	5	7	7	27
35	13600507	5	7	7	27
36	13600108	5	8	8	27
37	13600208	5	8	8	27
38	13600308	5	8	8	27
39	13600408	5	8	8	27
40	13600508	5	8	8	27
41	13600109	5	9	9	27
42	13600209	5	9	9	27
43	13600309	5	9	9	27
44	13600409	5	9	9	27
45	13600509	5	9	9	27
46	13600110	5	10	10	27
47	13600210	5	10	10	27
48	13600310	5	10	10	27
49	13600410	5	10	10	27
50	13600510	5	10	10	27
51	13600111	5	11	11	27
52	13600211	5	11	11	27
53	13600311	5	11	11	27
54	13600411	5	11	11	27
55	13600511	5	11	11	27
56	13600112	5	12	12	27
57	13600212	5	12	12	27
58	13600312	5	12	12	27
59	13600412	5	12	12	27
60	13600512	5	12	12	27
61	13600113	5	13	13	27
62	13600213	5	13	13	27
63	13600313	5	13	13	27
64	13600413	5	13	13	27
65	13600513	5	13	13	27
66	13600114	5	14	14	27
67	13600214	5	14	14	27
68	13600314	5	14	14	27
69	13600414	5	14	14	27
70	13600514	5	14	14	27
71	13600115	5	15	15	27
72	13600215	5	15	15	27
73	13600315	5	15	15	27
74	13600415	5	15	15	27
75	13600515	5	15	15	27
76	13600116	5	16	16	27
77	13600216	5	16	16	27
78	13600316	5	16	16	27
79	13600416	5	16	16	27
80	13600516	5	16	16	27
81	13600117	5	17	17	27
82	13600217	5	17	17	27
83	13600317	5	17	17	27
84	13600417	5	17	17	27
85	13600517	5	17	17	27
86	13600118	5	18	18	27
87	13600218	5	18	18	27
88	13600318	5	18	18	27
89	13600418	5	18	18	27
90	13600518	5	18	18	27
91	13600119	5	19	19	27
92	13600219	5	19	19	27
93	13600319	5	19	19	27
94	13600419	5	19	19	27
95	13600519	5	19	19	27
96	13600120	5	20	20	27
97	13600220	5	20	20	27
98	13600320	5	20	20	27
99	13600420	5	20	20	27
100	13600520	5	20	20	27
101	13600121	5	21	21	27
102	13600221	5	21	21	27
103	13600321	5	21	21	27
104	13600421	5	21	21	27
105	13600521	5	21	21	27
106	13600122	5	22	22	27
107	13600222	5	22	22	27
108	13600322	5	22	22	27
109	13600422	5	22	22	27
110	13600522	5	22	22	27
111	13600123	5	23	23	27
112	13600223	5	23	23	27
113	13600323	5	23	23	27
114	13600423	5	23	23	27
115	13600523	5	23	23	27
116	13600124	5	24	24	27
117	13600224	5	24	24	27
118	13600324	5	24	24	27
119	13600424	5	24	24	27
120	13600524	5	24	24	27
121	13600125	5	25	25	27
122	13600225	5	25	25	27
123	13600325	5	25	25	27
124	13600425	5	25	25	27
125	13600525	5	25	25	27
