Id	开服第X天	区域，填区块链id	分组	保持个数，少于这个数量，会补足
id	day	area	group	keep_count
1	1		1	10
2	1		2	10
3	1		3	10
4	1	1	1	4
5	1	1	2	4
6	1	1	3	4
7	1	1	4	4
8	1	1	5	4
9	1	1	6	4
10	1	1	7	4
11	5		1	7
12	5		2	7
13	5		3	7
14	5		4	7
15	5	1	1	4
16	5	1	2	4
17	5	1	3	4
18	5	1	4	4
19	5	1	5	4
20	5	1	6	4
21	5	1	7	4
22	5	1	8	4
23	6		1	6
24	6		2	6
25	6		3	6
26	6		4	6
27	6		5	6
28	6	1	1	3
29	6	1	2	3
30	6	1	3	3
31	6	1	4	3
32	6	1	5	3
33	6	1	6	3
34	6	1	7	3
35	6	1	8	3
36	6	1	9	3
37	7		1	5
38	7		2	5
39	7		3	5
40	7		4	5
41	7		5	5
42	7		6	5
43	7	1	1	3
44	7	1	2	3
45	7	1	3	3
46	7	1	4	3
47	7	1	5	3
48	7	1	6	3
49	7	1	7	3
50	7	1	8	3
51	7	1	9	3
52	7	1	10	3
53	9		1	4
54	9		2	4
55	9		3	4
56	9		4	4
57	9		5	4
58	9		6	4
59	9		7	4
60	9	1	2	3
61	9	1	3	3
62	9	1	4	3
63	9	1	5	3
64	9	1	6	3
65	9	1	7	3
66	9	1	8	3
67	9	1	9	3
68	9	1	10	3
69	9	1	11	3
70	11		1	4
71	11		2	4
72	11		3	4
73	11		4	4
74	11		5	4
75	11		6	4
76	11		7	4
77	11		8	4
78	11	1	3	3
79	11	1	4	3
80	11	1	5	3
81	11	1	6	3
82	11	1	7	3
83	11	1	8	3
84	11	1	9	3
85	11	1	10	3
86	11	1	11	3
87	11	1	12	3
88	13		1	3
89	13		2	3
90	13		3	3
91	13		4	3
92	13		5	3
93	13		6	3
94	13		7	3
95	13		8	3
96	13		9	3
97	13	1	4	3
98	13	1	5	3
99	13	1	6	3
100	13	1	7	3
101	13	1	8	3
102	13	1	9	3
103	13	1	10	3
104	13	1	11	3
105	13	1	12	3
106	13	1	13	3
107	15		1	3
108	15		2	3
109	15		3	3
110	15		4	3
111	15		5	3
112	15		6	3
113	15		7	3
114	15		8	3
115	15		9	3
116	15		10	3
117	15	1	5	3
118	15	1	6	3
119	15	1	7	3
120	15	1	8	3
121	15	1	9	3
122	15	1	10	3
123	15	1	11	3
124	15	1	12	3
125	15	1	13	3
126	15	1	14	3
127	17		2	3
128	17		3	3
129	17		4	3
130	17		5	3
131	17		6	3
132	17		7	3
133	17		8	3
134	17		9	3
135	17		10	3
136	17		11	3
137	17	1	6	3
138	17	1	7	3
139	17	1	8	3
140	17	1	9	3
141	17	1	10	3
142	17	1	11	3
143	17	1	12	3
144	17	1	13	3
145	17	1	14	3
146	17	1	15	3
147	19		3	3
148	19		4	3
149	19		5	3
150	19		6	3
151	19		7	3
152	19		8	3
153	19		9	3
154	19		10	3
155	19		11	3
156	19		12	3
157	19	1	7	3
158	19	1	8	3
159	19	1	9	3
160	19	1	10	3
161	19	1	11	3
162	19	1	12	3
163	19	1	13	3
164	19	1	14	3
165	19	1	15	3
166	19	1	16	3
167	21		4	3
168	21		5	3
169	21		6	3
170	21		7	3
171	21		8	3
172	21		9	3
173	21		10	3
174	21		11	3
175	21		12	3
176	21		13	3
177	21	1	8	3
178	21	1	9	3
179	21	1	10	3
180	21	1	11	3
181	21	1	12	3
182	21	1	13	3
183	21	1	14	3
184	21	1	15	3
185	21	1	16	3
186	21	1	17	3
187	23		5	3
188	23		6	3
189	23		7	3
190	23		8	3
191	23		9	3
192	23		10	3
193	23		11	3
194	23		12	3
195	23		13	3
196	23		14	3
197	23	1	9	3
198	23	1	10	3
199	23	1	11	3
200	23	1	12	3
201	23	1	13	3
202	23	1	14	3
203	23	1	15	3
204	23	1	16	3
205	23	1	17	3
206	23	1	18	3
207	25		6	3
208	25		7	3
209	25		8	3
210	25		9	3
211	25		10	3
212	25		11	3
213	25		12	3
214	25		13	3
215	25		14	3
216	25		15	3
217	25	1	10	3
218	25	1	11	3
219	25	1	12	3
220	25	1	13	3
221	25	1	14	3
222	25	1	15	3
223	25	1	16	3
224	25	1	17	3
225	25	1	18	3
226	25	1	19	3
227	27		7	3
228	27		8	3
229	27		9	3
230	27		10	3
231	27		11	3
232	27		12	3
233	27		13	3
234	27		14	3
235	27		15	3
236	27		16	3
237	27	1	11	3
238	27	1	12	3
239	27	1	13	3
240	27	1	14	3
241	27	1	15	3
242	27	1	16	3
243	27	1	17	3
244	27	1	18	3
245	27	1	19	3
246	27	1	20	3
247	29		8	3
248	29		9	3
249	29		10	3
250	29		11	3
251	29		12	3
252	29		13	3
253	29		14	3
254	29		15	3
255	29		16	3
256	29		17	3
257	29	1	12	3
258	29	1	13	3
259	29	1	14	3
260	29	1	15	3
261	29	1	16	3
262	29	1	17	3
263	29	1	18	3
264	29	1	19	3
265	29	1	20	3
266	29	1	21	3
