属于哪个Npc	等级	npc主城ID，关联npc_base.txt表	加仇恨间隔	每次加多少仇恨	第一次加多少仇恨	失败加多少仇恨，可以填负数	怪物攻城Npc	防守奖励
multi_level_npc_id	level	npc	hate_tick_duration	tick_hate	first_hate	fail_hate	fight_npc	fight_npc_prize
1	1	11701001	5s	5	5	0	11705001	11705001
1	2	11701002	5s	5	5	0	11705002	11705002
1	3	11701003	1m	5	5	0	11705003	11705003
1	4	11701004	1m	5	5	0	11705004	11705004
1	5	11701005	1m	5	5	0	11705005	11705005
1	6	11701006	1m	5	5	0	11705006	11705006
1	7	11701007	1m	5	5	0	11705007	11705007
1	8	11701008	1m	5	5	0	11705008	11705008
1	9	11701009	1m	5	5	0	11705009	11705009
1	10	11701010	1m	5	5	0	11705010	11705010
1	11	11701011	1m	5	5	0	11705011	11705011
1	12	11701012	1m	5	5	0	11705012	11705012
2	1	11702001	5s	5	5	0	11706001	11706001
2	2	11702002	5s	5	5	0	11706002	11706002
2	3	11702003	1m	5	5	0	11706003	11706003
2	4	11702004	1m	5	5	0	11706004	11706004
2	5	11702005	1m	5	5	0	11706005	11706005
2	6	11702006	1m	5	5	0	11706006	11706006
2	7	11702007	1m	5	5	0	11706007	11706007
2	8	11702008	1m	5	5	0	11706008	11706008
2	9	11702009	1m	5	5	0	11706009	11706009
2	10	11702010	1m	5	5	0	11706010	11706010
2	11	11702011	1m	5	5	0	11706011	11706011
2	12	11702012	1m	5	5	0	11706012	11706012
3	1	11703001	5s	5	5	0	11707001	11707001
3	2	11703002	5s	5	5	0	11707002	11707002
3	3	11703003	1m	5	5	0	11707003	11707003
3	4	11703004	1m	5	5	0	11707004	11707004
3	5	11703005	1m	5	5	0	11707005	11707005
3	6	11703006	1m	5	5	0	11707006	11707006
3	7	11703007	1m	5	5	0	11707007	11707007
3	8	11703008	1m	5	5	0	11707008	11707008
3	9	11703009	1m	5	5	0	11707009	11707009
3	10	11703010	1m	5	5	0	11707010	11707010
3	11	11703011	1m	5	5	0	11707011	11707011
3	12	11703012	1m	5	5	0	11707012	11707012
4	1	11704001	5s	5	5	0	11708001	11708001
4	2	11704002	5s	5	5	0	11708002	11708002
4	3	11704003	1m	5	5	0	11708003	11708003
4	4	11704004	1m	5	5	0	11708004	11708004
4	5	11704005	1m	5	5	0	11708005	11708005
4	6	11704006	1m	5	5	0	11708006	11708006
4	7	11704007	1m	5	5	0	11708007	11708007
4	8	11704008	1m	5	5	0	11708008	11708008
4	9	11704009	1m	5	5	0	11708009	11708009
4	10	11704010	1m	5	5	0	11708010	11708010
4	11	11704011	1m	5	5	0	11708011	11708011
4	12	11704012	1m	5	5	0	11708012	11708012
