Id	地点名字	Npc君主，关联monster/master.txt	Npc基地等级	繁荣度上限	0表示主城，1表示行营	持续掠夺多久（0s表示抢一下就走，不进行持续掠夺）	繁荣度损失间隔，多久损失一次繁荣度，0s表示不持续掠夺繁荣度	损失量，每次损失多少繁荣度	持续掠夺间隔，每隔多久持续掠夺一次	增强表现图标		每次持续掠夺获得奖励	获胜抢第一下奖励	每次持续掠夺随机掉落	首次胜利随机掉落	每次持续掠夺条件掉落	首次胜利条件掉落	展示奖励（荣誉地区野怪展示的奖励）		持续掠夺最大人数，0表示不限人数		防守死亡摧毁		防守怪物模型
id	name	npc	base_level	prosperity_capcity	is_tent	rob_max_duration	lost_prosperity_duration	lost_prosperity_per_duration	tick_duration	tick_icon	tick_icon	tick_prize	first_prize	tick_plunder	first_plunder	tick_condition_plunder	first_condition_plunder	show_prize	show_sub_prize	max_robbers	model	destroy_when_lose		def_model
11800001	暴民	11800001	1	100	1	0s	0s	0	3s				11800001					11800001	11800001	1	AnimMap\Cha_WM_Soldier_L1\Cha_WM_Soldier_L1			
11800002	暴民	11800002	2	100	1	0s	0s	0	3s				11800002					11800002	11800002	1	AnimMap\Cha_WM_Soldier_L1\Cha_WM_Soldier_L1			
11800003	匈奴残兵	11800003	1	100	1	0s	0s	0	3s				11800001					11800001	11800001	1	AnimMap/Cha_WM_Bandit_L1/Cha_WM_Bandit_L1			
11800004	匈奴先锋	11800004	2	100	1	0s	0s	0	3s				11800002					11800002	11800002	1	AnimMap/Cha_Xiongnu_Low/Cha_Xiongnu_Low			
																								
																								
11702001	叛军	11702001	1	1000	0	5s	0s	0	5s			11702101			11702001			11702001	11702101	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702002	叛军	11702002	2	1000	0	5s	0s	0	5s			11702102			11702002			11702002	11702102	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702003	叛军	11702003	3	1000	0	1m	0s	0	1m			11702103			11702003			11702003	11702103	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702004	叛军	11702004	4	1000	0	1m	0s	0	1m			11702104			11702004			11702004	11702104	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702005	叛军	11702005	5	1000	0	1m	0s	0	1m			11702105			11702005			11702005	11702105	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702006	叛军	11702006	6	1000	0	1m	0s	0	1m			11702106			11702006			11702006	11702106	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702007	叛军	11702007	7	1000	0	1m	0s	0	1m			11702107			11702007			11702007	11702107	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702008	叛军	11702008	8	1000	0	1m	0s	0	1m			11702108			11702008			11702008	11702108	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702009	叛军	11702009	9	1000	0	1m	0s	0	1m			11702109			11702009			11702009	11702109	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702010	叛军	11702010	10	1000	0	1m	0s	0	1m			11702110			11702010			11702010	11702110	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702011	叛军	11702011	11	1000	0	1m	0s	0	1m			11702111			11702011			11702011	11702111	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
11702012	叛军	11702012	12	1000	0	1m	0s	0	1m			11702112			11702012			11702012	11702112	0	Prefabs/Scene/DynamicData/Sce_WM_Bandits_L1			
