怪物君主id	名字	icon，配置 icon.txt 中的id	1男0女	等级	武将id，关联monster/captain.txt的id						城墙属性，配置属性.txt 中的id，如果没有城墙，可以不配置	城墙固定伤害，如果没有城墙，可以不配置			怪物攻城奖励，奖励给攻城目标	怪物击杀奖励，奖励给击杀者																
id	name	icon	male	level	captains	captains	captains	captains	captains		wall_stat	wall_fix_damage			invade_prize	been_kill_prize																
10500001	1层守将	junzhu1	1	10	10501001	10502001	10503001	10504001	10505001																							wujiang1
10500002	2层守将	junzhu7	1	10	10501002	10502002	10503002	10504002	10505002																							wujiang2
10500003	3层守将	junzhu1	1	11	10501003	10502003	10503003	10504003	10505003																							wujiang3
10500004	4层守将	junzhu3	1	11	10501004	10502004	10503004	10504004	10505004																							wujiang4
10500005	5层守将	junzhu1	1	12	10501005	10502005	10503005	10504005	10505005																							wujiang5
10500006	6层守将	junzhu5	1	12	10501006	10502006	10503006	10504006	10505006																							wujiang6
10500007	7层守将	junzhu7	1	13	10501007	10502007	10503007	10504007	10505007																							wujiang7
10500008	8层守将	junzhu3	1	13	10501008	10502008	10503008	10504008	10505008																							wujiang8
10500009	9层守将	junzhu7	1	14	10501009	10502009	10503009	10504009	10505009																							wujiang9
10500010	10层守将	junzhu10	1	14	10501010	10502010	10503010	10504010	10505010																							wujiang10
10500011	11层守将	junzhu4	1	15	10501011	10502011	10503011	10504011	10505011																							
10500012	12层守将	junzhu1	1	15	10501012	10502012	10503012	10504012	10505012																							wujiang11
10500013	13层守将	junzhu3	1	16	10501013	10502013	10503013	10504013	10505013																							wujiang12
10500014	14层守将	junzhu2	1	16	10501014	10502014	10503014	10504014	10505014																							wujiang13
10500015	15层守将	junzhu6	1	17	10501015	10502015	10503015	10504015	10505015																							wujiang14
10500016	16层守将	junzhu6	1	17	10501016	10502016	10503016	10504016	10505016																							wujiang15
10500017	17层守将	junzhu3	1	18	10501017	10502017	10503017	10504017	10505017																							
10500018	18层守将	junzhu2	1	18	10501018	10502018	10503018	10504018	10505018																							
10500019	19层守将	junzhu2	1	19	10501019	10502019	10503019	10504019	10505019																							
10500020	20层守将	junzhu8	1	19	10501020	10502020	10503020	10504020	10505020																							
10500021	21层守将	junzhu5	1	20	10501021	10502021	10503021	10504021	10505021																							
10500022	22层守将	junzhu6	1	21	10501022	10502022	10503022	10504022	10505022																							
10500023	23层守将	junzhu4	1	22	10501023	10502023	10503023	10504023	10505023																							
10500024	24层守将	junzhu8	1	23	10501024	10502024	10503024	10504024	10505024																							
10500025	25层守将	junzhu2	1	24	10501025	10502025	10503025	10504025	10505025																							
10500026	26层守将	junzhu6	1	25	10501026	10502026	10503026	10504026	10505026																							
10500027	27层守将	junzhu5	1	26	10501027	10502027	10503027	10504027	10505027																							
10500028	28层守将	junzhu8	1	27	10501028	10502028	10503028	10504028	10505028																							
10500029	29层守将	junzhu9	1	28	10501029	10502029	10503029	10504029	10505029																							
10500030	30层守将	junzhu4	1	29	10501030	10502030	10503030	10504030	10505030																							
10500031	31层守将	junzhu8	1	30	10501031	10502031	10503031	10504031	10505031																							
10500032	32层守将	junzhu3	1	31	10501032	10502032	10503032	10504032	10505032																							
10500033	33层守将	junzhu2	1	32	10501033	10502033	10503033	10504033	10505033																							
10500034	34层守将	junzhu7	1	33	10501034	10502034	10503034	10504034	10505034																							
10500035	35层守将	junzhu3	1	34	10501035	10502035	10503035	10504035	10505035																							
10500036	36层守将	junzhu10	1	35	10501036	10502036	10503036	10504036	10505036																							
10500037	37层守将	junzhu9	1	36	10501037	10502037	10503037	10504037	10505037																							
10500038	38层守将	junzhu10	1	37	10501038	10502038	10503038	10504038	10505038																							
10500039	39层守将	junzhu3	1	38	10501039	10502039	10503039	10504039	10505039																							
10500040	40层守将	junzhu7	1	39	10501040	10502040	10503040	10504040	10505040																							
10500041	41层守将	junzhu1	1	40	10501041	10502041	10503041	10504041	10505041																							
10500042	42层守将	junzhu5	1	41	10501042	10502042	10503042	10504042	10505042																							
10500043	43层守将	junzhu4	1	42	10501043	10502043	10503043	10504043	10505043																							
10500044	44层守将	junzhu5	1	43	10501044	10502044	10503044	10504044	10505044																							
10500045	45层守将	junzhu7	1	44	10501045	10502045	10503045	10504045	10505045																							
10500046	46层守将	junzhu8	1	45	10501046	10502046	10503046	10504046	10505046																							
10500047	47层守将	junzhu3	1	46	10501047	10502047	10503047	10504047	10505047																							
