怪物武将id	武将	武将星数	无名武将	解锁技能个数	品质，1-WHITE=白色2-GREEN = 绿色3-BLUE =蓝色 4-PURPLE =紫色5-ORANGE=橙色6-RED=红色	士兵数	战斗力	士气	武将等级	士兵等级	总属性（关联属性表sprite_stat）	单兵血量		能否触发克制技		怪物位置		转生等级	是否是援军					
id	captain	star	nameless_captain	unlock_spell_count	quality	soldier	fight_amount	morale	level	soldier_level	total_stat	life_per_soldier	label	can_trigger_restraint_spell	model	Index	xindex	rebirth_level	yuan_jun					
10501001		1	10501001	2	2	800	1000	1	5	1	10501001	440			3		1							
10502001		1	10502001	2	2	800	1000	1	5	1	10502001	615			4		1							
10503001		1	10503001	2	2	800	1000	1	5	1	10503001	440			3		0							
10504001		1	10504001	2	2	800	1000	1	5	1	10504001	615			4		2							
10505001		1	10505001	2	2	800	1000	1	5	1	10505001	615			4		1							
10501002		1	10501002	2	2	800	1100	1	6	1	10501002	370			2		2							
10502002		1	10502002	2	2	800	1100	1	6	1	10502002	465			3		2							
10503002		1	10503002	2	2	800	1100	1	6	1	10503002	370			2		2							
10504002		1	10504002	2	2	800	1100	1	6	1	10504002	650			4		2							
10505002		1	10505002	2	2	800	1100	1	6	1	10505002	370			2		0							
10501003		1	10501003	2	2	800	1200	1	7	1	10501003	390			1		2							
10502003		1	10502003	2	2	800	1200	1	7	1	10502003	390			2		0							
10503003		1	10503003	2	2	800	1200	1	7	1	10503003	585			5		0							
10504003		1	10504003	2	2	800	1200	1	7	1	10504003	685			4		2							
10505003		1	10505003	2	2	800	1200	1	7	1	10505003	490			3		1							
10501004		1	10501004	2	2	800	1300	1	8	1	10501004	615			5		2							
10502004		1	10502004	2	2	800	1300	1	8	1	10502004	615			5		2							
10503004		1	10503004	2	2	800	1300	1	8	1	10503004	515			3		2							
10504004		1	10504004	2	2	800	1300	1	8	1	10504004	720			4		2							
10505004		1	10505004	2	2	800	1300	1	8	1	10505004	615			5		0							
10501005		1	10501005	2	2	800	1400	1	9	1	10501005	755			4		1							
10502005		1	10502005	2	2	800	1400	1	9	1	10502005	430			1		0							
10503005		1	10503005	2	2	800	1400	1	9	1	10503005	430			2		1							
10504005		1	10504005	2	2	800	1400	1	9	1	10504005	540			3		1							
10505005		1	10505005	2	2	800	1400	1	9	1	10505005	755			4		2							
10501006		1	10501006	2	2	800	1500	1	10	1	10501006	465			1		2							
10502006		1	10502006	2	2	800	1500	1	10	1	10502006	465			1		1							
10503006		1	10503006	2	2	800	1500	1	10	1	10503006	810			4		0							
10504006		1	10504006	2	2	800	1500	1	10	1	10504006	465			1		2							
10505006		1	10505006	2	2	800	1500	1	10	1	10505006	695			5		2							
10501007		1	10501007	2	2	800	1600	1	11	1	10501007	495			2		2							
10502007		1	10502007	2	2	800	1600	1	11	1	10502007	495			1		0							
10503007		1	10503007	2	2	800	1600	1	11	1	10503007	745			5		2							
10504007		1	10504007	2	2	800	1600	1	11	1	10504007	745			5		1							
10505007		1	10505007	2	2	800	1600	1	11	1	10505007	870			4		2							
10501008		1	10501008	2	2	800	1700	1	12	1	10501008	795			5		2							
10502008		1	10502008	2	2	800	1700	1	12	1	10502008	795			5		2							
10503008		1	10503008	2	2	800	1700	1	12	1	10503008	530			1		2							
10504008		1	10504008	2	2	800	1700	1	12	1	10504008	795			5		0							
10505008		1	10505008	2	2	800	1700	1	12	1	10505008	660			3		1							
10501009		1	10501009	2	2	800	1800	1	13	1	10501009	560			1		1							
10502009		1	10502009	2	2	800	1800	1	13	1	10502009	845			5		1							
