Id	名字	表现特效	CD	硬直时间	填1表示怒气技能	默认敌方技能，填1表示友方技能	填1表示可以对自己放		目标职业		目标具有效果状态  1-燃烧 2-中毒 3-流血	目标不可走	目标不可普攻	目标不可释放技能	目标晕眩			填1表示不停下来放技能	施法距离	伤害距离	目标个数	目标选择，0-无 1-随机目标 2-血量比例最高 3-血量比例最低 4-怒气最高 5-怒气最低	技能伤害系数		每秒飞行距离	效果类型，0-无 1-燃烧 2-中毒 3-流血		给自己加状态	状态概率，填小数				给目标加状态	状态概率，填小数				给自己加怒气	给目标加怒气，负数表示减怒气		伤害类型 0-伤害公式 1-兵力*系数 2-平均4维伤害公式																																																																																																																																																																																			
id	name	animation	cooldown	stronge_duration	rage_spell	friend_spell	self_as_target		target_race	target_race	target_effect_type	target_unmovable	target_not_attackable	target_silence	target_stun			keep_move	release_range	hurt_range	hurt_count	target_sub_type	coef		fly_speed	effect_type		self_state	self_state_rate	self_state	self_state_rate		target_state	target_state_rate	target_state	target_state_rate		self_rage	target_rage		hurt_type																																																																																																																																																																																			
13110101	摧山裂地	13110101		3s					bu	che									0	0	1		1.11		250	4																																																																																																																																																																																																		
13110102	强弓劲弩	13110102		0.7s					qi	xie									0	0	1		1.11		250	4																																																																																																																																																																																																		
																																																																																																																																																																																																																												
13110001	步攻击	1	5s																30		1		0.37																																																																																																																																																																																																					
13110002	骑攻击	2	5s																30		1		0.37																																																																																																																																																																																																					
13110003	车攻击	4	5s																30		1		0.37																																																																																																																																																																																																					
13110004	弓攻击	3	5s																300		1		0.37		200																																																																																																																																																																																																			
13110005	器攻击	5	5s																300		1		0.37		200																																																																																																																																																																																																			
13110006	城墙攻击	13110006	5s																5000	0	1		0.37		600																																																																																																																																																																																																			
																																																																																																																																																																																																																												
13110201	精准	13110201							bu	che									0	0	1		0.222		250	0																																																																																																																																																																																																		250
13110202	流矢	13100202							qi	xie									0	0	1		0.222		250	0																																																																																																																																																																																																		
																																																																																																																																																																																																																												
13110204	真伤								gong	xie									30		1		0.4																		1																																																																																																																																																																																			
																																																																																																																																																																																																																												
																																																																																																																																																																																																																												
																																																																																																																																																																																																																												
																																																																																																																																																																																																																												
13111101	燕市高歌	13111101			1														50		1		1.11										13111701	1	13111801	1					2																								13111101	燕市高歌																																																																																																																																																										
13112101	燕市高歌	13111101			1														50		1		1.11										13112701	1	13112801	1					2																								13112101	燕市高歌																																																																																																																																																										
13113101	燕市高歌	13111101			1														50		1		1.11										13113701	1	13113801	1					2																								13113101	燕市高歌																																																																																																																																																										
