Id				名字	图标	描述	技能分组	技能等级	主动技能	被动技能			内政技能效果	战斗力系数	
id				name	icon	desc	group	level	spell	passive_spell	passive_spell	passive_spell	building_effect	fight_amount_coef	sub_desc
13110001				步攻击	荆轲	据说是一个技能，正式配置还没配置	1	1	13110001						据说是一个技能，正式配置还没配置
13110002				骑攻击	荆轲	据说是一个技能，正式配置还没配置	2	1	13110002						据说是一个技能，正式配置还没配置
13110003				车攻击	荆轲	据说是一个技能，正式配置还没配置	3	1	13110003						据说是一个技能，正式配置还没配置
13110004				弓攻击	荆轲	据说是一个技能，正式配置还没配置	4	1	13110004						据说是一个技能，正式配置还没配置
13110005				器攻击	荆轲	据说是一个技能，正式配置还没配置	5	1	13110005						据说是一个技能，正式配置还没配置
13110006				城墙攻击	荆轲	据说是一个技能，正式配置还没配置	6	1	13110006						据说是一个技能，正式配置还没配置
															
13100101				摧山裂地	skill01	战斗中第1次攻击，若目标为步、车，则额外造成300%伤害。	11	1		13130101					
13100102				强弓劲弩	skill02	战斗中第1次攻击，若目标为骑、器，则额外造成300%伤害。	12	1		13130102					
															
13100201				精准	skill0034	每3次攻击对步兵车兵造成额外120%的伤害。	41	1		13130201				4000	
13100202				流矢	skill0035	每3次攻击对骑兵器械造成额外120%的伤害。	42	1		13130202				4000	
13100203				肉搏	skill03	攻击骑兵时，使其减伤属性下降33%，持续20秒。攻击弓兵时，使其增伤属性下降33%，持续20秒。攻击远程单位时，第一下攻击附带自身兵力40%的真实伤害。	13	1		13130203	13140203	13140204			
13100205				突袭	skill04	攻击车兵时，使其减伤属性下降33%，持续20秒。攻击器兵时，使其增伤属性下降33%，持续20秒。攻击远程单位时，第一下攻击附带自身兵力40%的真实伤害。	14	1		13130205	13140205	13140204			
13100207				冲撞	skill05	攻击步兵时，使其减伤属性下降33%，持续20秒。攻击弓兵时，使其增伤属性下降33%，持续20秒。攻击远程单位时，第一下攻击附带自身兵力40%的真实伤害。	15	1		13130207	13140207	13140204			
															
13111001	荆轲	B	骑	燕市高歌	skill101	对目标造成根据双方总属性计算的300%普攻伤害。使目标陷入易燃状态，受到火系伤害额外提升12%，在此基础上，所有伤害提升41%，持续30秒。	101	1	13111101					8333	所有伤害提升68%
13112001	荆轲	B	骑	燕市高歌	skill101	对目标造成根据双方总属性计算的300%普攻伤害。使目标陷入易燃状态，受到火系伤害额外提升12%，在此基础上，所有伤害提升41%，持续30秒。	1010	2	13112101					8333	所有伤害提升71%
13113001	荆轲	B	骑	燕市高歌	skill101	对目标造成根据双方总属性计算的300%普攻伤害。使目标陷入易燃状态，受到火系伤害额外提升12%，在此基础上，所有伤害提升41%，持续30秒。	1010	3	13113101					8333	所有伤害提升74%
13114001	荆轲	B	骑	燕市高歌	skill101	对目标造成根据双方总属性计算的300%普攻伤害。使目标陷入易燃状态，受到火系伤害额外提升12%，在此基础上，所有伤害提升41%，持续30秒。	1010	4	13114101					8333	所有伤害提升78%
13115001	荆轲	B	骑	燕市高歌	skill101	对目标造成根据双方总属性计算的300%普攻伤害。使目标陷入易燃状态，受到火系伤害额外提升12%，在此基础上，所有伤害提升41%，持续30秒。	1010	5	13115101					8333	所有伤害提升81%
13111002	庞涓	A	弓	狷狂名箭	skill201	发动强力箭袭，对目标造成550%的伤害。	102	1	13111102					9167	造成225%伤害
13112002	庞涓	A	弓	狷狂名箭	skill201	发动强力箭袭，对目标造成550%的伤害。	1020	2	13112102					9167	造成236%伤害
13113002	庞涓	A	弓	狷狂名箭	skill201	发动强力箭袭，对目标造成550%的伤害。	1020	3	13113102					9167	造成248%伤害
13114002	庞涓	A	弓	狷狂名箭	skill201	发动强力箭袭，对目标造成550%的伤害。	1020	4	13114102					9167	造成259%伤害
13115002	庞涓	A	弓	狷狂名箭	skill201	发动强力箭袭，对目标造成550%的伤害。	1020	5	13115102					9167	造成270%伤害
13141002	庞涓	A	弓	悍勇	skill0002	每攻击4次，将额外造成108%的伤害。此时友军身上存有护盾时，则提升自身攻速12%，持续30秒。	103	1		13141302				2700	额外造成90%伤害
