Id	名字		表现特效	堆叠类型 0-不堆叠 1-替换 2-堆叠	最大堆叠层数	生效次数	生效间隔	状态掉血系数		修改属性	填1表示增加属性，否则表示减属性	移动速度，填小数	攻击速度，填小数	护盾比例，填小数	不可移动	不能普攻	沉默，不能放技能	晕眩	状态效果类型，0-无 1-燃烧 2-中毒 3-流血		被击伤害附加类型，0-无 1-燃烧 2-中毒 3-流血	被击伤害附加系数				被攻击伤害减少	系数，填小数				怒气，填负数表示减怒气	怒气恢复速度，填小数		护盾抵扣比例	伤害类型 0-伤害公式 1-兵力*系数 2-平均4维伤害公式			
id	name		animation	stack_type	stack_max_times	tick_times	tick_duration	damage_coef		change_stat	is_add_stat	move_speed_rate	attack_speed_rate	shield_rate	unmovable	not_attackable	silence	stun	effect_type		been_hurt_effect_type	been_hurt_effect_inc	been_hurt_effect_inc_type	been_hurt_effect_inc		been_hurt_effect_dec_type	been_hurt_effect_dec	been_hurt_effect_dec_type	been_hurt_effect_dec		rage	rage_recover_rate		shield_effect_rate	damage_hurt_type			
13170203	勇战1	减伤降低	19	0	1	1	20s			13170203	1																											
13180203	勇战2	加伤降低	17	0	1	1	20s			13180203	1																										护盾	1
13170205	冲阵1	减伤降低	19	0	1	1	20s			13170205	1																										加伤提升	8
13180205	冲阵2	加伤降低	17	0	1	1	20s			13180205	1																										加伤降低	9
13170207	驰聘1	减伤降低	19	0	1	1	20s			13170207	1																										减伤提升	10
13180207	驰聘2	加伤降低	17	0	1	1	20s			13180207	1																										减伤降低	11
																																					体力提升	12
13111701	使目标陷入易燃状态，受到火系伤害额外提升10%，在此基础上，所有伤害提升32%，持续15秒。	易燃	41	1	1	1	30s														1	0.096															体力降低	13
13112701	使目标陷入易燃状态，受到火系伤害额外提升10%，在此基础上，所有伤害提升38%，持续15秒。	易燃	41	1	1	1	30s														1	0.096															敏捷提升	14
13113701	使目标陷入易燃状态，受到火系伤害额外提升10%，在此基础上，所有伤害提升45%，持续15秒。	易燃	41	1	1	1	30s														1	0.096															敏捷降低	15
13114701	使目标陷入易燃状态，受到火系伤害额外提升10%，在此基础上，所有伤害提升51%，持续15秒。	易燃	41	1	1	1	30s														1	0.096															增伤提升	16
13115701	使目标陷入易燃状态，受到火系伤害额外提升10%，在此基础上，所有伤害提升58%，持续15秒。	易燃	41	1	1	1	30s														1	0.096															增伤降低	17
13111801		减伤降低	19	1	1	1	30s			13111801	1																										减伤提升	18
13112801		减伤降低	19	1	1	1	30s			13112801	1																										减伤降低	19
13113801		减伤降低	19	1	1	1	30s			13113801	1																										暴击提升	20
13114801		减伤降低	19	1	1	1	30s			13114801	1																										暴击降低	21
13115801		减伤降低	19	1	1	1	30s			13115801	1																										命中提升	22
13111703	立刻造成100%火系伤害，并使目标持续燃烧，每3秒受到20%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2664											1																		命中降低	23
13112703	立刻造成120%火系伤害，并使目标持续燃烧，每3秒受到24%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2664											1																		闪避提升	24
13113703	立刻造成140%火系伤害，并使目标持续燃烧，每3秒受到28%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2664											1																		闪避降低	25
13114703	立刻造成160%火系伤害，并使目标持续燃烧，每3秒受到32%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2664											1																		攻速提升	26
13115703	立刻造成180%火系伤害，并使目标持续燃烧，每3秒受到36%的火系伤害，持续15秒。	燃烧	40	1	1	5	3s	0.2664											1																		攻速降低	27
13111504	给自身施加一个相当于最大兵力上限20%的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5			移动速度提升	28
13112504	给自身施加一个相当于最大兵力上限24%的护盾，持续15秒。	护盾	1	1	1	1	30s							0.3																				0.5			移动速度降低	29
