Id				表现特效	触发概率，填小数	触发类型，0-无 1-开局释放 2-首次攻击触发 3-攻击N次触发 4-被攻击触发  6-首次攻击目标触发	触发职业，不填表示全部职业都触发		目标具有效果状态 1-燃烧 2-中毒 3-流血	目标不可走	目标不可普攻	目标不可释放技能	目标晕眩	攻击N次触发		给自己加状态			给目标加状态			释放技能	激发效果（持续掉血立即生效），1-燃烧 2-中毒 3-流血			加怒气	加属性		被击伤害附加类型，0-无 1-燃烧 2-中毒 3-流血	被击伤害附加系数				被攻击伤害减少	系数，填小数				目标触发CD		复活兵力百分比，填小数																									
id				animation	trigger_rate	trigger_type	target_race	target_race	target_effect_type	target_unmovable	target_not_attackable	target_silence	target_stun	trigger_hit		self_state	self_state		target_state	target_state		spell	excite_effect_type			rage	sprite_stat		been_hurt_effect_inc_type	been_hurt_effect_inc	been_hurt_effect_inc_type	been_hurt_effect_inc		been_hurt_effect_dec_type	been_hurt_effect_dec	been_hurt_effect_dec_type	been_hurt_effect_dec		target_cooldown		relive_percent																									
13130101	摧山裂地				1	2	bu	che														13110101																																												
13130102	强弓劲弩				1	2	qi	xie														13110102																																												
																																																																		
13130201	精准				1	3	bu	che						3								13110201																																												
13130202	流矢				1	3	qi	xie						3								13110202																																												
13130203	勇战1			13130203	1	3	qi							1					13170203																				20s																											
13140203	勇战2			13130203	1	3	gong							1					13180203																				20s																											
13130205	冲阵1			13130205	1	3	che							1					13170205																				20s																											
13140205	冲阵2			13130205	1	3	xie							1					13180205																				20s																											
13130207	驰聘1			13130207	1	3	bu							1					13170207																				20s																											
13140207	驰聘2			13130207	1	3	gong							1					13180207																				20s																											
13140204					1	6	gong	xie						1								13110204																																												
																																																																		
13141302	悍勇		0.12		1	3								4							0.48	13141102																																												
13142302	悍勇		0.12		1	3								4							0.576	13142102																																												
13143302	悍勇		0.12		1	3								4							0.672	13143102																																												
13144302	悍勇		0.12		1	3								4							0.768	13144102																																												
13145302	悍勇		0.12		1	3								4							0.864	13145102																																												
13141303	急射				0.33	3								1		13141503																																																	13111101	燕市高歌
13142303	急射				0.33	3								1		13142503																																																	13112101	燕市高歌
13143303	急射				0.33	3								1		13143503																																																	13113101	燕市高歌
13144303	急射				0.33	3								1		13144503																																																	13114101	燕市高歌
13145303	急射				0.33	3								1		13145503																																																	13115101	燕市高歌
13141304	逐敌				0.33	3								1					13141704																																														13111102	狷狂名箭
13142304	逐敌				0.33	3								1					13142704																																														13112102	狷狂名箭
13143304	逐敌				0.33	3								1					13143704																																														13113102	狷狂名箭
13144304	逐敌				0.33	3								1					13144704																																														13114102	狷狂名箭
13145304	逐敌				0.33	3								1					13145704																																														13115102	狷狂名箭
13141305	迷惑				1	0																																																											13141302	悍勇
13142305	迷惑				1	0																																																											13142302	悍勇
13143305	迷惑				1	0																																																											13143302	悍勇
13144305	迷惑				1	0																																																											13144302	悍勇
13145305	迷惑				1	0																																																											13145302	悍勇
13141306	重整		0.12	13141006	1	0																																			1																								13111103	乱箭攒心
13142306	重整		0.144	13141006	1	0																																			1																								13112103	乱箭攒心
13143306	重整		0.168	13141006	1	0																																			1																								13113103	乱箭攒心
13144306	重整		0.192	13141006	1	0																																			1																								13114103	乱箭攒心
13145306	重整		0.216	13141006	1	0																																			1																								13115103	乱箭攒心
13141307	顺势				1	3								4							0.6	13141107																																											13141303	急射
13142307	顺势				1	3								4							0.72	13142107																																											13142303	急射
13143307	顺势				1	3								4							0.84	13143107																																											13143303	急射
13144307	顺势				1	3								4							0.96	13144107																																											13144303	急射
13145307	顺势				1	3								4							1.08	13145107																																											13145303	急射
13141407					1	3								4							0.12	13141207																																											13111104	王室名将
13142407					1	3								4							0.144	13142207																																											13112104	王室名将
13143407					1	3								4							0.168	13143207																																											13113104	王室名将
13144407					1	3								4							0.192	13144207																																											13114104	王室名将
13145407					1	3								4							0.216	13145207																																											13115104	王室名将
13141308	强健		0.3		0.33	3								1																																																			13141304	逐敌
13142308	强健		0.36		0.33	3								1																																																			13142304	逐敌
13143308	强健		0.42		0.33	3								1																																																			13143304	逐敌
13144308	强健		0.48		0.33	3								1																																																			13144304	逐敌
13145308	强健		0.54		0.33	3								1																																																			13145304	逐敌
13141309	再起		0.15	13141009	1	0																																			1																								13111105	心系兵卒
13142309	再起		0.18	13141009	1	0																																			1																								13112105	心系兵卒
13143309	再起		0.21	13141009	1	0																																			1																								13113105	心系兵卒
13144309	再起		0.24	13141009	1	0																																			1																								13114105	心系兵卒
13145309	再起		0.27	13141009	1	0																																			1																								13115105	心系兵卒
13141310	烈焰				0.33	3								1		13141510			13141710																																														13141305	迷惑
13142310	烈焰				0.33	3								1		13142510			13142710																																														13142305	迷惑
13143310	烈焰				0.33	3								1		13143510			13143710																																														13143305	迷惑
13144310	烈焰				0.33	3								1		13144510			13144710																																														13144305	迷惑
13145310	烈焰				0.33	3								1		13145510			13145710																																														13145305	迷惑
