id，随便填写	名字	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id	怪物，配置怪物君主.txt 中的id
id	name	monsters	monsters	monsters	monsters	monsters	monsters	monsters	monsters	monsters	monsters
1	简单第1波	12401101	12401102	12401103	12401104	12401105	12401106	12401107	12401108	12401109	12401110
2	简单第2波	12401201	12401202	12401203	12401204	12401205	12401206	12401207	12401208	12401209	12401210
3	简单第3波	12401301	12401302	12401303	12401304	12401305	12401306	12401307	12401308	12401309	12401310
4	简单第4波	12401401	12401402	12401403	12401404	12401405	12401406	12401407	12401408	12401409	12401410
5	简单第5波	12401501	12401502	12401503	12401504	12401505	12401506	12401507	12401508	12401509	12401510
											
10	中等第1波	12402101	12402102	12402103	12402104	12402105	12402106	12402107	12402108	12402109	12402110
11	中等第2波	12402201	12402202	12402203	12402204	12402205	12402206	12402207	12402208	12402209	12402210
12	中等第3波	12402301	12402302	12402303	12402304	12402305	12402306	12402307	12402308	12402309	12402310
13	中等第4波	12402401	12402402	12402403	12402404	12402405	12402406	12402407	12402408	12402409	12402410
14	中等第5波	12402501	12402502	12402503	12402504	12402505	12402506	12402507	12402508	12402509	12402510
											
20	困难第1波	12403101	12403102	12403103	12403104	12403105	12403106	12403107	12403108	12403109	12403110
21	困难第2波	12403201	12403202	12403203	12403204	12403205	12403206	12403207	12403208	12403209	12403210
22	困难第3波	12403301	12403302	12403303	12403304	12403305	12403306	12403307	12403308	12403309	12403310
23	困难第4波	12403401	12403402	12403403	12403404	12403405	12403406	12403407	12403408	12403409	12403410
24	困难第5波	12403501	12403502	12403503	12403504	12403505	12403506	12403507	12403508	12403509	12403510
											
30	噩梦第1波	12404101	12404102	12404103	12404104	12404105	12404106	12404107	12404108	12404109	12404110
31	噩梦第2波	12404201	12404202	12404203	12404204	12404205	12404206	12404207	12404208	12404209	12404210
32	噩梦第3波	12404301	12404302	12404303	12404304	12404305	12404306	12404307	12404308	12404309	12404310
33	噩梦第4波	12404401	12404402	12404403	12404404	12404405	12404406	12404407	12404408	12404409	12404410
34	噩梦第5波	12404501	12404502	12404503	12404504	12404505	12404506	12404507	12404508	12404509	12404510
											
40	第1波	12405101	12405102	12405103	12405104	12405105	12405106	12405107	12405108	12405109	12405110
41	第2波	12405201	12405202	12405203	12405204	12405205	12405206	12405207	12405208	12405209	12405210
42	第3波	12405301	12405302	12405303	12405304	12405305	12405306	12405307	12405308	12405309	12405310
43	第4波	12405401	12405402	12405403	12405404	12405405	12405406	12405407	12405408	12405409	12405410
44	第5波	12405501	12405502	12405503	12405504	12405505	12405506	12405507	12405508	12405509	12405510
											
50	第1波	12406101	12406102	12406103	12406104	12406105	12406106	12406107	12406108	12406109	12406110
51	第2波	12406201	12406202	12406203	12406204	12406205	12406206	12406207	12406208	12406209	12406210
52	第3波	12406301	12406302	12406303	12406304	12406305	12406306	12406307	12406308	12406309	12406310
53	第4波	12406401	12406402	12406403	12406404	12406405	12406406	12406407	12406408	12406409	12406410
54	第5波	12406501	12406502	12406503	12406504	12406505	12406506	12406507	12406508	12406509	12406510
											
60	第1波	12407101	12407102	12407103	12407104	12407105	12407106	12407107	12407108	12407109	12407110
61	第2波	12407201	12407202	12407203	12407204	12407205	12407206	12407207	12407208	12407209	12407210
62	第3波	12407301	12407302	12407303	12407304	12407305	12407306	12407307	12407308	12407309	12407310
63	第4波	12407401	12407402	12407403	12407404	12407405	12407406	12407407	12407408	12407409	12407410
64	第5波	12407501	12407502	12407503	12407504	12407505	12407506	12407507	12407508	12407509	12407510
											
70	第1波	12408101	12408102	12408103	12408104	12408105	12408106	12408107	12408108	12408109	12408110
71	第2波	12408201	12408202	12408203	12408204	12408205	12408206	12408207	12408208	12408209	12408210
72	第3波	12408301	12408302	12408303	12408304	12408305	12408306	12408307	12408308	12408309	12408310
73	第4波	12408401	12408402	12408403	12408404	12408405	12408406	12408407	12408408	12408409	12408410
74	第5波	12408501	12408502	12408503	12408504	12408505	12408506	12408507	12408508	12408509	12408510
											
80	第1波	12409101	12409102	12409103	12409104	12409105	12409106	12409107	12409108	12409109	12409110
81	第2波	12409201	12409202	12409203	12409204	12409205	12409206	12409207	12409208	12409209	12409210
82	第3波	12409301	12409302	12409303	12409304	12409305	12409306	12409307	12409308	12409309	12409310
83	第4波	12409401	12409402	12409403	12409404	12409405	12409406	12409407	12409408	12409409	12409410
84	第5波	12409501	12409502	12409503	12409504	12409505	12409506	12409507	12409508	12409509	12409510
											
90	第1波	12410101	12410102	12410103	12410104	12410105	12410106	12410107	12410108	12410109	12410110
91	第2波	12410201	12410202	12410203	12410204	12410205	12410206	12410207	12410208	12410209	12410210
92	第3波	12410301	12410302	12410303	12410304	12410305	12410306	12410307	12410308	12410309	12410310
93	第4波	12410401	12410402	12410403	12410404	12410405	12410406	12410407	12410408	12410409	12410410
94	第5波	12410501	12410502	12410503	12410504	12410505	12410506	12410507	12410508	12410509	12410510
