难度等级	名字	主城，配置 野怪基础数据.txt 中的id	防守怪物，配置怪物君主.txt 中的id	防守怪物，配置怪物君主.txt 中的id	防守怪物，配置怪物君主.txt 中的id	防守怪物，配置怪物君主.txt 中的id												防守波数配置	防守波数配置	防守波数配置	防守波数配置	防守波数配置	(废弃)评分奖励，数量必须跟积分一样多	(废弃)评分奖励，数量必须跟积分一样多	(废弃)评分奖励，数量必须跟积分一样多	(废弃)评分奖励，数量必须跟积分一样多	(废弃)评分奖励，数量必须跟积分一样多		评分奖励，数量必须跟积分一样多，配 掉落_奖励.txt	评分奖励，数量必须跟积分一样多，配 掉落_奖励.txt	评分奖励，数量必须跟积分一样多，配 掉落_奖励.txt	评分奖励，数量必须跟积分一样多，配 掉落_奖励.txt	评分奖励，数量必须跟积分一样多，配 掉落_奖励.txt		评分展示奖励，数量必须跟积分一样多	评分展示奖励，数量必须跟积分一样多	评分展示奖励，数量必须跟积分一样多	评分展示奖励，数量必须跟积分一样多	评分展示奖励，数量必须跟积分一样多	评分奖励声望	评分奖励声望	评分奖励声望	评分奖励声望	评分奖励声望	反击成功奖励 	反击成功奖励声望
level	name	npc_base_data	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	assist_monsters	resist_waves	resist_waves	resist_waves	resist_waves	resist_waves	score_prizes	score_prizes	score_prizes	score_prizes	score_prizes		score_plunder_prizes	score_plunder_prizes	score_plunder_prizes	score_plunder_prizes	score_plunder_prizes		show_prizes	show_prizes	show_prizes	show_prizes	show_prizes	score_prestiges	score_prestiges	score_prestiges	score_prestiges	score_prestiges	resist_suc_prize	resist_suc_prestige
1	十夫长	11704013	12401615	12401614	12401613	12401612	12401611	12401610	12401609	12401608	12401607	12401606	12401605	12401604	12401603	12401602	12401601	1	2	3	4	5	10808011	10808012	10808013	10808014	10808015		10807011	10807012	10807013	10807014	10807015		10808011	10808012	10808013	10808014	10808015	200	800	1200	1600	2000	10807016	500
2	百夫长	11704014	12402615	12402614	12402613	12402612	12402611	12402610	12402609	12402608	12402607	12402606	12402605	12402604	12402603	12402602	12402601	10	11	12	13	14	10808021	10808022	10808023	10808024	10808025		10807021	10807022	10807023	10807024	10807025		10808021	10808022	10808023	10808024	10808025	500	1500	2200	2900	3500	10807026	1000
3	千夫长	11704015	12403615	12403614	12403613	12403612	12403611	12403610	12403609	12403608	12403607	12403606	12403605	12403604	12403603	12403602	12403601	20	21	22	23	24	10808031	10808032	10808033	10808034	10808035		10807031	10807032	10807033	10807034	10807035		10808031	10808032	10808033	10808034	10808035	800	2000	3500	4200	5000	10807036	1500
4	万夫长	11704016	12404615	12404614	12404613	12404612	12404611	12404610	12404609	12404608	12404607	12404606	12404605	12404604	12404603	12404602	12404601	30	31	32	33	34	10808041	10808042	10808043	10808044	10808045		10807041	10807042	10807043	10807044	10807045		10808041	10808042	10808043	10808044	10808045	1000	3000	5000	5700	6500	10807046	2000
5	匈奴骨都侯	11704017	12405615	12405614	12405613	12405612	12405611	12405610	12405609	12405608	12405607	12405606	12405605	12405604	12405603	12405602	12405601	40	41	42	43	44	10808051	10808052	10808053	10808054	10808055		10807051	10807052	10807053	10807054	10807055		10808051	10808052	10808053	10808054	10808055	1200	4000	6500	7200	8000	10807056	2500
6	匈奴大当户	11704018	12406615	12406614	12406613	12406612	12406611	12406610	12406609	12406608	12406607	12406606	12406605	12406604	12406603	12406602	12406601	50	51	52	53	54	10808061	10808062	10808063	10808064	10808065		10807061	10807062	10807063	10807064	10807065		10808061	10808062	10808063	10808064	10808065	1400	5000	8000	8700	9500	10807066	3000
7	匈奴谷蠡王	11704019	12407615	12407614	12407613	12407612	12407611	12407610	12407609	12407608	12407607	12407606	12407605	12407604	12407603	12407602	12407601	60	61	62	63	64	10808071	10808072	10808073	10808074	10808075		10807071	10807072	10807073	10807074	10807075		10808071	10808072	10808073	10808074	10808075	1600	6000	9500	10200	11000	10807076	3500
8	匈奴右贤王	11704020	12408615	12408614	12408613	12408612	12408611	12408610	12408609	12408608	12408607	12408606	12408605	12408604	12408603	12408602	12408601	70	71	72	73	74	10808081	10808082	10808083	10808084	10808085		10807081	10807082	10807083	10807084	10807085		10808081	10808082	10808083	10808084	10808085	1800	7000	11000	11700	12500	10807086	4000
9	匈奴左贤王	11704021	12409615	12409614	12409613	12409612	12409611	12409610	12409609	12409608	12409607	12409606	12409605	12409604	12409603	12409602	12409601	80	81	82	83	84	10808091	10808092	10808093	10808094	10808095		10807091	10807092	10807093	10807094	10807095		10808091	10808092	10808093	10808094	10808095	2000	8000	12500	13200	14000	10807096	4500
10	匈奴大单于	11704022	12410615	12410614	12410613	12410612	12410611	12410610	12410609	12410608	12410607	12410606	12410605	12410604	12410603	12410602	12410601	90	91	92	93	94	10808101	10808102	10808103	10808104	10808105		10807101	10807102	10807103	10807104	10807105		10808101	10808102	10808103	10808104	10808105	2200	9000	14000	14700	15500	10807106	5000
