副本id	副本序列	副本名字	副本描述	解锁需要玩家等级	通关需要的前置副本id		前置霸业阶段	章节id	难度_x000D_    ORDINARY = 1; // 普通难度_x000D_    ELITE = 2; // 精英难度	副本星数	获星条件 1.是否获胜 2.血量大于%n 3.时间未超过n秒 4.武将死亡个数不大于n	条件值					每日通关次数限制	体力值消耗	首次通关奖励	通关奖励	掉落	展示奖励	怪物，配置 monster.txt 中的id		战斗场景，配置 scene.txt 中的id		解锁拼图在本章节本难度的下标	故事id	剧情对话id	战前对话id	战后对话id	地图小人名称	地图小人图片	小人气泡弹窗	地图小人名称	小人气泡弹窗	援军id。配 援军.txt id。与 yuan_jun_index 一一对应	援军id。配 援军.txt id。与 yuan_jun_index 一一对应		剧情槽位	剧情id		
id	sequence	name	desc	unlock_hero_level	unlock_pass_dungeon	unlock_pass_dungeon	unlock_baye_stage	chapter_id	type	star	star_condition	star_condition_value	star_condition	star_condition_value	star_condition	star_condition_value	pass_limit	sp	first_pass_prize	pass_prize	plunder	show_prize	monster		combat_scene		unlock_puzzle_index	story_id	dialog_id	pre_battle_dialog_id	after_battle_dialog_id	npc_name	npc_icon	ballon_tool_tip			yuan_jun_id	yuan_jun_id		plot_idx	plot_id	plot_idx	plot_id
10101	101	击退秦军	荆轲正掩护百姓撤退，快点击败秦军，与荆轲见面。	1			1	101	1									5	11501101		11501001	11501001	9000101		Battle_New_1		0	0	90159		90160	ui://PveChapter/Image_Mission_04	91	荆轲，看剑。									
10102	102	易水之战	太子丹被困易水城，十万火急，速速前往营救。	1	10101		1	101	1	3	1	1	3	60	4	1		5	11501102		11501002	11501002	9000102		Battle_New_1		1	0		99161	51003	ui://PveChapter/Image_Mission_01	91	越乱越能抢到东西。			9060103			5	12305		
10103	103	追赶荆轲	荆轲已经出发，快去与他会和吧！	1	10102		2	101	1									5	11501103		11501003	11501003	9000103		Battle_New_1		2	0		52001	99162	ui://PveChapter/Image_Mission_02	97	太子面前显身手！									
10104	104	消灭山贼	前面有一群山贼拦路，击退他们。	1	10103		2	101	1									5	11501104		11501004	11501004	9000104		Battle_New_1		3	1	90001		90003	ui://PveChapter/Image_Mission_02	90	鬼神包探听！									
10105	105	遭遇埋伏	终于来到了秦国，但与荆轲见面的地方却又秦军埋伏，必须击退。	1	10104		3	101	1									5	11501105		11501005	11501005	9000105		Battle_New_1		4	1		90005	90006	ui://PveChapter/Image_Mission_04	91	大秦帝国边关由我守卫！			9060105			5	12306		
10106	106	杀出重围	秦王布下险境，刺秦失败，只能先设法突围。	1	10105		3	101	1	3	1	1	3	120	4	1		5	11501106		11501006	11501006	9000106		Battle_New_1		5	2			50005	ui://PveChapter/Image_Mission_03	97	大秦帝国边关由我守卫！									
10201	201	东施遇难	碧波浣纱，沉鱼美貌，东施宛若天人，决不允许凡夫俗子亵渎！	1	10106		4	102	1									5	11502101		11502001	11502001	9000201		Battle_New_1		0	0	90013	90014	99015	ui://PveChapter/Image_Mission_01	91	我就是要吃天鹅肉！									
10202	202	越王追兵	越王派人追捕东施，必须尽快带她逃走。	1	10201		4	102	1									5	11502102		11502002	11502002	9000202		Battle_New_1		1	0		99115	99125	ui://PveChapter/Image_Mission_04	91	强盗出没！			9060203			5	12307		
10203	203	深陷重围	越王追兵不断，已将所有生路封锁，形势危机。	1	10202		4	102	1	3	1	1	3	60	4	1		5	11502103		11502003	11502003	9000203		Battle_New_1		2	0	91111		99126	ui://PveChapter/Image_Mission_04	97	强盗出没！									
10204	204	营救东施	听说东施被困在越宫，一定要将他救出。	1	10203		5	102	1									5	11502104		11502004	11502004	9000204		Battle_New_1		3	1		99127		ui://PveChapter/Image_Mission_02	91	城门已关，不得出入。									
10205	205	深入越宫	继续深入，寻找东施。	1	10204		5	102	1									5	11502105		11502005	11502005	9000205		Battle_New_1		4	1				ui://PveChapter/Image_Mission_03	91	送亲的队伍别走！									
10206	206	寝宫激战	只剩下越王寝宫尚未搜寻，必须抓紧动作。	1	10205		5	102	1	3	1	1	3	120	4	5		5	11502106		11502006	11502006	9000206		Battle_New_1		5	1			99130	ui://PveChapter/Image_Mission_02	97	再美的花，也有凋落的时候。									
10207	207	半路伏击	越王准备将东施送去吴国，半路截击，救出东施。	1	10206		6	102	1									5	11502107		11502007	11502007	9000207		Battle_New_1		6	2		90017	90018	ui://PveChapter/Image_Mission_02	91	不能让东施活着出城！			9060206			5	12308		
10208	208	击溃越兵	击溃越兵，只有这样才能见到东施。	1	10207		6	102	1									5	11502108		11502008	11502008	9000208		Battle_New_1		7	2				ui://PveChapter/Image_Mission_03	91	全城戒严！									
10209	209	战胜越王	东施就在前面，要救出她必须战胜越王。	1	10208		6	102	1	3	1	1	3	75	4	1		5	11502109		11502009	11502009	9000209		Battle_New_1		8	2	90163		90165	ui://PveChapter/Image_Mission_04	97	东施虽美，大王不让你生！									
10301	301	守护夏姬1	贵族企图霸占夏姬，英雄救美的时候到了！	1	10209		7	103	1									5	11503101		11503001	11503001	9000301		Battle_New_1		0	0		90046		ui://PveChapter/Image_Mission_04	92	小姐，快快下嫁于我！									
10302	302	守护夏姬2	送亲路上，保夏姬平安。	1	10301			103	1									5	11503102		11503002	11503002	9000302		Battle_New_1		1	0	90047	90048		ui://PveChapter/Image_Mission_01	95	肥水不流外人田！									
10303	303	抵御侵略1	垂涎夏姬美色的狂徒快快退下！	1	10302			103	1	3	1	1	3	60	4	1		5	11503103		11503003	11503003	9000303		Battle_New_1		2	1	90049	90050		ui://PveChapter/Image_Mission_02	91	交出美女！									
