章节编号	章节序列	ChapterName	ChapterDesc	将魂id，配置captain.txt中的id		"难度
    ORDINARY = 1; // 普通难度
    ELITE = 2; // 精英难度"	背景图	通关该章节难度奖励		星数奖励	星数要求				
id	sequence	chapter_name	chapter_desc	captain		type	bg_img	pass_prize		star_prize	star	star_prize	star	star_prize	star
101	1	第一章	荆轲传	1		1	1	11400001		11501100	3	11501200	6		
102	2	第二章	东施传	17		1	2	11400017		11502100	3	11502200	6	11502300	9
103	3	第三章	夏姬传	18		1	4	11400018		11503100	3	11503200	6	11503300	9
104	4	第四章	商鞅传	26		1	5	11400008		11504100	3	11504200	6	11504300	9
105	5	第五章	郑袖传	16		1	8	11400002		11505100	3	11505200	6	11505300	9
106	6	第六章	庞涓传	2		1	3	11400036		11506100	3	11506200	6	11506300	9
107	7	第七章	乐毅传	19		1	6	11400026		11507100	3	11507200	6	11507300	9
108	8	第八章	李牧传	35		1	10	11400027		11508100	3	11508200	6	11508300	9
109	9	第九章	吴起传	36		1	7	11400016		11509100	3	11509200	6	11509300	9
110	10	第十章	信陵君传	27		1	9	11400019		11510100	3	11510200	6	11510300	9
															
201	1	第一章	荆轲传	1		2	1	11400001		13501100	3	13501200	6		
202	2	第二章	东施传	17		2	2	11400017		13502100	3	13502200	6	13502300	9
203	3	第三章	夏姬传	18		2	4	11400018		13503100	3	13503200	6	13503300	9
204	4	第四章	商鞅传	26		2	5	11400008		13504100	3	13504200	6	13504300	9
205	5	第五章	郑袖传	16		2	8	11400002		13505100	3	13505200	6	13505300	9
206	6	第六章	庞涓传	2		2	3	11400036		13506100	3	13506200	6	13506300	9
207	7	第七章	乐毅传	19		2	6	11400026		13507100	3	13507200	6	13507300	9
208	8	第八章	李牧传	35		2	10	11400027		13508100	3	13508200	6	13508300	9
209	9	第九章	吴起传	36		2	7	11400016		13509100	3	13509200	6	13509300	9
210	10	第十章	信陵君传	27		2	9	11400019		13510100	3	13510200	6	13510300	9
