政务id	政务名字	政务图标	"品质    WHITE = 1; // 白色    GREEN = 2; // 绿色    BLUE = 3; // 蓝色    PURPLE = 4; // 紫色    ORANGE = 5; // 橙色    RED = 6; // 红色"	奖励	间隔
id	name	icon	quality	prize	duration
11201001	开垦荒地	图标1	GREEN	11201001	1m
11201002	维护治安	图标1	GREEN	11201002	2m
11201003	劝课农桑	图标1	GREEN	11201003	3m
11201004	修补城墙	图标1	GREEN	11201004	4m
11201005	安抚流民	图标1	GREEN	11201005	5m
11201006	赈济灾荒	图标2	BLUE	11201006	6m
11201007	追捕刑徒	图标2	BLUE	11201007	7m
11201008	行商贸易	图标2	BLUE	11201008	8m
11201009	开设学堂	图标2	BLUE	11201009	9m
11201010	整顿市场	图标2	BLUE	11201010	10m
11201011	打造兵器	图标3	PURPLE	11201011	11m
11201012	征服叛军	图标3	PURPLE	11201012	12m
11201013	山地开矿	图标3	PURPLE	11201013	13m
11201014	打击劫匪	图标3	PURPLE	11201014	14m
11201015	鼓舞士气	图标3	PURPLE	11201015	15m
11201016	兴兵讨逆	图标4	ORANGE	11201016	16m
11201017	广纳良言	图标4	ORANGE	11201017	17m
11201018	载歌载舞	图标4	ORANGE	11201018	18m
11201019	研究刑名	图标4	ORANGE	11201019	19m
11201020	校场练兵	图标4	ORANGE	11201020	20m
11201021	百家争鸣	图标5	RED	11201021	21m
11201022	祈福祭天	图标5	RED	11201022	22m
11201023	全军演武	图标5	RED	11201023	23m
11201024	传播礼教	图标5	RED	11201024	24m
11201025	巩固王权	图标5	RED	11201025	25m
					
11201099	打造兵器	图标3	PURPLE	11201011	3s
