君主等级	类型	X	Y	Z		
level	type	x	y	z		
1	1	2400				// 类型
2	1	2800				// 1、达到推荐战力值
3	1	2900				// 2、X个武将强化点数达到Y
4	1	3200				// 3、X个武将穿上Y件Z级装备
5	1	3400				// 4、X个武将穿上Y件Z星装备
6	1	4200				// 5、X个武将穿上Y个Z级宝石
7	1	4800				// 6、X个武将穿上Y级将魂
8	1	5400				// 7、君主升到X级
9	1	6000				// 8、士兵升到X阶
10	1	7800				
11	1	9600				
12	1	11400				
13	1	13200				
14	1	15000				
15	1	16800				
16	1	18600				
17	1	20400				
18	1	34800				
19	1	34800				
20	1	34800				
21	1	34800				
22	1	34800				
23	1	50400				
24	1	50400				
25	1	50400				
26	1	66600				
27	1	66600				
28	1	66600				
29	1	77900				
30	1	77900				
31	1	77900				
32	1	92600				
33	1	92600				
34	1	92600				
35	1	111000				
36	1	111000				
37	1	111000				
38	1	184000				
39	1	184000				
40	1	204000				
41	1	212000				
42	1	212000				
43	1	248000				
44	1	263000				
45	1	301000				
46	1	312000				
47	1	321000				
48	1	351000				
49	1	370000				
50	1	395000				
51	1	421000				
52	1	461000				
53	1	499000				
54	1	503000				
55	1	523000				
56	1	523000				
57	1	523000				
58	1	523000				
59	1	523000				
60	1	523000				
61	1	523000				
62	1	523000				
63	1	523000				
64	1	755000				
65	1	755000				
66	1	755000				
67	1	755000				
68	1	755000				
69	1	755000				
70	1	755000				
71	1	879000				
72	1	879000				
73	1	879000				
74	1	879000				
75	1	879000				
76	1	1160000				
77	1	1160000				
78	1	1160000				
79	1	1160000				
80	1	1260000				
81	1	1260000				
82	1	1260000				
83	1	1260000				
84	1	1460000				
85	1	1460000				
86	1	1580000				
87	1	1580000				
88	1	1770000				
89	1	1850000				
90	1	2070000				
91	1	2300000				
92	1	2300000				
93	1	2450000				
94	1	2450000				
95	1	2450000				
96	1	2450000				
97	1	2450000				
98	1	2450000				
99	1	2450000				
100	1	2450000				
40	9	6300				
41	9	6300				
42	9	6300				
43	9	6300				
44	9	8400				
45	9	8400				
46	9	8400				
47	9	10500				
48	9	14700				
49	9	18900				
50	9	18900				
51	9	18900				
52	9	18900				
53	9	18900				
54	9	18900				
55	9	18900				
56	9	18900				
57	9	18900				
58	9	18900				
59	9	18900				
60	9	18900				
61	9	18900				
62	9	18900				
63	9	18900				
64	9	18900				
65	9	18900				
66	9	18900				
67	9	18900				
68	9	18900				
69	9	18900				
70	9	18900				
71	9	18900				
72	9	18900				
73	9	18900				
74	9	18900				
75	9	18900				
76	9	18900				
77	9	18900				
78	9	18900				
79	9	18900				
80	9	18900				
81	9	18900				
82	9	18900				
83	9	18900				
84	9	18900				
85	9	18900				
86	9	18900				
87	9	18900				
88	9	18900				
89	9	18900				
90	9	18900				
91	9	18900				
92	9	18900				
93	9	18900				
94	9	18900				
95	9	18900				
96	9	18900				
97	9	18900				
98	9	18900				
99	9	18900				
100	9	18900				
1	11	5				
2	11	10				
3	11	15				
4	11	20				
5	11	25				
6	11	30				
7	11	35				
8	11	40				
9	11	45				
10	11	50				
11	11	55				
12	11	60				
13	11	65				
14	11	70				
15	11	80				
16	11	90				
17	11	100				
18	11	110				
19	11	110				
20	11	110				
21	11	110				
22	11	110				
23	11	160				
24	11	160				
25	11	160				
26	11	180				
27	11	180				
28	11	180				
29	11	200				
30	11	200				
31	11	200				
32	11	215				
33	11	215				
34	11	215				
35	11	235				
36	11	235				
37	11	235				
38	11	250				
39	11	250				
40	11	260				
