id	sm	金	粮食	木材	石料	金（安全）	粮食	木材	石料	君主经验	元宝	银两	玉璧	玉石矿	繁荣度	vip经验(前端展示用)	物品配置	物品id	物品个数	物品id	物品个数	物品id	物品个数	物品id	物品个数											装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数	装备id	装备个数		武将经验显示		将魂id，配置 captain_soul.txt中的id	奖励的将魂数量	将魂id，配置 captain_soul.txt中的id	奖励的将魂数量		宝石id	宝石数量	宝石id	宝石数量	宝石id	宝石数量				宝物id	宝物数量		展示排序，关联展示排序.txt的id	点券	联盟贡献		联盟条件奖励		体力
id		unsafe_gold	unsafe_food	unsafe_wood	unsafe_stone	safe_gold	safe_food	safe_wood	safe_stone	hero_exp	yuanbao	yinliang	jade	jade_ore	prosperity	vip_exp		goods_id	goods_count	goods_id	goods_count	goods_id	goods_count	goods_id	goods_count	goods_id	goods_count	goods_id	goods_count	goods_id	goods_count	goods_id	goods_count	goods_id	goods_count	equipment_id	equipment_count	equipment_id	equipment_count	equipment_id	equipment_count	equipment_id	equipment_count	equipment_id	equipment_count	equipment_id	equipment_count	equipment_id	equipment_count		captain_exp		captain_id	captain_count	captain_id	captain_count		gem_id	gem_count	gem_id	gem_count	gem_id	gem_count	gem_id	gem_count		baowu_id	baowu_count		sort	dianquan	Guild_Contribution_Coin		guild_condition_prize		sp
1432	空																																																																					1						
1433	首次改名奖励																																																																					1	50					
1434																																				10201001	1																																	1						
1440	问卷调查奖励																																																																					1	50					
1501	摇钱树奖励																	10010	1	52105	2	52205	2																																															1	50					
1502																		20003	1	52205	2																																																	1	50					
1503																		40002	5	52105	2	52205	2																																															1	100					
1504																		40001	50	52105	2																																																	1	50					
1505	答题奖励	1000			1000	1000			1000																																																													1						
1506		2500			2500	2500			2500									10009	1																																																			1						
1507		5000			5000	5000			5000									10009	2																																																			1						
1508	季节宝箱	2500			2500	2500			2500																																																																			
																																																																												
2001	联盟排行奖励	50000			50000	50000			50000									40002	5																																																			1						
2002		45000			45000	45000			45000									40002	4																																																			1						
2003		40000			40000	40000			40000									40002	4																																																			1						
2004		35000			35000	35000			35000									40002	3																																																			1						
2005		30000			30000	30000			30000									40002	3																																																			1						
2006		25000			25000	25000			25000									40002	3																																																			1						
2007		20000			20000	20000			20000									40002	2																																																			1						
2008		15000			15000	15000			15000									40002	2																																																			1						
2009		10000			10000	10000			10000									40002	2																																																			1						
2010		5000			5000	5000			5000									40002	2																																																			1						
																																																																												
2101	每日礼包	500			500	500			500																																																																			
																																																																												
2201	每日特惠										10					10		521081	1	522081	1	10010	1	40002	1																																																			
2202											30					30		521081	3	522081	3	10010	2	40002	3																																																			
2203											60					60		521081	4	522081	4	10010	6	40002	6																																																			
																																																																												
2301	首冲礼包																	80020	3	57003	4																																29	1																1	60					
																																																																												
2401	每日体力																																																																											50
2402																																																																												50
2403																																																																												50
																																																																												
2501	名城营建奖励																	52107	1	52207	1	10009	2																																																					
