id	名称	攻击	防御	体力	敏捷	统帅	伤害增加万分比	伤害减少万分比	易伤增加万分比	易伤减少万分比
id	name	attack	defense	strength	dexterity	soldier_capcity	damage_incre_per	damage_decre_per	been_hurt_incre_per	been_hurt_decre_per
1	武将-1	1	1	1	1	1	0	0	0	0
2	武将-2	110	90	1600	100	2000				
3	武将-3	120	80	1700	100	2000				
4	武将-4	130	70	1800	100	2000				
5	武将-5	140	60	1900	100	2000				
6	武将-6	150	50	2000	100	2000				
7	武将-7	160	40	2100	100	2000				
8	武将-8	170	30	2200	100	2000				
9	武将-9	180	20	2300	100	2000				
10	武将-10	190	10	2400	100	2000				
										
130	主城增益						1000			
140							1000			
150								1000		
160								1000		
										
180	繁荣度buff								2000	2000
190									5000	5000
200									10000	10000
										
201	集结军衔						200	200		
202							500	500		
203							800	800		
204							1000	1000		
205							1000	1000		
206							1000	1000		
207							1000	1000		
208							1000	1000		
										
301	驻守						5000	5000		
302	协防						5000	5000		
303	镜像						-1667	-1667		
										
1000							1000	1000		
1001							500	500		
1002							800	800		
1003							500	500		
										
10003001	统御术1					10				
10003002	统御术2					20				
10003003	统御术3					30				
10003004	统御术4					40				
10003005	统御术5					50				
10003006	统御术6					60				
10003007	统御术7					70				
10003008	统御术8					80				
10003009	统御术9					100				
10003010	统御术10					130				
10003011	统御术11					160				
10003012	统御术12					190				
10003013	统御术13					220				
10003014	统御术14					250				
10003015	统御术15					280				
10003016	统御术16					310				
10003017	统御术17					340				
10003018	统御术18					370				
10003019	统御术19					400				
10003020	统御术20					430				
10003021	统御术21					460				
10003022	统御术22					510				
10003023	统御术23					560				
10003024	统御术24					630				
10003025	统御术25					700				
										
10004001	城防术1	22								
10004002	城防术2	44								
10004003	城防术3	66								
10004004	城防术4	88								
10004005	城防术5	110								
10004006	城防术6	132								
10004007	城防术7	154								
10004008	城防术8	196								
10004009	城防术9	280								
10004010	城防术10	398								
10004011	城防术11	530								
10004012	城防术12	675								
10004013	城防术13	875								
10004014	城防术14	1075								
10004015	城防术15	1335								
10004016	城防术16	1595								
10004017	城防术17	1901								
10004018	城防术18	2271								
10004019	城防术19	2641								
10004020	城防术20	3011								
10004021	城防术21	3571								
10004022	城防术22	4321								
10004023	城防术23	5146								
10004024	城防术24	6046								
10004025	城防术25	7046								
										
400001	司马府1					5				
400002	司马府2					10				
400003	司马府3					15				
400004	司马府4					20				
400005	司马府5					25				
400006	司马府6					30				
400007	司马府7					35				
400008	司马府8					40				
400009	司马府9					45				
400010	司马府10					50				
400011	司马府11					55				
400012	司马府12					60				
400013	司马府13					65				
400014	司马府14					70				
400015	司马府15					75				
400016	司马府16					80				
400017	司马府17					85				
400018	司马府18					90				
400019	司马府19					95				
400020	司马府20					105				
400021	司马府21					115				
400022	司马府22					125				
400023	司马府23					135				
400024	司马府24					145				
400025	司马府25					155				
400026	司马府26					165				
400027	司马府27					175				
400028	司马府28					185				
400029	司马府29					195				
400030	司马府30					205				
400031	司马府31					215				
400032	司马府32					225				
400033	司马府33					235				
400034	司马府34					245				
400035	司马府35					255				
400036	司马府36					265				
400037	司马府37					275				
400038	司马府38					285				
400039	司马府39					295				
400040	司马府40					305				
400041	司马府41					315				
400042	司马府42					325				
400043	司马府43					335				
400044	司马府44					345				
400045	司马府45					360				
400046	司马府46					375				
400047	司马府47					390				
400048	司马府48					405				
400049	司马府49					420				
400050	司马府50					435				
410001	神射营1						100			
410002	神射营2						110			
410003	神射营3						120			
410004	神射营4						130			
410005	神射营5						140			
410006	神射营6						150			
410007	神射营7						160			
410008	神射营8						170			
410009	神射营9						180			
410010	神射营10						190			
410011	神射营11						200			
410012	神射营12						210			
410013	神射营13						220			
410014	神射营14						230			
410015	神射营15						240			
410016	神射营16						250			
410017	神射营17						260			
410018	神射营18						270			
410019	神射营19						280			
410020	神射营20						290			
410021	神射营21						300			
410022	神射营22						310			
410023	神射营23						320			
410024	神射营24						330			
410025	神射营25						340			
410026	神射营26						350			
410027	神射营27						360			
410028	神射营28						370			
410029	神射营29						380			
410030	神射营30						390			
410031	神射营31						400			
410032	神射营32						410			
410033	神射营33						420			
410034	神射营34						430			
410035	神射营35						440			
410036	神射营36						450			
410037	神射营37						460			
410038	神射营38						470			
410039	神射营39						480			
410040	神射营40						490			
410041	神射营41						500			
410042	神射营42						510			
410043	神射营43						520			
410044	神射营44						530			
410045	神射营45						540			
410046	神射营46						550			
410047	神射营47						560			
410048	神射营48						570			
410049	神射营49						580			
410050	神射营50						590			
420001	虎贲营1							100		
420002	虎贲营2							110		
420003	虎贲营3							120		
420004	虎贲营4							130		
420005	虎贲营5							140		
420006	虎贲营6							150		
420007	虎贲营7							160		
420008	虎贲营8							170		
420009	虎贲营9							180		
420010	虎贲营10							190		
420011	虎贲营11							200		
420012	虎贲营12							210		
420013	虎贲营13							220		
420014	虎贲营14							230		
420015	虎贲营15							240		
420016	虎贲营16							250		
420017	虎贲营17							260		
420018	虎贲营18							270		
420019	虎贲营19							280		
420020	虎贲营20							290		
420021	虎贲营21							300		
420022	虎贲营22							310		
420023	虎贲营23							320		
420024	虎贲营24							330		
420025	虎贲营25							340		
420026	虎贲营26							350		
420027	虎贲营27							360		
420028	虎贲营28							370		
420029	虎贲营29							380		
420030	虎贲营30							390		
420031	虎贲营31							400		
420032	虎贲营32							410		
420033	虎贲营33							420		
420034	虎贲营34							430		
420035	虎贲营35							440		
420036	虎贲营36							450		
420037	虎贲营37							460		
420038	虎贲营38							470		
420039	虎贲营39							480		
420040	虎贲营40							490		
420041	虎贲营41							500		
420042	虎贲营42							510		
420043	虎贲营43							520		
420044	虎贲营44							530		
420045	虎贲营45							540		
420046	虎贲营46							550		
420047	虎贲营47							560		
420048	虎贲营48							570		
420049	虎贲营49							580		
