id		金	粮食	木材	石料	金（安全）	粮食	木材	石料	君主经验，支持随机（5-10表示每次随机5到10）	武将经验，支持随机（5-10表示每次随机5到10）		掉落项，关联plunder_item表			概率，直接填数字，分母10000，填分母，使用/								掉落包，关联plunder_group表			概率，直接填数字，分母10000，填分母，使用/		
id		unsafe_gold	unsafe_food	unsafe_wood	unsafe_stone	safe_gold	safe_food	safe_wood	safe_stone	hero_exp	captain_exp		item	item_rate	item	item_rate	item	item_rate	item	item_rate	item	item_rate		group	group_rate	group	group_rate		
1											100																		
2											100																		
3											100																		
4											100																		
5											100																		
6											100																		
7											100																		
8											100																		
9											100																		
10											100																		
11											110																		
12											110																		
13											110																		
14											110																		
15											110																		
16											110																		
17											110																		
18											110																		
19											110																		
20											110													20	10000				
21											120																		
22											120																		
23											120																		
24											120																		
25											120																		
26											120																		
27											120																		
28											120																		
29											120																		
30											120																		
31											130																		
32											130																		
33											130																		
34											130																		
35											130																		
36											130																		
37											130																		
38											130																		
39											130																		
40											130													40	10000				
41											140																		
42											140																		
43											140																		
44											140																		
45											140													10	10000				
46											140																		
47											140																		
48											140																		
49											140																		
50											140													10	10000				
51											150																		
52											150																		
53											150																		
54											150																		
55											150													10	10000				
56											150																		
57											150																		
58											150																		
59											150																		
60											150													60	10000				
61											160																		
62											160																		
63											160																		
64											160																		
65											160													10	10000				
66											160																		
67											160																		
68											160																		
69											160																		
70											160													10	10000				
71											170																		
72											170																		
73											170																		
74											170																		
75											170													10	10000				
76											170																		
77											170																		
78											170																		
79											170																		
80											170													80	10000				
81											180																		
82											180																		
83											180																		
84											180																		
85											180													10	10000				
86											180																		
87											180																		
88											180																		
89											180																		
90											180													10	10000				
91											190																		
92											190																		
93											190																		
94											190																		
95											190													10	10000				
96											190																		
97											190																		
98											190																		
99											190																		
100											190													100	10000				
																													
101	钓鱼积分兑换																							101	10000				
																													
11001																								20	10000				
11002																								40	10000				
11003																								60	10000				
11004																								80	10000				
11005																								100	10000				
