id		掉落，可以不配置，不配置就是用后面的奖励	奖励，必需配置，前面配置了plunder，那么这里就是展示奖励	联盟奖励组，只要配了就会给
id		plunder	prize	guild_level_prize_group_id
10806001		10806001	10806001	
10806002		10806002	10806002	
10806003		10806003	10806003	
10806004		10806004	10806004	
10806005		10806005	10806005	
				
10806101		10806101	10806101	
10806102		10806102	10806102	
10806103		10806103	10806103	
10806104		10806104	10806104	
10806105		10806105	10806105	
10806106		10806106	10806106	
				
10807011			10807011	
10807012			10807012	
10807013			10807013	
10807014			10807014	
10807015			10807015	
10807016			10807016	
10807021			10807021	
10807022			10807022	
10807023			10807023	
10807024			10807024	
10807025			10807025	
10807026			10807026	
10807031			10807031	
10807032			10807032	
10807033			10807033	
10807034			10807034	
10807035			10807035	
10807036			10807036	
10807041			10807041	
10807042			10807042	
10807043			10807043	
10807044			10807044	
10807045			10807045	
10807046			10807046	
10807051			10807051	
10807052			10807052	
10807053			10807053	
10807054			10807054	
10807055			10807055	
10807056			10807056	
10807061			10807061	
10807062			10807062	
10807063			10807063	
10807064			10807064	
10807065			10807065	
10807066			10807066	
10807071			10807071	
10807072			10807072	
10807073			10807073	
10807074			10807074	
10807075			10807075	
10807076			10807076	
10807081			10807081	
10807082			10807082	
10807083			10807083	
10807084			10807084	
10807085			10807085	
10807086			10807086	
10807091			10807091	
10807092			10807092	
10807093			10807093	
10807094			10807094	
10807095			10807095	
10807096			10807096	
10807101			10807101	
10807102			10807102	
10807103			10807103	
10807104			10807104	
10807105			10807105	
10807106			10807106	
				
12701000			12701000	
12702000			12702000	
12703000			12703000	
12704000			12704000	
12705000			12705000	
12706000			12706000	
12707000			12707000	
12708000			12708000	
12709000			12709000	
				
11601009			11601009	
11601010			11601010	
11601004			11601004	
11601005			11601005	
11601006			11601006	
11601007			11601007	
11601002			11601002	
11601003			11601003	
11601001			11601001	
11601008			11601008	
				
11602001			11602001	
11602002			11602002	
11602003			11602003	
11602004			11602004	
11602005			11602005	
11602006			11602006	
11602007			11602007	
11602008			11602008	
11602009			11602009	
11602010			11602010	
11602011			11602011	
11602012			11602012	
11602013			11602013	
11602014			11602014	
11602015			11602015	
11602016			11602016	
11602017			11602017	
11602018			11602018	
11602019			11602019	
11602020			11602020	
11602021			11602021	
11602022			11602022	
11602023			11602023	
				
11603001			11603001	
11603002			11603002	
11603003			11603003	
11603004			11603004	
11603005			11603005	
11603006			11603006	
11603007			11603007	
11603008			11603008	
				
11604001			11604001	
11604002			11604002	
11604003			11604003	
11604004			11604004	
11604005			11604005	
11604006			11604006	
11604007			11604007	
11604008			11604008	
				
11601011			11601011	1
11601013			11601013	
11601020			11601020	
				
12810001		12810001	12810001	
12810002		12810002	12810002	
12810003		12810003	12810003	
12810004		12810004	12810004	
12810005		12810005	12810005	
12810006		12810006	12810006	
12810007		12810007	12810007	
12810008		12810008	12810008	
12810009		12810009	12810009	
12810010		12810010	12810010	
12810011		12810011	12810011	
12810012		12810012	12810012	
12810013		12810013	12810013	
12810014		12810014	12810014	
12810015		12810015	12810015	
12810016		12810016	12810016	
12810017		12810017	12810017	
12810018		12810018	12810018	
