id		掉落项，关联plunder_item表	权重																																								
id		item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight	item	weight
101	钓鱼积分兑换	11400003	1	11400022	1	11400007	1	11400009	1	11400010	1	11400019	1	11400020	1	11400023	1	11400025	1	11400027	1	11400029	1	11400030	1	11400032	1	11400033	1	11400034	1	11400035	1	11400036	1	11400038	1						
																																											
10		11001001	1	11002001	1	11003001	2	11004001	2																																		
20		10203001	2	10203002	2	10203003	2	10203004	1	10203005	1	10203006	1	10203007	1																												
40		10204001	2	10204002	2	10204003	2	10204004	1	10204005	1	10204006	1	10204007	1																												
60		10205001	2	10205002	2	10205003	2	10205004	1	10205005	1	10205006	1	10205007	1																												
80		10206001	2	10206002	2	10206003	2	10206004	1	10206005	1	10206006	1	10206007	1																												
100		10207001	2	10207002	2	10207003	2	10207004	1	10207005	1	10207006	1	10207007	1																												
																																											
1001		5210101	30	5210201	22	5210301	17	5210401	16	5210501	15	5220101	30	5220201	22	5220301	17	5220401	16	5220501	15																						
1002		1000901	1200	1000902	600	1000903	400	1000904	300	1000905	240	1001001	200	1001002	100																												
1003		11001001	1	11002001	1	11003001	1	11004001	1	2000201	2	4000110	2	4000201	2																												
																																											
10806001		5210501	91	5210401	135	5210301	130	5220501	91	5220401	135	5220301	130	1000901	180	1001001	20	2000101	80																								
10806002		5210401	169	5210501	100	5210601	65	5220401	169	5220501	100	5220601	65	1000901	150	1001001	50	2000101	104																								
10806003		5210501	192	5210601	100	5210701	20	5220501	192	5220601	100	5220701	20	1000901	150	1001001	50	4000101	60	2000101	80																						
10806004		5210501	143	5210601	100	5210701	50	5210801	20	5220501	143	5220601	100	5220701	50	5220801	20	1000901	120	1001001	80	4000101	60	2000101	80																		
10806005		5210501	143	5210601	100	5210701	50	5210801	20	5220501	143	5220601	100	5220701	100	5220801	40	1000901	120	1001001	160	4000101	60	2000101	80																		
																																											
10806102				2000205	6																																						
