id	物品	装备	宝石，配置gem.txt中的id	宝物	武将	数量		
id	goods	equipment	gem	baowu	captain	count		
11400003					3	1		
11400022					22	1		
11400007					7	1		
11400009					9	1		
11400010					10	1		
11400019					19	1		
11400020					20	1		
11400023					23	1		
11400025					25	1		
11400027					27	1		
11400029					29	1		
11400030					30	1		
11400032					32	1		
11400033					33	1		
11400034					34	1		
11400035					35	1		
11400036					36	1		
11400038					38	1		
								
10201001		10201001				1		
10201002		10201002				1		
10201003		10201003				1		
10201004		10201004				1		
10201005		10201005				1		
10201006		10201006				1		
10201007		10201007				1		
10202001		10202001				1		
10202002		10202002				1		
10202003		10202003				1		
10202004		10202004				1		
10202005		10202005				1		
10202006		10202006				1		
10202007		10202007				1		
10203001		10203001				1		
10203002		10203002				1		
10203003		10203003				1		
10203004		10203004				1		
10203005		10203005				1		
10203006		10203006				1		
10203007		10203007				1		
10204001		10204001				1		
10204002		10204002				1		
10204003		10204003				1		
10204004		10204004				1		
10204005		10204005				1		
10204006		10204006				1		
10204007		10204007				1		
10205001		10205001				1		
10205002		10205002				1		
10205003		10205003				1		
10205004		10205004				1		
10205005		10205005				1		
10205006		10205006				1		
10205007		10205007				1		
10206001		10206001				1		
10206002		10206002				1		
10206003		10206003				1		
10206004		10206004				1		
10206005		10206005				1		
10206006		10206006				1		
10206007		10206007				1		
10207001		10207001				1		
10207002		10207002				1		
10207003		10207003				1		
10207004		10207004				1		
10207005		10207005				1		
10207006		10207006				1		
10207007		10207007				1		
10205501		10205501				1		
10205502		10205502				1		
10205503		10205503				1		
10205504		10205504				1		
10205505		10205505				1		
10205506		10205506				1		
10205507		10205507				1		
								
55001	55001					1		玲珑阁铜币10000
55002	55002					1		玲珑阁铜币20000
55003	55003					1		玲珑阁铜币30000
55101	55101					1		玲珑阁石料10000
55102	55102					1		玲珑阁石料20000
55103	55103					1		玲珑阁石料30000
								
								
11001001			11001001			1		宝石掉落
11002001			11002001			1		宝石掉落
11003001			11003001			1		宝石掉落
11004001			11004001			1		宝石掉落
								
1000901	10009					1		加速道具
1000902	10009					2		加速道具
1000903	10009					3		加速道具
1000904	10009					4		加速道具
1000905	10009					5		加速道具
1000906	10009					6		
1000907	10009					7		
1000908	10009					8		
1000909	10009					9		
1000910	10009					10		
1000911	10009					11		
1000912	10009					12		
1000913	10009					13		
1000914	10009					14		
1000915	10009					15		
1000916	10009					16		
1000917	10009					17		
1000918	10009					18		
1000919	10009					19		
1000920	10009					20		
1000921	10009					21		
1000922	10009					22		
1000923	10009					23		
1000924	10009					24		
1000925	10009					25		
1000926	10009					26		
1000927	10009					27		
1000928	10009					28		
1000929	10009					29		
1000930	10009					30		
								
1001001	10010					1		加速道具
1001002	10010					2		加速道具
1001003	10010					3		加速道具
								
1001101	10011					1		加速道具
1001102	10011					2		加速道具
1001103	10011					3		加速道具
1001104	10011					4		加速道具
1001105	10011					5		加速道具
								
1001201	10012					1		加速道具
								
								
5210101	52101					1		金币
5210201	52102					1		
5210301	52103					1		
5210401	52104					1		
5210501	52105					1		
5210601	52106					1		
5210701	52107					1		
5210703	52107					3		
5210801	52108					1		
5210901	52109					1		
5211001	52110					1		
5211002	52110					2		
								
5220101	52201					1		石料
5220201	52202					1		
5220301	52203					1		
5220401	52204					1		
5220501	52205					1		
5220601	52206					1		
5220701	52207					1		
5220703	52207					3		
5220801	52208					1		
5220901	52209					1		
5221001	52210					1		
5221002	52210					2		
								
2000101	20001					1		
2000102	20001					2		
2000103	20001					3		
2000104	20001					4		
2000105	20001					5		
2000106	20001					6		
2000107	20001					7		
2000108	20001					8		
2000109	20001					9		
2000110	20001					10		
2000111	20001					11		
2000112	20001					12		
2000113	20001					13		
2000114	20001					14		
2000115	20001					15		
2000116	20001					16		
2000117	20001					17		
2000118	20001					18		
2000119	20001					19		
2000120	20001					20		
2000121	20001					21		
2000122	20001					22		
2000123	20001					23		
2000124	20001					24		
2000125	20001					25		
2000126	20001					26		
2000127	20001					27		
2000128	20001					28		
2000129	20001					29		
2000130	20001					30		
								
2000201	20002					1		
2000202	20002					2		玲珑阁强化符
2000203	20002					3		
2000204	20002					4		
2000205	20002					5		
2000301	20003					1		
2000302	20003					2		
2000303	20003					3		
2000401	20004					1		
2000402	20004					2		
								
								
4000101	40001					1		
4000105	40001					5		
4000110	40001					10		
4000115	40001					15		
4000120	40001					20		玲珑阁七星沙
4000125	40001					25		
4000130	40001					30		
4000135	40001					35		
4000140	40001					40		
4000145	40001					45		
4000150	40001					50		
4000155	40001					55		
4000160	40001					60		
4000165	40001					65		
4000170	40001					70		
4000175	40001					75		
4000180	40001					80		
4000185	40001					85		
4000190	40001					90		
4000195	40001					95		
4000200	40001					100		
								
4000201	40002					1		
4000202	40002					2		玲珑阁南海奇精
4000203	40002					3		
4000204	40002					4		
4000205	40002					5		
4000206	40002					6		
4000207	40002					7		
4000208	40002					8		
4000209	40002					9		
4000210	40002					10		
								
								
								
7000101	70001					1		天书1
7000102	70001					2		
7000103	70001					3		
7000104	70001					4		
7000201	70002					1		
7000202	70002					2		玲珑阁将魂天书
7000203	70002					3		
7000204	70002					4		
7000205	70002					5		
7000301	70003					1		
7000302	70003					2		
7000303	70003					3		
7000401	70004					1		
7000402	70004					2		
								
8000101	80001					1		
8000102	80001					2		玲珑阁突飞令
8000103	80001					3		
8000104	80001					4		
8000105	80001					5		
8000106	80001					6		
8000107	80001					7		
8000108	80001					8		
8000109	80001					9		
8000110	80001					10		
								
10202008		10202008				1		
								
1100100301			11001003			1		
1100200301			11002003			1		
1100300301			11003003			1		
1100400301			11004003			1		
1100100201			11001002			1		
1100200201			11002002			1		
1100300201			11003002			1		
1100400201			11004002			1		
								
								
10001001				10001		1		
10002001				10002		1		
10003001				10003		1		
10004001				10004		1		
10005001				10005		1		
10006001				10006		1		
10007001				10007		1		
10008001				10008		1		
10009001				10009		1		
10010001				10010		1		
10011001				10011		1		
10012001				10012		1		
10013001				10013		1		
10014001				10014		1		
10015001				10015		1		
10016001				10016		1		
10017001				10017		1		
10018001				10018		1		
20001001				20001		1		
20002001				20002		1		
20003001				20003		1		
20004001				20004		1		
20005001				20005		1		
20006001				20006		1		
20007001				20007		1		
20008001				20008		1		
20009001				20009		1		
20010001				20010		1		
20011001				20011		1		
20012001				20012		1		
20013001				20013		1		
20014001				20014		1		
20015001				20015		1		
20016001				20016		1		
20017001				20017		1		
20018001				20018		1		
30001001				30001		1		
30002001				30002		1		
30003001				30003		1		
30004001				30004		1		
30005001				30005		1		
30006001				30006		1		
30007001				30007		1		
30008001				30008		1		
30009001				30009		1		
30010001				30010		1		
30011001				30011		1		
30012001				30012		1		
30013001				30013		1		
30014001				30014		1		
30015001				30015		1		
30016001				30016		1		
30017001				30017		1		
30018001				30018		1		
								
90001001				90001		1		
90002001				90002		1		
90003001				90003		1		
90004001				90004		1		
90005001				90005		1		
90006001				90006		1		
								
								
3000202	30002					2		
9000205	90002					5		
								
8020101	80201					1		
8020102	80201					2		
8020103	80201					3		
8020104	80201					4		
								
8020201	80202					1		
8020301	80203					1		
8020401	80204					1		
8020402	80204					2		
								
								
52102001	52102					1		宝物资源
52102002	52102					2		
52102003	52102					3		
52102004	52102					4		
52102005	52102					5		
52102006	52102					6		
52102007	52102					7		
52102008	52102					8		
52102009	52102					9		
52102010	52102					10		
52102011	52102					11		
52102012	52102					12		
52102013	52102					13		
52102014	52102					14		
52102015	52102					15		
52102016	52102					16		
52102017	52102					17		
52102018	52102					18		
52102019	52102					19		
52102020	52102					20		
52102021	52102					21		
52102022	52102					22		
52102023	52102					23		
52102024	52102					24		
52102025	52102					25		
52102026	52102					26		
52102027	52102					27		
52102028	52102					28		
52102029	52102					29		
52102030	52102					30		
52102031	52102					31		
52102032	52102					32		
52102033	52102					33		
52102034	52102					34		
52102035	52102					35		
52102036	52102					36		
52102037	52102					37		
52102038	52102					38		
52102039	52102					39		
52102040	52102					40		
52102041	52102					41		
52102042	52102					42		
52102043	52102					43		
52102044	52102					44		
52102045	52102					45		
52102046	52102					46		
52102047	52102					47		
52102048	52102					48		
52102049	52102					49		
52102050	52102					50		
52102051	52102					51		
52102052	52102					52		
52102053	52102					53		
52102054	52102					54		
52102055	52102					55		
52102056	52102					56		
52102057	52102					57		
52102058	52102					58		
52102059	52102					59		
52102060	52102					60		
52102061	52102					61		
52102062	52102					62		
52102063	52102					63		
52102064	52102					64		
52102065	52102					65		
52102066	52102					66		
52102067	52102					67		
52102068	52102					68		
52102069	52102					69		
52102070	52102					70		
52102071	52102					71		
52102072	52102					72		
52102073	52102					73		
52102074	52102					74		
52102075	52102					75		
52102076	52102					76		
52102077	52102					77		
52102078	52102					78		
52102079	52102					79		
52102080	52102					80		
52102081	52102					81		
52102082	52102					82		
52102083	52102					83		
52102084	52102					84		
52102085	52102					85		
52102086	52102					86		
52102087	52102					87		
52102088	52102					88		
52102089	52102					89		
52102090	52102					90		
52102091	52102					91		
52102092	52102					92		
52102093	52102					93		
52102094	52102					94		
52102095	52102					95		
52102096	52102					96		
52102097	52102					97		
52102098	52102					98		
52102099	52102					99		
52102100	52102					100		
52102101	52102					101		
52102102	52102					102		
52102103	52102					103		
52102104	52102					104		
52102105	52102					105		
52102106	52102					106		
52102107	52102					107		
52102108	52102					108		
52102109	52102					109		
52102110	52102					110		
52102111	52102					111		
52102112	52102					112		
52102113	52102					113		
52102114	52102					114		
52102115	52102					115		
52102116	52102					116		
52102117	52102					117		
52102118	52102					118		
52102119	52102					119		
52102120	52102					120		
52102121	52102					121		
52102122	52102					122		
52102123	52102					123		
52102124	52102					124		
52102125	52102					125		
52102126	52102					126		
52102127	52102					127		
52102128	52102					128		
52102129	52102					129		
52102130	52102					130		
52102131	52102					131		
52102132	52102					132		
52102133	52102					133		
52102134	52102					134		
52102135	52102					135		
52102136	52102					136		
52102137	52102					137		
52102138	52102					138		
52102139	52102					139		
52102140	52102					140		
52102141	52102					141		
52102142	52102					142		
52102143	52102					143		
52102144	52102					144		
52102145	52102					145		
52102146	52102					146		
52102147	52102					147		
52102148	52102					148		
52102149	52102					149		
52102150	52102					150		
52102151	52102					151		
52102152	52102					152		
52102153	52102					153		
52102154	52102					154		
52102155	52102					155		
52102156	52102					156		
52102157	52102					157		
52102158	52102					158		
52102159	52102					159		
52102160	52102					160		
52102161	52102					161		
52102162	52102					162		
52102163	52102					163		
52102164	52102					164		
52102165	52102					165		
52102166	52102					166		
52102167	52102					167		
52102168	52102					168		
52102169	52102					169		
52102170	52102					170		
52102171	52102					171		
52102172	52102					172		
52102173	52102					173		
52102174	52102					174		
52102175	52102					175		
52102176	52102					176		
52102177	52102					177		
52102178	52102					178		
52102179	52102					179		
52102180	52102					180		
52102181	52102					181		
52102182	52102					182		
52102183	52102					183		
52102184	52102					184		
52102185	52102					185		
52102186	52102					186		
52102187	52102					187		
52102188	52102					188		
52102189	52102					189		
52102190	52102					190		
52102191	52102					191		
52102192	52102					192		
52102193	52102					193		
52102194	52102					194		
52102195	52102					195		
52102196	52102					196		
52102197	52102					197		
52102198	52102					198		
52102199	52102					199		
52102200	52102					200		
								
52202001	52202					1		
52202002	52202					2		
52202003	52202					3		
52202004	52202					4		
52202005	52202					5		
52202006	52202					6		
52202007	52202					7		
52202008	52202					8		
52202009	52202					9		
52202010	52202					10		
52202011	52202					11		
52202012	52202					12		
52202013	52202					13		
52202014	52202					14		
52202015	52202					15		
52202016	52202					16		
52202017	52202					17		
52202018	52202					18		
52202019	52202					19		
52202020	52202					20		
52202021	52202					21		
52202022	52202					22		
52202023	52202					23		
52202024	52202					24		
52202025	52202					25		
52202026	52202					26		
52202027	52202					27		
52202028	52202					28		
52202029	52202					29		
52202030	52202					30		
52202031	52202					31		
52202032	52202					32		
52202033	52202					33		
52202034	52202					34		
52202035	52202					35		
52202036	52202					36		
52202037	52202					37		
52202038	52202					38		
52202039	52202					39		
52202040	52202					40		
52202041	52202					41		
52202042	52202					42		
52202043	52202					43		
52202044	52202					44		
52202045	52202					45		
52202046	52202					46		
52202047	52202					47		
52202048	52202					48		
52202049	52202					49		
52202050	52202					50		
52202051	52202					51		
52202052	52202					52		
52202053	52202					53		
52202054	52202					54		
52202055	52202					55		
52202056	52202					56		
52202057	52202					57		
52202058	52202					58		
52202059	52202					59		
52202060	52202					60		
52202061	52202					61		
52202062	52202					62		
52202063	52202					63		
52202064	52202					64		
52202065	52202					65		
52202066	52202					66		
52202067	52202					67		
52202068	52202					68		
52202069	52202					69		
52202070	52202					70		
52202071	52202					71		
52202072	52202					72		
52202073	52202					73		
52202074	52202					74		
52202075	52202					75		
52202076	52202					76		
52202077	52202					77		
52202078	52202					78		
52202079	52202					79		
52202080	52202					80		
52202081	52202					81		
52202082	52202					82		
52202083	52202					83		
52202084	52202					84		
52202085	52202					85		
52202086	52202					86		
52202087	52202					87		
52202088	52202					88		
52202089	52202					89		
52202090	52202					90		
52202091	52202					91		
52202092	52202					92		
52202093	52202					93		
52202094	52202					94		
52202095	52202					95		
52202096	52202					96		
52202097	52202					97		
52202098	52202					98		
52202099	52202					99		
52202100	52202					100		
52202101	52202					101		
52202102	52202					102		
52202103	52202					103		
52202104	52202					104		
52202105	52202					105		
52202106	52202					106		
52202107	52202					107		
52202108	52202					108		
52202109	52202					109		
52202110	52202					110		
52202111	52202					111		
52202112	52202					112		
52202113	52202					113		
52202114	52202					114		
52202115	52202					115		
52202116	52202					116		
52202117	52202					117		
52202118	52202					118		
52202119	52202					119		
52202120	52202					120		
52202121	52202					121		
52202122	52202					122		
52202123	52202					123		
52202124	52202					124		
52202125	52202					125		
52202126	52202					126		
52202127	52202					127		
52202128	52202					128		
52202129	52202					129		
52202130	52202					130		
52202131	52202					131		
52202132	52202					132		
52202133	52202					133		
52202134	52202					134		
52202135	52202					135		
52202136	52202					136		
52202137	52202					137		
52202138	52202					138		
52202139	52202					139		
52202140	52202					140		
52202141	52202					141		
52202142	52202					142		
52202143	52202					143		
52202144	52202					144		
52202145	52202					145		
52202146	52202					146		
52202147	52202					147		
52202148	52202					148		
52202149	52202					149		
52202150	52202					150		
52202151	52202					151		
52202152	52202					152		
52202153	52202					153		
52202154	52202					154		
52202155	52202					155		
52202156	52202					156		
52202157	52202					157		
52202158	52202					158		
52202159	52202					159		
52202160	52202					160		
52202161	52202					161		
52202162	52202					162		
52202163	52202					163		
52202164	52202					164		
