id		金	粮食	木材	石料	元宝	银两	点券	联盟贡献币	玉璧	玉石矿	物品配置	物品id	物品个数	物品id	物品个数	物品id	物品个数	物品id	物品个数		消耗的宝石id	消耗的宝石数量	消耗的宝石id	消耗的宝石数量	
id		gold	food	wood	stone	yuanbao	yinliang	dianquan	guild_contribution_coin	jade	jade_ore		goods_id	goods_count	goods_id	goods_count	goods_id	goods_count	goods_id	goods_count		gem_id	gem_count	gem_id	gem_count	
1	空																									
2	无					100																				
3	作废							1																		秒cd
6									100																	
7	五折钓鱼					96																				
8	单次钓鱼					188																				
9	十连钓鱼					1688																				
10	清_望CD					10																				
11	武将改名							10																		
12	创建联盟							50																		
13	联盟改名							100																		
14	空2																									
15	武将重生							50																		
20	刷新云游商人							50																		
21								50																		
22								100																		
23								150																		
24								200																		
30								300																		
201	成长基金					300																				
																										
301	红包消耗					60																				
302						300																				
303						680																				
304						1980																				
305						3280																				
306						6480																				
																										
31	外城改建							50																		
32								50																		
33								50																		
34								50																		
35								50																		
36								50																		
37								50																		
38								50																		
39								50																		
40								50																		
41								50																		
42								50																		
43								50																		
44								50																		
45								50																		
46								50																		
47								50																		
48								50																		
49								50																		
50								50																		
51								50																		
52								50																		
53								50																		
54								50																		
55								50																		
56								50																		
57								50																		
58								50																		
59								50																		
60								50																		
61								50																		
62								50																		
63								50																		
64								50																		
65								50																		
66								50																		
67								50																		
68								50																		
69								50																		
70								50																		
71								50																		
72								50																		
73								50																		
74								50																		
75								50																		
76								50																		
77								50																		
78								50																		
79								50																		
80								50																		
																										
101	铁匠铺刷新							100																		
102								150																		
103								200																		
104								300																		
105								400																		
106								600																		
107								800																		
108								1000																		
109								1200																		
110								1500																		
111								2000																		
112								3000																		
																										
2401								25																		
2402								25																		
2403								25																		
																										
																										
																										
																										
20001	官府1																									
20002	官府2	121			182																					
20003	官府3	146			219																					
20004	官府4	210			315																					
20005	官府5	194			291																					
20006	官府6	211			317																					
20007	官府7	238			357																					
20008	官府8	847			1271																					
20009	官府9	2002			3003																					
20010	官府10	3098			4647																					
20011	官府11	4599			6899																					
20012	官府12	7465			11000																					
20013	官府13	11000			16000																					
20014	官府14	15000			22000																					
20015	官府15	19000			29000																					
20016	官府16	30000			45000																					
20017	官府17	37000			56000																					
20018	官府18	43000			64000																					
20019	官府19	53000			79000																					
20020	官府20	60000			90000																					
20021	官府21	73000			110000																					
20022	官府22	84000			126000																					
20023	官府23	100000			150000																					
20024	官府24	140000			209000																					
20025	官府25	145000			217000																					
20026	官府26	169000			254000																					
20027	官府27	205000			308000																					
20028	官府28	303000			454000																					
20029	官府29	453000			679000																					
20030	官府30	586000			879000																					
20031	官府31	880000			1320000																					
20032	官府32	1647000			2470000																					
20033	官府33	2194000			3291000																					
20034	官府34	2466000			3699000																					
20035	官府35	2542000			3813000																					
20036	官府36	3386000			5079000																					
20037	官府37	3770000			5655000																					
20038	官府38	4057000			6085000																					
20039	官府39	5238000			7858000																					
20040	官府40	5124000			7686000																					
20041	官府41	5812000			8719000																					
20042	官府42	7326000			10989000																					
20043	官府43	8142000			12212000																					
20044	官府44	8764000			13147000																					
20045	官府45	10000000			15568000																					
20046	官府46	11000000			16570000																					
20047	官府47	12000000			17960000																					
20048	官府48	14000000			21614000																					
20049	官府49	15000000			23232000																					
20050	官府50	15000000			22799000																					
																										
30001	仓库1																									
30002	仓库2	2			3																					
30003	仓库3	2			4																					
30004	仓库4	4			6																					
30005	仓库5	3			5																					
30006	仓库6	4			6																					
30007	仓库7	4			6																					
30008	仓库8	16			24																					
30009	仓库9	38			57																					
30010	仓库10	59			89																					
30011	仓库11	88			132																					
30012	仓库12	143			215																					
30013	仓库13	206			310																					
30014	仓库14	281			422																					
30015	仓库15	371			557																					
30016	仓库16	580			870																					
30017	仓库17	717			1076																					
30018	仓库18	821			1232																					
30019	仓库19	1018			1527																					
30020	仓库20	1156			1734																					
30021	仓库21	1411			2116																					
30022	仓库22	1609			2414																					
30023	仓库23	1922			2883																					
30024	仓库24	2683			4025																					
30025	仓库25	2785			4178																					
30026	仓库26	3253			4880																					
30027	仓库27	3944			5916																					
30028	仓库28	5818			8728																					
30029	仓库29	8710			13000																					
30030	仓库30	11000			17000																					
30031	仓库31	17000			25000																					
30032	仓库32	32000			48000																					
30033	仓库33	42000			63000																					
30034	仓库34	47000			71000																					
30035	仓库35	49000			73000																					
30036	仓库36	65000			98000																					
30037	仓库37	72000			109000																					
30038	仓库38	78000			117000																					
30039	仓库39	101000			151000																					
30040	仓库40	99000			148000																					
30041	仓库41	112000			168000																					
30042	仓库42	141000			211000																					
30043	仓库43	157000			235000																					
30044	仓库44	169000			253000																					
30045	仓库45	200000			299000																					
30046	仓库46	212000			319000																					
30047	仓库47	230000			345000																					
30048	仓库48	277000			416000																					
30049	仓库49	298000			447000																					
30050	仓库50	292000			438000																					
																										
40001	酒馆1																									
40002	酒馆2	35			52																					
40003	酒馆3	42			63																					
40004	酒馆4	60			90																					
40005	酒馆5	56			84																					
40006	酒馆6	61			91																					
40007	酒馆7	68			103																					
40008	酒馆8	244			366																					
40009	酒馆9	577			866																					
40010	酒馆10	893			1340																					
40011	酒馆11	1326			1990																					
40012	酒馆12	2153			3230																					
40013	酒馆13	3104			4656																					
40014	酒馆14	4224			6336																					
40015	酒馆15	5577			8365																					
40016	酒馆16	8701			13000																					
40017	酒馆17	11000			16000																					
40018	酒馆18	12000			18000																					
40019	酒馆19	15000			23000																					
40020	酒馆20	17000			26000																					
40021	酒馆21	21000			32000																					
40022	酒馆22	24000			36000																					
40023	酒馆23	29000			43000																					
40024	酒馆24	40000			60000																					
40025	酒馆25	42000			63000																					
40026	酒馆26	49000			73000																					
40027	酒馆27	59000			89000																					
40028	酒馆28	87000			131000																					
40029	酒馆29	131000			196000																					
40030	酒馆30	169000			254000																					
40031	酒馆31	254000			381000																					
40032	酒馆32	475000			713000																					
40033	酒馆33	633000			949000																					
40034	酒馆34	711000			1067000																					
40035	酒馆35	733000			1100000																					
40036	酒馆36	977000			1465000																					
40037	酒馆37	1087000			1631000																					
40038	酒馆38	1170000			1755000																					
40039	酒馆39	1511000			2267000																					
40040	酒馆40	1478000			2217000																					
40041	酒馆41	1677000			2515000																					
40042	酒馆42	2113000			3170000																					
40043	酒馆43	2349000			3523000																					
40044	酒馆44	2528000			3792000																					
40045	酒馆45	2994000			4491000																					
40046	酒馆46	3187000			4780000																					
40047	酒馆47	3454000			5181000																					
40048	酒馆48	4156000			6235000																					
40049	酒馆49	4468000			6701000																					
40050	酒馆50	4384000			6577000																					
																										
50001	军营1																									
50002	军营2	42			63																					
