id		配置 cost.txt 中的id	增加建筑队的时间	增加科研队的时间	减少空闲士兵数量	出征次数
id		cost	building_worker_time	tech_worker_time	soldier	invade_times
1	城内事件	1	1m			
2		1			10	
3		1			20	
4		1		1m		
1432		1				
						
13401001	君主策略	1			187	
13401002		1			375	
13401003		1			562	
13401004		1			750	
13401005		1			937	
13401006		1			1125	
13401007		1			1312	
13401008		1			1500	
13401009		1			1687	
13401010		1			1875	
13401011		1			2062	
13401012		1			2250	
13401013		1			2437	
13401014		1			2625	
13401015		1			2812	
13401016		1			3000	
13401017		1			3187	
13401018		1			3375	
13401019		1			3562	
13401020		1			3750	
13401021		1			3937	
13401022		1			4125	
13401023		1			4312	
13401024		1			4500	
13401025		1			4687	
13401026		1			4875	
13401027		1			5062	
13401028		1			5250	
13401029		1			5437	
13401030		1			5625	
13401031		1			5812	
13401032		1			6000	
13401033		1			6187	
13401034		1			6375	
13401035		1			6562	
13401036		1			6750	
13401037		1			6937	
13401038		1			7125	
13401039		1			7312	
13401040		1			7500	
13401041		1			7687	
13401042		1			7875	
13401043		1			8062	
13401044		1			8250	
13401045		1			8437	
13401046		1			8750	
13401047		1			9062	
13401048		1			9375	
13401049		1			9687	
13401050		1			10000	
13401051		1			10312	
13401052		1			10625	
13401053		1			10937	
13401054		1			11250	
13401055		1			11562	
13401056		1			11875	
13401057		1			12187	
13401058		1			12500	
13401059		1			12812	
13401060		1			13125	
13401061		1			13437	
13401062		1			13750	
13401063		1			14062	
13401064		1			14375	
13401065		1			14687	
13401066		1			15000	
13401067		1			15312	
13401068		1			15625	
13401069		1			15937	
13401070		1			16250	
13401071		1			16875	
13401072		1			17500	
13401073		1			18125	
13401074		1			18750	
13401075		1			19375	
13401076		1			20000	
13401077		1			20625	
13401078		1			21250	
13401079		1			21875	
13401080		1			22500	
13401081		1			23125	
13401082		1			23750	
13401083		1			24375	
13401084		1			25000	
13401085		1			25625	
13401086		1			26250	
13401087		1			26875	
13401088		1			27500	
13401089		1			28125	
13401090		1			28750	
13401091		1			29375	
13401092		1			30000	
13401093		1			30625	
13401094		1			31250	
13401095		1			31875	
13401096		1			32500	
13401097		1			33125	
13401098		1			33750	
13401099		1			34375	
13401100		1			35000	
13402001		1			187	
13402002		1			375	
13402003		1			562	
13402004		1			750	
13402005		1			937	
13402006		1			1125	
13402007		1			1312	
13402008		1			1500	
13402009		1			1687	
13402010		1			1875	
13402011		1			2062	
13402012		1			2250	
13402013		1			2437	
13402014		1			2625	
13402015		1			2812	
13402016		1			3000	
13402017		1			3187	
13402018		1			3375	
13402019		1			3562	
13402020		1			3750	
13402021		1			3937	
13402022		1			4125	
13402023		1			4312	
13402024		1			4500	
13402025		1			4687	
13402026		1			4875	
13402027		1			5062	
13402028		1			5250	
13402029		1			5437	
13402030		1			5625	
13402031		1			5812	
13402032		1			6000	
13402033		1			6187	
13402034		1			6375	
13402035		1			6562	
13402036		1			6750	
13402037		1			6937	
13402038		1			7125	
13402039		1			7312	
13402040		1			7500	
13402041		1			7687	
13402042		1			7875	
13402043		1			8062	
13402044		1			8250	
13402045		1			8437	
13402046		1			8750	
13402047		1			9062	
13402048		1			9375	
13402049		1			9687	
13402050		1			10000	
13402051		1			10312	
13402052		1			10625	
13402053		1			10937	
13402054		1			11250	
13402055		1			11562	
13402056		1			11875	
13402057		1			12187	
13402058		1			12500	
13402059		1			12812	
13402060		1			13125	
13402061		1			13437	
13402062		1			13750	
13402063		1			14062	
13402064		1			14375	
13402065		1			14687	
13402066		1			15000	
13402067		1			15312	
13402068		1			15625	
13402069		1			15937	
13402070		1			16250	
13402071		1			16875	
13402072		1			17500	
13402073		1			18125	
13402074		1			18750	
13402075		1			19375	
13402076		1			20000	
13402077		1			20625	
13402078		1			21250	
13402079		1			21875	
13402080		1			22500	
13402081		1			23125	
13402082		1			23750	
13402083		1			24375	
13402084		1			25000	
13402085		1			25625	
13402086		1			26250	
13402087		1			26875	
13402088		1			27500	
13402089		1			28125	
13402090		1			28750	
13402091		1			29375	
13402092		1			30000	
13402093		1			30625	
13402094		1			31250	
13402095		1			31875	
13402096		1			32500	
13402097		1			33125	
13402098		1			33750	
13402099		1			34375	
13402100		1			35000	
13403001		1			75	
13403002		1			150	
13403003		1			225	
13403004		1			300	
13403005		1			375	
13403006		1			450	
13403007		1			525	
13403008		1			600	
13403009		1			675	
13403010		1			750	
13403011		1			825	
13403012		1			900	
13403013		1			975	
13403014		1			1050	
13403015		1			1125	
13403016		1			1200	
13403017		1			1275	
13403018		1			1350	
13403019		1			1425	
13403020		1			1500	
13403021		1			1575	
13403022		1			1650	
13403023		1			1725	
13403024		1			1800	
13403025		1			1875	
13403026		1			1950	
13403027		1			2025	
13403028		1			2100	
13403029		1			2175	
13403030		1			2250	
13403031		1			2325	
13403032		1			2400	
13403033		1			2475	
13403034		1			2550	
13403035		1			2625	
13403036		1			2700	
13403037		1			2775	
13403038		1			2850	
13403039		1			2925	
13403040		1			3000	
13403041		1			3075	
13403042		1			3150	
13403043		1			3225	
13403044		1			3300	
13403045		1			3375	
13403046		1			3500	
13403047		1			3625	
13403048		1			3750	
13403049		1			3875	
13403050		1			4000	
13403051		1			4125	
13403052		1			4250	
13403053		1			4375	
13403054		1			4500	
13403055		1			4625	
13403056		1			4750	
13403057		1			4875	
13403058		1			5000	
13403059		1			5125	
13403060		1			5250	
13403061		1			5375	
13403062		1			5500	
13403063		1			5625	
13403064		1			5750	
13403065		1			5875	
13403066		1			6000	
13403067		1			6125	
13403068		1			6250	
13403069		1			6375	
13403070		1			6500	
13403071		1			6750	
13403072		1			7000	
13403073		1			7250	
13403074		1			7500	
13403075		1			7750	
13403076		1			8000	
13403077		1			8250	
13403078		1			8500	
13403079		1			8750	
13403080		1			9000	
13403081		1			9250	
13403082		1			9500	
13403083		1			9750	
13403084		1			10000	
13403085		1			10250	
13403086		1			10500	
13403087		1			10750	
13403088		1			11000	
13403089		1			11250	
13403090		1			11500	
13403091		1			11750	
13403092		1			12000	
13403093		1			12250	
13403094		1			12500	
13403095		1			12750	
13403096		1			13000	
13403097		1			13250	
13403098		1			13500	
13403099		1			13750	
13403100		1			14000	
13404001		1			187	
13404002		1			375	
13404003		1			562	
13404004		1			750	
13404005		1			937	
13404006		1			1125	
13404007		1			1312	
13404008		1			1500	
13404009		1			1687	
13404010		1			1875	
13404011		1			2062	
13404012		1			2250	
13404013		1			2437	
13404014		1			2625	
13404015		1			2812	
13404016		1			3000	
13404017		1			3187	
13404018		1			3375	
13404019		1			3562	
13404020		1			3750	
13404021		1			3937	
13404022		1			4125	
13404023		1			4312	
13404024		1			4500	
13404025		1			4687	
13404026		1			4875	
13404027		1			5062	
13404028		1			5250	
13404029		1			5437	
13404030		1			5625	
13404031		1			5812	
13404032		1			6000	
13404033		1			6187	
13404034		1			6375	
13404035		1			6562	
13404036		1			6750	
13404037		1			6937	
13404038		1			7125	
13404039		1			7312	
13404040		1			7500	
13404041		1			7687	
13404042		1			7875	
13404043		1			8062	
13404044		1			8250	
13404045		1			8437	
13404046		1			8750	
13404047		1			9062	
13404048		1			9375	
13404049		1			9687	
13404050		1			10000	
13404051		1			10312	
13404052		1			10625	
13404053		1			10937	
13404054		1			11250	
13404055		1			11562	
13404056		1			11875	
13404057		1			12187	
13404058		1			12500	
13404059		1			12812	
13404060		1			13125	
13404061		1			13437	
13404062		1			13750	
13404063		1			14062	
13404064		1			14375	
13404065		1			14687	
13404066		1			15000	
13404067		1			15312	
13404068		1			15625	
13404069		1			15937	
13404070		1			16250	
13404071		1			16875	
13404072		1			17500	
13404073		1			18125	
13404074		1			18750	
13404075		1			19375	
13404076		1			20000	
13404077		1			20625	
13404078		1			21250	
13404079		1			21875	
13404080		1			22500	
13404081		1			23125	
13404082		1			23750	
13404083		1			24375	
13404084		1			25000	
13404085		1			25625	
13404086		1			26250	
13404087		1			26875	
13404088		1			27500	
13404089		1			28125	
13404090		1			28750	
13404091		1			29375	
13404092		1			30000	
13404093		1			30625	
13404094		1			31250	
13404095		1			31875	
13404096		1			32500	
13404097		1			33125	
13404098		1			33750	
13404099		1			34375	
13404100		1			35000	
						
13405001		1				3
13405002		1				3
13405003		1				3
13405004		1				3
13405005		1				3
13405006		1				3
13405007		1				3
13405008		1				3
13405009		1				3
13405010		1				3
13405011		1				3
13405012		1				3
13405013		1				3
13405014		1				3
13405015		1				3
13405016		1				3
13405017		1				3
13405018		1				3
13405019		1				3
13405020		1				3
13405021		1				3
13405022		1				3
13405023		1				3
13405024		1				3
13405025		1				3
13405026		1				3
13405027		1				3
13405028		1				3
13405029		1				3
13405030		1				3
13405031		1				3
13405032		1				3
13405033		1				3
13405034		1				3
13405035		1				3
13405036		1				3
13405037		1				3
13405038		1				3
13405039		1				3
13405040		1				3
13405041		1				3
13405042		1				3
13405043		1				3
13405044		1				3
13405045		1				3
13405046		1				3
13405047		1				3
13405048		1				3
13405049		1				3
13405050		1				3
13405051		1				3
13405052		1				3
13405053		1				3
13405054		1				3
13405055		1				3
13405056		1				3
13405057		1				3
13405058		1				3
13405059		1				3
13405060		1				3
13405061		1				3
13405062		1				3
13405063		1				3
13405064		1				3
13405065		1				3
13405066		1				3
13405067		1				3
13405068		1				3
13405069		1				3
13405070		1				3
13405071		1				3
13405072		1				3
13405073		1				3
13405074		1				3
13405075		1				3
13405076		1				3
13405077		1				3
13405078		1				3
13405079		1				3
13405080		1				3
13405081		1				3
13405082		1				3
13405083		1				3
13405084		1				3
13405085		1				3
13405086		1				3
13405087		1				3
13405088		1				3
13405089		1				3
13405090		1				3
13405091		1				3
13405092		1				3
13405093		1				3
13405094		1				3
13405095		1				3
13405096		1				3
13405097		1				3
13405098		1				3
13405099		1				3
13405100		1				3
