Id	名字	图标		1男0女	职业	普攻	技能					初始怒气					
id	name	icon	spine	male	race	base_spell	spell	spell	spell	spell	spell	init_rage					
1	武将1	wujiang1	103	1	BU	13110001	13100203							BU	13110001		wujiang1
2	武将6	wujiang6	115	1	BU	13110001	13100203							QI	13110002		wujiang6
3	武将16	wujiang16	113	0	BU	13110001	13100203							CHE	13110003		wujiang16
4	武将21	wujiang21	109	1	BU	13110001	13100203							GONG	13110004		wujiang21
5	武将26	wujiang26	118	1	BU	13110001	13100203							XIE	13110005		wujiang26
6	武将3	wujiang3	122	1	QI	13110002	13100205										wujiang3
7	武将8	wujiang8	104	0	QI	13110002	13100205							BU	13100203		wujiang8
8	武将18	wujiang18	101	0	QI	13110002	13100205							QI	13100205		wujiang18
9	武将23	wujiang23	112	0	QI	13110002	13100205							CHE	13100207		wujiang23
10	武将28	wujiang28	126	0	QI	13110002	13100205							GONG	13100102		wujiang28
11	武将2	wujiang2	123	1	GONG	13110004	13100102							XIE	13100101		wujiang2
12	武将7	wujiang7	121	1	GONG	13110004	13100102										wujiang7
13	武将17	wujiang17	108	0	GONG	13110004	13100102										wujiang17
14	武将22	wujiang22	105	1	GONG	13110004	13100102										wujiang22
15	武将27	wujiang27	102	1	GONG	13110004	13100102										wujiang27
16	武将4	wujiang4	110	1	CHE	13110003	13100207										wujiang4
17	武将9	wujiang9	114	0	CHE	13110003	13100207										wujiang9
18	武将19	wujiang19	107	0	CHE	13110003	13100207										wujiang19
19	武将24	wujiang24	120	1	CHE	13110003	13100207										wujiang24
20	武将29	wujiang29	119	0	CHE	13110003	13100207										wujiang29
21	武将5	wujiang5	128	1	XIE	13110005	13100101										wujiang5
22	武将10	wujiang10	111	0	XIE	13110005	13100101										wujiang10
23	武将20	wujiang20	106	0	XIE	13110005	13100101										wujiang20
24	武将25	wujiang25	127	1	XIE	13110005	13100101										wujiang25
																	
31	匈奴先锋	wujiang11	117	1	BU	13110001	13100203										wujiang11
32	匈奴先锋	wujiang12	124	1	GONG	13110004	13100102										wujiang12
33	匈奴先锋	wujiang13	116	1	QI	13110002	13100205										wujiang13
34	匈奴先锋	wujiang14	129	1	CHE	13110003	13100207										wujiang14
35	匈奴先锋	wujiang15	125	1	XIE	13110005	13100101										wujiang15
																	
41	小七	小七	98	1	gong	13110004	13111039	13100102				400					
42	蔺相如	蔺相如	37	1	bu	13110001	13111037	13100203				100					
43	白起	白起	32	1	qi	13110002	13111032	13100205				302					
44	王翦	王翦	33	1	qi	13110002	13111033	13100205				350					
45	韩非	韩非	30	1	xie	13110005	13111030	13100101				100					
																	
10501001	镇守将领	wujiang2	123	1	GONG	13110004	13100102										9
10502001	镇守将领	wujiang19	107	0	CHE	13110003	13100207										12
10503001	镇守将领	wujiang22	105	1	GONG	13110004	13100102										2
10504001	镇守将领	wujiang24	120	1	CHE	13110003	13100207										10
10505001	镇守将领	wujiang19	107	0	CHE	13110003	13100207										21
10501002	镇守将领	wujiang8	104	0	QI	13110002	13100205										17
10502002	镇守将领	wujiang2	123	1	GONG	13110004	13100102										4
10503002	镇守将领	wujiang3	122	1	QI	13110002	13100205										13
10504002	镇守将领	wujiang24	120	1	CHE	13110003	13100207										9
10505002	镇守将领	wujiang3	122	1	QI	13110002	13100205										21
10501003	镇守将领	wujiang1	103	1	BU	13110001	13100203										16
10502003	镇守将领	wujiang28	126	0	QI	13110002	13100205										9
10503003	镇守将领	wujiang5	128	1	XIE	13110005	13100101										15
10504003	镇守将领	wujiang19	107	0	CHE	13110003	13100207										6
10505003	镇守将领	wujiang27	102	1	GONG	13110004	13100102										17
10501004	镇守将领	wujiang20	106	0	XIE	13110005	13100101										12
10502004	镇守将领	wujiang5	128	1	XIE	13110005	13100101										6
10503004	镇守将领	wujiang27	102	1	GONG	13110004	13100102										11
10504004	镇守将领	wujiang19	107	0	CHE	13110003	13100207										4
10505004	镇守将领	wujiang25	127	1	XIE	13110005	13100101										3
10501005	镇守将领	wujiang9	114	0	CHE	13110003	13100207										19
10502005	镇守将领	wujiang16	113	0	BU	13110001	13100203										12
10503005	镇守将领	wujiang3	122	1	QI	13110002	13100205										9
10504005	镇守将领	wujiang2	123	1	GONG	13110004	13100102										10
10505005	镇守将领	wujiang24	120	1	CHE	13110003	13100207										12
10501006	镇守将领	wujiang1	103	1	BU	13110001	13100203										11
10502006	镇守将领	wujiang6	115	1	BU	13110001	13100203										4
10503006	镇守将领	wujiang4	110	1	CHE	13110003	13100207										7
10504006	镇守将领	wujiang16	113	0	BU	13110001	13100203										23
10505006	镇守将领	wujiang20	106	0	XIE	13110005	13100101										19
10501007	镇守将领	wujiang3	122	1	QI	13110002	13100205										17
10502007	镇守将领	wujiang1	103	1	BU	13110001	13100203										9
10503007	镇守将领	wujiang25	127	1	XIE	13110005	13100101										24
10504007	镇守将领	wujiang20	106	0	XIE	13110005	13100101										20
10505007	镇守将领	wujiang24	120	1	CHE	13110003	13100207										20
10501008	镇守将领	wujiang10	111	0	XIE	13110005	13100101										10
10502008	镇守将领	wujiang5	128	1	XIE	13110005	13100101										22
10503008	镇守将领	wujiang21	109	1	BU	13110001	13100203										1
10504008	镇守将领	wujiang25	127	1	XIE	13110005	13100101										16
10505008	镇守将领	wujiang17	108	0	GONG	13110004	13100102										11
10501009	镇守将领	wujiang6	115	1	BU	13110001	13100203										13
10502009	镇守将领	wujiang25	127	1	XIE	13110005	13100101										21
10503009	镇守将领	wujiang5	128	1	XIE	13110005	13100101										17
10504009	镇守将领	wujiang10	111	0	XIE	13110005	13100101										5
10505009	镇守将领	wujiang21	109	1	BU	13110001	13100203										15
10501010	镇守将领	wujiang27	102	1	GONG	13110004	13100102										11
10502010	镇守将领	wujiang7	121	1	GONG	13110004	13100102										7
10503010	镇守将领	wujiang28	126	0	QI	13110002	13100205										19
