武将id	稀有度	名字	图标		描述	默认职业，对应race.txt	在已经有该名士的情况下，钓鱼再获得该名士是获得的奖励，配置 prize.txt中的id	自动解锁技能数量	获得途径		钓鱼可获得	语音	普攻	章节获得(作废)	初始怒气											
id	rarity	name	icon	spine	desc	race	prize_if_has	auto_unlock_spell_count	obtain_ways	obtain_ways	fishing_obtain	sound	base_spell	obtain_dungeon_chapter	init_rage											
1	1	荆轲	荆轲	1	骑兵良将-荆轲：风萧萧兮易水寒，壮士一去不复还	2	13301001	1	20106		1	40000	13110002		276			吴起	1	3		1	13110001		1	步
2	2	庞涓	庞涓	2	弓兵名将-庞涓：凭君莫话封侯事，一将功成万骨枯	3	13301002	1	20609		1	40080	13110004		222			廉颇	1	3		2	13110002		2	骑
3	3	伍子胥	伍子胥	3	弓兵神将-伍子胥：出境鞭尸报父雠，吴兵勇锐越兵忧	3	13301003	1			1	40130	13110004		235			高渐离	1	3		4	13110003		3	弓
4	2	田忌	田忌	4	步兵名将-田忌：田忌之徒而诸侯东面朝齐	1	13301004	1	20403	20703	1	40150	13110001		289			钟无艳	1	3		3	13110004		4	车
5	1	屈原	屈原	5	器兵良将-屈原：湖南清绝地，万古一长嗟	5	13301005	1			1	40060	13110005		209			田忌	1	2		5	13110005		5	器
6	2	苏秦	苏秦	6	车兵名将-苏秦：沙埋古篆折碑文，六国兴亡事系君	4	13301006	1	20506	20906	1	40180	13110003		289			西门豹	1	2						
7	3	张仪	张仪	7	弓兵神将-张仪：横则秦帝，纵则楚王	3	13301007	1			1	40040	13110004		235			李信	1	1						
8	1	西门豹	西门豹	8	步兵良将-西门豹：西门豹治邺，民不敢欺	1	13301008	1	20606	21006	1	40010	13110001		276			蔺相如	1	1						
9	3	钟无艳	钟无艳	9	步兵神将-钟无艳：太子择日正储位，钟离在宫齐国治	1	13301009	1			1	40030	13110001		302			田单	2	3						
10	3	高渐离	高渐离	10	器兵神将-高渐离：渐离击悲筑，宋意唱高声	5	13301010	1			1	40100	13110005		235			白起	2	3						
11	1	鲁班	鲁班	11	器兵良将-鲁班：腰间带得纯钢斧，要斫蟾宫第一枝	5	13301011	1			1	40190	13110005		209			蒙恬	2	3						
12	1	平原君	平原君	12	车兵良将-平原君：何事邯郸贵公子，能因牴者杀佳人	4	13301012	1	20503		1	40200	13110003		276			王翦	2	3						
13	2	春申君	春申君	13	骑兵名将-春申君：烈士思酬国士恩，春申谁与快冤魂	2	13301013	1	20803	20406	1	40210	13110002		289			春申君	2	2						
14	2	孟尝君	孟尝君	14	器兵名将-孟尝君：若使当时真不举，吾门安得客三千	5	13301014	1			1	40070	13110005		222			乐羊	2	2						
15	1	赵括	赵括	15	骑兵良将-赵括：一败谁能逃母料，可怜四十万苍生	2	13301015	1	20303		1	40090	13110002		276			荆轲	2	1						
16	2	郑袖	郑袖	16	器兵名将-郑袖：国破家亡梦方醒，原来红颜是祸水	5	13301016	1	20509	20903	1	40020	13110005		222			赵括	2	1						
