君主等级(有官职数量改变时的君主等级)	官职ID	最大册封数量。之后到下一个被改变的等级，都为此数量	官职ID	最大册封数量。之后到下一个被改变的等级，都为此数量	官职ID	最大册封数量。之后到下一个被改变的等级，都为此数量	官职ID	最大册封数量。之后到下一个被改变的等级，都为此数量	官职ID	最大册封数量。之后到下一个被改变的等级，都为此数量				
hero_level	official_id	max_count	official_id	max_count	official_id	max_count	official_id	max_count	official_id	max_count	official_id	max_count	official_id	max_count
1	1	0	2	0	3	0	4	0	5	0	6	0	7	0
10	1	2	2	0	3	0	4	0	5	0	6	0	7	0
15	1	3	2	0	3	0	4	0	5	0	6	0	7	0
20	1	3	2	1	3	0	4	0	5	0	6	0	7	0
25	1	3	2	2	3	0	4	0	5	0	6	0	7	0
30	1	3	2	3	3	0	4	0	5	0	6	0	7	0
35	1	3	2	3	3	1	4	0	5	0	6	0	7	0
40	1	3	2	3	3	2	4	0	5	0	6	0	7	0
45	1	3	2	3	3	3	4	0	5	0	6	0	7	0
50	1	3	2	3	3	3	4	1	5	0	6	0	7	0
55	1	3	2	3	3	3	4	2	5	0	6	0	7	0
60	1	3	2	3	3	3	4	3	5	0	6	0	7	0
65	1	3	2	3	3	3	4	3	5	1	6	0	7	0
70	1	3	2	3	3	3	4	3	5	2	6	0	7	0
75	1	3	2	3	3	3	4	3	5	3	6	0	7	0
80	1	3	2	3	3	3	4	3	5	3	6	1	7	0
85	1	3	2	3	3	3	4	3	5	3	6	2	7	0
90	1	3	2	3	3	3	4	3	5	3	6	3	7	0
95	1	3	2	3	3	3	4	3	5	3	6	3	7	1
100	1	3	2	3	3	3	4	3	5	3	6	3	7	2
105	1	3	2	3	3	3	4	3	5	3	6	3	7	3
110	1	3	2	3	3	3	4	3	5	3	6	3	7	3
115	1	3	2	3	3	3	4	3	5	3	6	3	7	3
120	1	3	2	3	3	3	4	3	5	3	6	3	7	3
