能力值	描述	品质颜色，从1开始，白绿蓝紫橙红	资历名字，配置多语言的id，这里配置如 初级/中级/高级	升级所需经验	卖掉换取强化符，关联prize.txt表	解雇还钱强化符，关联prize.txt表	解锁技能
ability	desc	quality	title	upgrade_exp	sell_price	fire_price	unlock_spell_count
5	增加属性？点	2	初级	5	10005	10005	1
6	增加属性？点	2	初级	20	10006	10006	1
7	增加属性？点	2	初级	25	10007	10007	1
8	增加属性？点	2	初级	30	10008	10008	1
9	增加属性？点	2	初级	60	10009	10009	1
10	增加属性？点	3	中级	80	10010	10010	2
11	增加属性？点	3	中级	100	10011	10011	2
12	增加属性？点	3	中级	120	10012	10012	2
13	增加属性？点	3	中级	140	10013	10013	2
14	增加属性？点	3	中级	160	10014	10014	2
15	增加属性？点	3	中级	180	10015	10015	2
16	增加属性？点	4	高级	250	10016	10016	3
17	增加属性？点	4	高级	280	10017	10017	3
18	增加属性？点	4	高级	310	10018	10018	3
19	增加属性？点	4	高级	340	10019	10019	3
20	增加属性？点	4	高级	370	10020	10020	3
21	增加属性？点	4	高级	400	10021	10021	3
22	增加属性？点	4	高级	430	10022	10022	3
23	增加属性？点	4	高级	460	10023	10023	3
24	增加属性？点	5	高级	600	10024	10024	4
25	增加属性？点	5	高级	700	10025	10025	4
26	增加属性？点	5	高级	800	10026	10026	4
27	增加属性？点	5	资深	900	10027	10027	4
28	增加属性？点	5	资深	1000	10028	10028	4
29	增加属性？点	5	资深	1100	10029	10029	4
30	增加属性？点	5	资深	1200	10030	10030	4
31	增加属性？点	5	资深	1400	10031	10031	4
32	增加属性？点	5	资深	1600	10032	10032	4
33	增加属性？点	5	资深	1800	10033	10033	4
34	增加属性？点	5	资深	2000	10034	10034	4
35	增加属性？点	6	传奇	2500	10035	10035	5
36	增加属性？点	6	传奇	3000	10036	10036	5
37	增加属性？点	6	传奇	3500	10037	10037	5
38	增加属性？点	6	传奇	4000	10038	10038	5
39	增加属性？点	6	传奇	4500	10039	10039	5
40	增加属性？点	6	传奇	5000	10040	10040	5
41	增加属性？点	6	传奇	5500	10041	10041	5
42	增加属性？点	6	传奇	6000	10042	10042	5
43	增加属性？点	6	传奇	6500	10043	10043	5
44	增加属性？点	6	传奇	7000	10044	10044	5
45	增加属性？点	6	传奇	7500	10045	10045	5
46	增加属性？点	6	传奇	8000	10046	10046	5
47	增加属性？点	6	传奇	8500	10047	10047	5
48	增加属性？点	6	传奇	9000	10048	10048	5
49	增加属性？点	6	传奇	9500	10049	10049	5
50	增加属性？点	6	传奇	10000	10050	10050	5
51	增加属性？点	6	传奇	10500	10050	10050	5
52	增加属性？点	6	传奇	11000	10050	10050	5
53	增加属性？点	6	传奇	11500	10050	10050	5
54	增加属性？点	6	传奇	12000	10050	10050	5
55	增加属性？点	6	传奇	12500	10050	10050	5
56	增加属性？点	6	传奇	13000	10050	10050	5
57	增加属性？点	6	传奇	13500	10050	10050	5
58	增加属性？点	6	传奇	14000	10050	10050	5
59	增加属性？点	6	传奇	14500	10050	10050	5
60	增加属性？点	6	传奇	15000	10050	10050	5
61	增加属性？点	6	传奇	15500	10050	10050	5
62	增加属性？点	6	传奇	16000	10050	10050	5
63	增加属性？点	6	传奇	16500	10050	10050	5
64	增加属性？点	6	传奇	17000	10050	10050	5
65	增加属性？点	6	传奇	17500	10050	10050	5
66	增加属性？点	6	传奇	18000	10050	10050	5
67	增加属性？点	6	传奇	18500	10050	10050	5
68	增加属性？点	6	传奇	19000	10050	10050	5
69	增加属性？点	6	传奇	19500	10050	10050	5
70	增加属性？点	6	传奇	20000	10050	10050	5
71	增加属性？点	6	传奇	20500	10050	10050	5
72	增加属性？点	6	传奇	21000	10050	10050	5
73	增加属性？点	6	传奇	21500	10050	10050	5
74	增加属性？点	6	传奇	22000	10050	10050	5
75	增加属性？点	6	传奇	22500	10050	10050	5
76	增加属性？点	6	传奇	23000	10050	10050	5
77	增加属性？点	6	传奇	23500	10050	10050	5
78	增加属性？点	6	传奇	24000	10050	10050	5
79	增加属性？点	6	传奇	24500	10050	10050	5
80	增加属性？点	6	传奇	25000	10050	10050	5
81	增加属性？点	6	传奇	25500	10050	10050	5
82	增加属性？点	6	传奇	26000	10050	10050	5
83	增加属性？点	6	传奇	26500	10050	10050	5
84	增加属性？点	6	传奇	27000	10050	10050	5
85	增加属性？点	6	传奇	27500	10050	10050	5
86	增加属性？点	6	传奇	28000	10050	10050	5
87	增加属性？点	6	传奇	28500	10050	10050	5
88	增加属性？点	6	传奇	29000	10050	10050	5
89	增加属性？点	6	传奇	29500	10050	10050	5
90	增加属性？点	6	传奇	30000	10050	10050	5
91	增加属性？点	6	传奇	30500	10050	10050	5
92	增加属性？点	6	传奇	31000	10050	10050	5
93	增加属性？点	6	传奇	31500	10050	10050	5
94	增加属性？点	6	传奇	32000	10050	10050	5
95	增加属性？点	6	传奇	32500	10050	10050	5
96	增加属性？点	6	传奇	33000	10050	10050	5
97	增加属性？点	6	传奇	33500	10050	10050	5
98	增加属性？点	6	传奇	34000	10050	10050	5
99	增加属性？点	6	传奇	34500	10050	10050	5
100	增加属性？点	6	传奇	35000	10050	10050	5
