转生等级	武将等级	武将升级经验	武将带兵�?昵称，配置多语言的id，这里配�?�?�?	�ɳ�����	��Ƕ����						
rebirth	level	upgrade_exp	soldier_capcity	ability_limit	gem_slot_count		nick_name				
0	1	5	50	6	1	8			200	7	1400
0	2	100	60	6	1	20			400	6	2400
0	3	180	70	6	1	80			650	5	3250
0	4	260	80	6	1	200			850	4	3400
0	5	340	90	7	1	600			1100	3	3300
0	6	420	100	7	1	1600			1300	2	2600
0	7	500	110	7	1	2880			1000	1	1000
0	8	580	120	7	1	3920					17350
0	9	660	130	7	1	5120					
0	10	740	140	8	1	6480					
0	11	1100	150	8	1	8000					
0	12	1200	160	8	1	9680					
0	13	1300	170	8	1	11520					
0	14	1400	180	8	1	13520					
0	15	1500	190	9	1	15680					
0	16	1900	200	9	1	18000					
0	17	2100	210	9	1	20480					
0	18	2300	220	9	1	23120					
0	19	2500	230	9	1	25920					
0	20	2700	240	10	1	28880					
0	21	2900	250	10	1	32000					
0	22	2800	260	10	1	35280					
0	23	2900	270	10	1	38720					
0	24	3000	280	10	1	42320					
0	25	3100	290	11	1	46080					
0	26	3200	300	11	1	50000					
0	27	3300	310	11	1	54080					
0	28	3400	320	11	1	58320					
0	29	3500	330	11	1	62720					
0	30	3600	340	13	1	67280					
0	31	4500	350	13	1	72000					
0	32	5500	360	13	1	76880					
0	33	6100	370	13	1	81920					
0	34	6900	380	13	1	87120					
0	35	7700	390	14	1	92480					
0	36	8500	400	14	1	98000					
0	37	9300	410	14	1	103680					
0	38	10100	420	14	1	109520					
0	39	10900	430	14	1	115520					
0	40	11700	440	16	1	121680					
0	41	12500	450	16	1	128000					
0	42	12700	460	16	1	134480					
0	43	12900	470	16	1	141120					
0	44	13100	480	16	1	147920					
0	45	13300	490	18	2	154880					
0	46	13500	500	18	2	162000					
0	47	13700	510	18	2	169280					
0	48	13900	520	18	2	176720					
0	49	14100	530	18	2	184320					
0	50	14300	540	20	3	192080					
0	51	14500	550	20	3	200000					
0	52	17000	560	20	3	208080					
0	53	21000	570	20	3	216320					
0	54	25000	580	20	3	224720					
0	55	29000	590	22	4	233280					
0	56	33000	600	22	4	242000					
0	57	37000	610	22	4	250880					
0	58	41000	620	22	4	259920					
0	59	45000	630	22	4	269120					
0	60	49000	640	24	5	278480					
0	61	53000	640	24	5						
0	62	48000	640	24	5						
0	63	53000	640	24	5						
0	64	58000	640	24	5						
0	65	63000	640	24	5						
0	66	68000	640	24	5						
0	67	73000	640	24	5						
0	68	78000	640	24	5						
0	69	83000	640	24	5						
0	70	88000	640	24	5						
0	71	93000	640	24	5						
0	72	98000	640	24	5						
0	73	103000	640	24	5						
0	74	108000	640	24	5						
0	75	113000	640	24	5						
0	76	118000	640	24	5						
0	77	123000	640	24	5						
0	78	128000	640	24	5						
0	79	133000	640	24	5						
0	80	138000	640	24	5						
0	81	143000	640	24	5						
0	82	148000	640	24	5						
0	83	153000	640	24	5						
0	84	158000	640	24	5						
0	85	163000	640	24	5						
0	86	168000	640	24	5						
0	87	173000	640	24	5						
0	88	178000	640	24	5						
0	89	183000	640	24	5						
0	90	188000	640	24	5						
0	91	193000	640	24	5						
0	92	198000	640	24	5						
0	93	203000	640	24	5						
0	94	208000	640	24	5						
0	95	213000	640	24	5						
0	96	218000	640	24	5						
0	97	223000	640	24	5						
0	98	228000	640	24	5						
0	99	233000	640	24	5						
0	100	238000	640	24	5						
0	101	243000	640	24	5						
0	102	248000	640	24	5						
0	103	253000	640	24	5						
0	104	258000	640	24	5						
0	105	263000	640	24	5						
0	106	268000	640	24	5						
0	107	273000	640	24	5						
0	108	278000	640	24	5						
0	109	283000	640	24	5						
0	110	288000	640	24	5						
0	111	293000	640	24	5						
0	112	298000	640	24	5						
0	113	303000	640	24	5						
0	114	308000	640	24	5						
0	115	313000	640	24	5						
0	116	318000	640	24	5						
0	117	323000	640	24	5						
0	118	328000	640	24	5						
0	119	333000	640	24	5						
0	120	338000	640	24	5						
1	1	4500	650	30	5	10					
1	2	4700	660	30	5	24					
1	3	4900	670	30	5	96					
1	4	5100	680	31	5	240					
1	5	5300	690	31	6	720					
1	6	5500	700	31	6	1920					
1	7	5700	710	32	6	3456					
1	8	5900	720	32	6	4704					
1	9	6100	730	32	6	6144					
1	10	7300	740	33	7	7776					
1	11	7500	750	33	7	9600					
1	12	7700	760	33	7	11616					
1	13	7900	770	34	7	13824					
1	14	8100	780	34	7	16224					
1	15	8300	790	34	8	18816					
1	16	8500	800	35	8	21600					
1	17	8700	810	35	8	24576					
1	18	8900	820	35	8	27744					
1	19	9100	830	36	8	31104					
1	20	11000	840	36	9	34656					
1	21	14000	850	36	9	38400					
1	22	17000	860	37	9	42336					
1	23	20000	870	37	9	46464					
1	24	23000	880	37	9	50784					
1	25	26000	890	38	9	55296					
1	26	29000	900	38	9	60000					
1	27	32000	910	38	9	64896					
1	28	35000	920	39	9	69984					
1	29	38000	930	39	9	75264					
1	30	43000	940	39	9	80736					
1	31	50000	950	40	9	86400					
1	32	57000	960	40	9	92256					
1	33	64000	970	40	9	98304					
1	34	71000	980	41	9	104544					
1	35	78000	990	41	9	110976					
1	36	85000	1000	41	9	117600					
1	37	92000	1010	42	9	124416					
1	38	99000	1020	42	9	131424					
1	39	106000	1030	42	9	138624					
1	40	113000	1040	43	9	146016					
1	41	120000	1050	43	9	153600					
1	42	127000	1060	43	9	161376					
1	43	134000	1070	44	9	169344					
1	44	141000	1080	44	9	177504					
1	45	148000	1090	44	9	185856					
1	46	155000	1100	45	9	194400					
1	47	162000	1110	45	9	203136					
1	48	169000	1120	45	9	212064					
1	49	176000	1130	46	9	221184					
1	50	183000	1140	46	9	230496					
1	51	190000	1150	46	9	240000					
1	52	197000	1160	47	9	249696					
1	53	204000	1170	47	9	259584					
1	54	211000	1180	47	9	269664					
1	55	218000	1190	48	9	279936					
1	56	225000	1200	48	9	290400					
1	57	232000	1210	48	9	301056					
1	58	239000	1220	49	9	311904					
1	59	246000	1230	49	9	322944					
1	60	253000	1240	49	9	334176					
1	61	260000	1250	50	9	346176					
1	62	267000	1260	50	9						
1	63	274000	1270	50	9						
1	64	281000	1280	51	9						
1	65	288000	1290	51	9						
1	66	295000	1300	51	9						
1	67	302000	1310	52	9						
1	68	309000	1320	52	9						
1	69	316000	1330	52	9						
1	70	323000	1340	53	9						
1	71	330000	1350	53	9						
1	72	337000	1360	53	9						
1	73	344000	1370	54	9						
1	74	351000	1380	54	9						
1	75	358000	1390	54	9						
1	76	365000	1400	55	9						
1	77	372000	1410	55	9						
1	78	379000	1420	55	9						
1	79	386000	1430	56	9						
1	80	393000	1440	56	9						
1	81	400000	1440	56	9						
1	82	407000	1440	56	9						
1	83	414000	1440	56	9						
1	84	421000	1440	56	9						
1	85	428000	1440	56	9						
1	86	435000	1440	56	9						
1	87	442000	1440	56	9						
1	88	449000	1440	56	9						
1	89	456000	1440	56	9						
1	90	463000	1440	56	9						
1	91	470000	1440	56	9						
1	92	477000	1440	56	9						
1	93	484000	1440	56	9						
1	94	491000	1440	56	9						
1	95	498000	1440	56	9						
1	96	505000	1440	56	9						
1	97	512000	1440	56	9						
1	98	519000	1440	56	9						
1	99	526000	1440	56	9						
1	100	533000	1440	56	9						
1	101	540000	1440	56	9						
1	102	547000	1440	56	9						
1	103	554000	1440	56	9						
1	104	561000	1440	56	9						
1	105	568000	1440	56	9						
1	106	575000	1440	56	9						
1	107	582000	1440	56	9						
1	108	589000	1440	56	9						
1	109	596000	1440	56	9						
1	110	603000	1440	56	9						
1	111	610000	1440	56	9						
1	112	617000	1440	56	9						
1	113	624000	1440	56	9						
1	114	631000	1440	56	9						
1	115	638000	1440	56	9						
1	116	645000	1440	56	9						
1	117	652000	1440	56	9						
1	118	659000	1440	56	9						
1	119	666000	1440	56	9						
1	120	673000	1440	56	9						
2	1	13500	1450	60	9						
2	2	14100	1460	60	9						
2	3	14700	1470	60	9						
2	4	15300	1480	61	9						
2	5	15900	1490	61	9						
2	6	16500	1500	61	9						
2	7	17100	1510	62	9						
2	8	17700	1520	62	9						
2	9	18300	1530	62	9						
2	10	21900	1540	63	9						
2	11	22500	1550	63	9						
2	12	23100	1560	63	9						
2	13	23700	1570	64	9						
2	14	24300	1580	64	9						
2	15	24900	1590	64	9						
2	16	25500	1600	65	9						
2	17	26100	1610	65	9						
2	18	26700	1620	65	9						
2	19	27300	1630	66	9						
2	20	33000	1640	66	9						
2	21	42000	1650	66	9						
2	22	51000	1660	67	9						
2	23	60000	1670	67	9						
2	24	69000	1680	67	9						
2	25	78000	1690	68	9						
2	26	87000	1700	68	9						
2	27	96000	1710	68	9						
2	28	105000	1720	69	9						
2	29	114000	1730	69	9						
2	30	129000	1740	69	9						
2	31	150000	1750	70	9						
2	32	171000	1760	70	9						
2	33	192000	1770	70	9						
2	34	213000	1780	71	9						
2	35	234000	1790	71	9						
2	36	255000	1800	71	9						
2	37	276000	1810	72	9						
2	38	297000	1820	72	9						
2	39	318000	1830	72	9						
2	40	339000	1840	73	9						
2	41	360000	1850	73	9						
2	42	381000	1860	73	9						
2	43	402000	1870	74	9						
2	44	423000	1880	74	9						
2	45	444000	1890	74	9						
2	46	465000	1900	75	9						
2	47	486000	1910	75	9						
2	48	507000	1920	75	9						
2	49	528000	1930	76	9						
2	50	549000	1940	76	9						
2	51	570000	1950	76	9						
2	52	591000	1960	77	9						
2	53	612000	1970	77	9						
2	54	633000	1980	77	9						
2	55	654000	1990	78	9						
2	56	675000	2000	78	9						
2	57	696000	2010	78	9						
2	58	717000	2020	79	9						
2	59	738000	2030	79	9						
2	60	759000	2040	79	9						
2	61	780000	2050	80	9						
2	62	801000	2060	80	9						
2	63	822000	2070	80	9						
2	64	843000	2080	81	9						
2	65	864000	2090	81	9						
2	66	885000	2100	81	9						
2	67	906000	2110	82	9						
2	68	927000	2120	82	9						
2	69	948000	2130	82	9						
2	70	969000	2140	83	9						
2	71	990000	2150	83	9						
2	72	1011000	2160	83	9						
2	73	1032000	2170	84	9						
2	74	1053000	2180	84	9						
2	75	1074000	2190	84	9						
2	76	1095000	2200	85	9						
2	77	1116000	2210	85	9						
2	78	1137000	2220	85	9						
2	79	1158000	2230	86	9						
2	80	1179000	2240	86	9						
2	81	1200000	2250	86	9						
2	82	1221000	2260	87	9						
2	83	1242000	2270	87	9						
2	84	1263000	2280	87	9						
2	85	1284000	2290	88	9						
2	86	1305000	2300	88	9						
2	87	1326000	2310	88	9						
2	88	1347000	2320	89	9						
2	89	1368000	2330	89	9						
2	90	1389000	2340	89	9						
2	91	1410000	2350	90	9						
2	92	1431000	2360	90	9						
2	93	1452000	2370	90	9						
2	94	1473000	2380	91	9						
2	95	1494000	2390	91	9						
2	96	1515000	2400	91	9						
2	97	1536000	2410	92	9						
2	98	1557000	2420	92	9						
2	99	1578000	2430	92	9						
2	100	1599000	2440	92	9						
2	101	1620000	2440	92	9						
2	102	1641000	2440	92	9						
2	103	1662000	2440	92	9						
2	104	1683000	2440	92	9						
2	105	1704000	2440	92	9						
2	106	1725000	2440	92	9						
2	107	1746000	2440	92	9						
2	108	1767000	2440	92	9						
2	109	1788000	2440	92	9						
2	110	1809000	2440	92	9						
2	111	1830000	2440	92	9						
2	112	1851000	2440	92	9						
2	113	1872000	2440	92	9						
2	114	1893000	2440	92	9						
2	115	1914000	2440	92	9						
2	116	1935000	2440	92	9						
2	117	1956000	2440	92	9						
2	118	1977000	2440	92	9						
2	119	1998000	2440	92	9						
2	120	2019000	2440	92	9						
3	1	40500	2450	100	9						
3	2	42300	2460	100	9						
3	3	44100	2470	100	9						
3	4	45900	2480	100	9						
3	5	47700	2490	100	9						
3	6	49500	2500	100	9						
3	7	51300	2510	100	9						
3	8	53100	2520	100	9						
3	9	54900	2530	100	9						
3	10	65700	2540	100	9						
3	11	67500	2550	100	9						
3	12	69300	2560	100	9						
3	13	71100	2570	100	9						
3	14	72900	2580	100	9						
3	15	74700	2590	100	9						
3	16	76500	2600	100	9						
3	17	78300	2610	100	9						
3	18	80100	2620	100	9						
3	19	81900	2630	100	9						
3	20	99000	2640	100	9						
3	21	126000	2650	100	9						
3	22	153000	2660	100	9						
3	23	180000	2670	100	9						
3	24	207000	2680	100	9						
3	25	234000	2690	100	9						
3	26	261000	2700	100	9						
3	27	288000	2710	100	9						
3	28	315000	2720	100	9						
3	29	342000	2730	100	9						
3	30	387000	2740	100	9						
3	31	450000	2750	100	9						
3	32	513000	2760	100	9						
3	33	576000	2770	100	9						
3	34	639000	2780	100	9						
3	35	702000	2790	100	9						
3	36	765000	2800	100	9						
3	37	828000	2810	100	9						
3	38	891000	2820	100	9						
3	39	954000	2830	100	9						
3	40	1017000	2840	100	9						
3	41	1080000	2850	100	9						
3	42	1143000	2860	100	9						
3	43	1206000	2870	100	9						
3	44	1269000	2880	100	9						
3	45	1332000	2890	100	9						
3	46	1395000	2900	100	9						
3	47	1458000	2910	100	9						
3	48	1521000	2920	100	9						
3	49	1584000	2930	100	9						
3	50	1647000	2940	100	9						
3	51	1710000	2950	100	9						
3	52	1773000	2960	100	9						
3	53	1836000	2970	100	9						
3	54	1899000	2980	100	9						
3	55	1962000	2990	100	9						
3	56	2025000	3000	100	9						
3	57	2088000	3010	100	9						
3	58	2151000	3020	100	9						
3	59	2214000	3030	100	9						
3	60	2277000	3040	100	9						
3	61	2340000	3050	100	9						
3	62	2403000	3060	100	9						
3	63	2466000	3070	100	9						
3	64	2529000	3080	100	9						
3	65	2592000	3090	100	9						
3	66	2655000	3100	100	9						
3	67	2718000	3110	100	9						
3	68	2781000	3120	100	9						
3	69	2844000	3130	100	9						
3	70	2907000	3140	100	9						
3	71	2970000	3150	100	9						
3	72	3033000	3160	100	9						
3	73	3096000	3170	100	9						
3	74	3159000	3180	100	9						
3	75	3222000	3190	100	9						
3	76	3285000	3200	100	9						
3	77	3348000	3210	100	9						
3	78	3411000	3220	100	9						
3	79	3474000	3230	100	9						
3	80	3537000	3240	100	9						
3	81	3600000	3250	100	9						
3	82	3663000	3260	100	9						
3	83	3726000	3270	100	9						
3	84	3789000	3280	100	9						
3	85	3852000	3290	100	9						
3	86	3915000	3300	100	9						
3	87	3978000	3310	100	9						
3	88	4041000	3320	100	9						
3	89	4104000	3330	100	9						
3	90	4167000	3340	100	9						
3	91	4230000	3350	100	9						
3	92	4293000	3360	100	9						
3	93	4356000	3370	100	9						
3	94	4419000	3380	100	9						
3	95	4482000	3390	100	9						
3	96	4545000	3400	100	9						
3	97	4608000	3410	100	9						
3	98	4671000	3420	100	9						
