任务id	任务名	任务内容	任务目标	前往跳转	奖励
id	name	text	target	link	prize
105001	主城升级	提升至5级	1001		105001
105002	主城升级	提升至10级	1002		105002
105003	主城升级	提升至15级	1003		105003
105004	主城升级	提升至20级	1004		105004
105005	主城升级	提升至25级	1005		105005
105006	主城升级	提升至30级	1006		105006
105007	主城升级	提升至35级	1007		105007
105008	主城升级	提升至40级	1008		105008
105009	主城升级	提升至45级	1009		105009
105010	主城升级	提升至50级	1010		105010
					
106001	君主升级	等级提升至10级	1101		106001
106002	君主升级	等级提升至20级	1102		106002
106003	君主升级	等级提升至30级	1103		106003
106004	君主升级	等级提升至40级	1104		106004
106005	君主升级	等级提升至50级	1105		106005
106006	君主升级	等级提升至60级	1106		106006
106007	君主升级	等级提升至70级	1107		106007
106008	君主升级	等级提升至80级	1108		106008
106009	君主升级	等级提升至90级	1109		106009
106010	君主升级	等级提升至100级	1110		106010
					
					
107001	挑战千机楼	挑战层数提升至5层	1201		107001
107002	挑战千机楼	挑战层数提升至10层	1202		107002
107003	挑战千机楼	挑战层数提升至15层	1203		107003
107004	挑战千机楼	挑战层数提升至20层	1204		107004
107005	挑战千机楼	挑战层数提升至25层	1205		107005
107006	挑战千机楼	挑战层数提升至30层	1206		107006
107007	挑战千机楼	挑战层数提升至35层	1207		107007
107008	挑战千机楼	挑战层数提升至40层	1208		107008
107009	挑战千机楼	挑战层数提升至45层	1209		107009
107010	挑战千机楼	挑战层数提升至50层	1210		107010
