编号	宝物组	宝物等级	名字	描述	图标	宝物品质等级	解锁所需时间	掉落奖励	合成下一级所需个数	不能抢夺	增加联盟声望值	分解获得的铜币	分解获得的石料	宝物秒 cd 消耗										
id	group	level	name	desc	icon	goods_quality	unlock_duration	plunder_prize	upgrade_need_count	cant_rob	prestige	decompose_gold	decompose_stone	miao_duration										
100001	10	1	1级小夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	1级绿色夜明珠	3	3s	12810001	10	1	5	100	100	45m										
10001	1	1	1级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	1级绿色夜明珠	2	3h	12810001	10		5	100	100	45m		4000202	2500	0.25	25%	2	25%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]25%几率开出2个南海奇精。25%几率开出2个南海奇精。
10002	1	2	2级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	2级绿色夜明珠	2	3h	12810002	10		10	200	200	36m		4000202	4375	0.4375	44%	2	44%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]44%几率开出2个南海奇精。44%几率开出2个南海奇精。
10003	1	3	3级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	3级绿色夜明珠	2	3h	12810003	10		15	300	300	30m		4000202	5000	0.5	50%	2	50%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]50%几率开出2个南海奇精。50%几率开出2个南海奇精。
10004	1	4	4级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	4级蓝色夜明珠	3	3h	12810004	10		20	400	400	21m		4000202	3125	0.3125	31%	2	31%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]31%几率开出2个南海奇精。31%几率开出2个南海奇精。
10005	1	5	5级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	5级蓝色夜明珠	3	3h	12810005	10		25	500	500	18m		4000202	5625	0.5625	56%	2	56%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]56%几率开出2个南海奇精。56%几率开出2个南海奇精。
10006	1	6	6级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	6级蓝色夜明珠	3	3h	12810006	10		30	700	700	17m		4000202	6667	0.6667	67%	2	67%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]67%几率开出2个南海奇精。67%几率开出2个南海奇精。
10007	1	7	7级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	7级紫色夜明珠	5	3h	12810007	10		35	900	900	14m		4000202	3750	0.375	38%	2	38%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]38%几率开出2个南海奇精。38%几率开出2个南海奇精。
10008	1	8	8级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	8级紫色夜明珠	5	3h	12810008	10		40	1200	1200	13m		4000202	6875	0.6875	69%	2	69%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]69%几率开出2个南海奇精。69%几率开出2个南海奇精。
10009	1	9	9级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	9级紫色夜明珠	5	3h	12810009	10		45	1500	1500	12m		4000202	8334	0.8334	83%	2	83%几率开出2个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]83%几率开出2个南海奇精。83%几率开出2个南海奇精。
10010	1	10	10级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	10级橙色夜明珠	8	3h	12810010	10		50	1800	1800	10m		4000203	2917	0.2917	29%	3	29%几率开出3个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]29%几率开出3个南海奇精。29%几率开出3个南海奇精。
10011	1	11	11级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	11级橙色夜明珠	8	3h	12810011	10		55	2200	2200	10m		4000203	5417	0.5417	54%	3	54%几率开出3个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]54%几率开出3个南海奇精。54%几率开出3个南海奇精。
10012	1	12	12级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	12级橙色夜明珠	8	3h	12810012	10		60	2600	2600	9m		4000203	6667	0.6667	67%	3	67%几率开出3个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]67%几率开出3个南海奇精。67%几率开出3个南海奇精。
10013	1	13	13级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	13级红色夜明珠	11	3h	12810013	10		65	3000	3000	8m		4000203	3334	0.3334	33%	3	33%几率开出3个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]33%几率开出3个南海奇精。33%几率开出3个南海奇精。
10014	1	14	14级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	14级红色夜明珠	11	3h	12810014	10		70	5000	5000	8m		4000203	6250	0.625	63%	3	63%几率开出3个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]63%几率开出3个南海奇精。63%几率开出3个南海奇精。
10015	1	15	15级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	15级红色夜明珠	11	3h	12810015	10		75	7000	7000	8m		4000203	7778	0.7778	78%	3	78%几率开出3个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]78%几率开出3个南海奇精。78%几率开出3个南海奇精。
10016	1	16	16级夜明珠	夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个当前等级宝物，可合成一个高一等级的宝物）[/color]	16级红色夜明珠	11	3h	12810016	10		80	9000	9000	7m		4000203	3750	0.375	38%	3	38%几率开出3个南海奇精。			夜明珠是一种稀有宝石，又称悬珠、明月珠。[color=#bba7b9]（需在仓库开启，每十个自动合成一个更高1级宝物）[/color]38%几率开出3个南海奇精。38%几率开出3个南海奇精。
