编号	名字	描述	图标	(作废，用 goods_quality)品质，1-WHITE=白色2-GREEN = 绿色3-BLUE =蓝色 4-PURPLE =紫色5-ORANGE=橙色6-RED=红色	品质，配 物品品质.txt 的 level	特殊类型	Buff id。buff.txt 的 id。免战物品的效果还是配在 mian_duration 字段	CD	武将	资源类	金	粮食	木材	石料	减CD类	加速建筑队	加速科研队	加速装备锻造	"加速时间,s秒，m分钟, h小时"	迁城类	迁城道具	迁移行营	联盟主城迁移	0表示高级迁城令（可以选坐标），1表示随机迁城令（不能选坐标）	荣誉地区随机迁移降低等级数，1表示最大降低1级，如当前是3级，则表示可随机到2级和3级地区	经验丹类	经验值类型     EXP_HERO = 1; // 君主经验丹     EXP_CAPTAIN_REFINED = 2; // 武将强化经验丹     EXP_CAPTAIN_REBIRTH = 3; // 武将转生经验丹     EXP_CAPTAIN_SOUL_UPGRADE = 4; // 将魂升级加经验	经验值	时长类型 COPY_DEFENSER = 1; // 驻防镜像时间	时长		免战时间	行军加速系数，0.1表示加速10%		修炼馆经验丹，填修炼时长		碎片合成所需碎片个数	"None = 0,--单个合成，Single = 1,-- 随机合成，Prob = 2,-- 多个选项制定一个合成，Choose = 3,-- 特殊展示，Special = 4"	碎片合成掉落奖励（可多选一）									点券价格	元宝价格	银两价格	合璧类型 1: 和氏璧 2: 虎纹璧 3: 雪凤璧	合璧子类型。1：左；2：右	匹配玉璧，配置同品质的另一半玉璧 id		讨伐令	攻城令		数据类型：0.无效 1.虎符	数据值（填多少就增加多少）	获取途径																	
id	name	desc	icon	quality	goods_quality	spec_type	buff_id	cd	captain		gold	food	wood	stone		building_cdr	tech_cdr	workshop_cdr	cdr		move_base	move_tent	guild_move_base	random_pos	monster_move_sub_level		exp_type	exp	duration_type	duration		mian_duration	troop_speed_up_rate		train_duration		parts_combine_count	parts_show_type	parts_plunder_prize_id	parts_plunder_prize_id	parts_plunder_prize_id	parts_plunder_prize_id	parts_plunder_prize_id	parts_plunder_prize_id	parts_plunder_prize_id			dianquan_price	yuanbao_price	yinliang_price	hebi_type	hebi_sub_type	partner_hebi_goods		add_multi_level_npc_times	add_invase_hero_times		amount_type	amount	obtain_ways	obtain_ways	obtain_ways	obtain_ways	obtain_ways													
80201	初级功勋令牌	武将立刻获得[color=#5fd652]10[/color]点功勋	初级功勋令牌	3	2																						5	10																																								抗击匈奴	银两商店	百战千军	7日登陆	霸王之路					
80202	中级功勋令牌	武将立刻获得[color=#5fd652]50[/color]点功勋	中级功勋令牌	3	3																						5	50																																																	
80203	高级功勋令牌	武将立刻获得[color=#5fd652]100[/color]点功勋	高级级功勋令牌	3	5																						5	100																																																	
80204	超级功勋令牌	武将立刻获得[color=#5fd652]200[/color]点功勋	超级功勋令牌	3	8																						5	200																																																	
																																																																													
80001	经验书	武将立刻获得[color=#5fd652]2[/color]小时修炼经验	突飞令	3	3																														2h																																	2小时修炼馆经验									
80003	大喇叭	可在世界频道发送[color=#ffea8a]广播[/color]	小喇叭	2	2																																											10																				喇叭									
80006	驻防分身	可用于设置驻防[color=#ffea8a]分身[/color]，在队伍出征时防守城池，持续[color=#5fd652]10[/color]小时	驻防分身	3	2																								1	10h																		20																													
80010	讨伐令	可以讨伐野怪[color=#5fd652]1[/color]次	讨伐令	2	3																																																		1																						
80011	攻城令	可以出征玩家主城[color=#5fd652]1[/color]次	攻城令	2	3																																												50							1																					
80020	高级鱼饵	可以进行[color=#5fd652]1[/color]次高级钓鱼	鱼饵	3	8																																																																								
80030	玄冥碎片	集齐[color=#ffea8a]10[/color]碎片，可自由选择合成[color=#5fd652]1[/color]件玄冥装备	玄冥碎片	5	5																																10	3	800301	800302	800303	800304	800305	800306	800307																																
80040	星神碎片	集齐[color=#ffea8a]10[/color]碎片，可随机合成[color=#5fd652]1[/color]件星神装备	星神碎片	8	8																																10	2	80040																																						enum AmountType {
80041	星神碎片	集齐[color=#ffea8a]10[/color]碎片，可随机合成[color=#5fd652]1[/color]件星神装备\n[color=#d2a56b]君主35级可购买[/color]	星神碎片	8	8																																																																								    InvalidAmountType = 0;
